Goal x, Goal y, Goal z, Planner
0.372379, -3.3039, 0.475186, aep
0.751181, -2.44595, 0.822217, aep
0.713578, -1.54187, 1.24791, aep
0.987594, -1.16184, 2.13136, aep
1.91443, -0.91063, 2.41041, aep
2.89536, -0.806985, 2.246, aep
3.03052, 0.180543, 2.32675, aep
3.99465, 0.444723, 2.30091, aep
3.08722, 0.845389, 2.17429, aep
3.9961, 0.552011, 2.47069, aep
3.17614, -0.0203909, 2.47483, aep
2.21316, -0.289446, 2.49149, aep
1.88058, 0.64851, 2.39337, aep
1.7338, 1.58553, 2.07643, aep
1.17695, 2.41302, 2.14836, aep
1.92397, 3.07291, 2.06767, aep
2.83716, 3.47781, 2.11393, aep
2.02936, 2.8949, 2.0263, aep
1.75826, 2.31097, 1.2611, aep
2.00502, 3.03088, 0.612379, aep
2.99667, 2.90271, 0.626958, aep
3.78923, 2.31681, 0.45793, aep
3.32092, 2.10428, 1.81909, aep
4.1342, 2.63702, 2.05308, aep
5.02443, 2.1931, 2.15522, aep
4.99334, 3.16477, 1.92094, aep
4.39486, 3.73757, 1.36084, aep
4.76621, 4.59582, 1.71511, aep
4.93177, 5.55123, 1.95961, aep
4.07582, 5.76636, 2.42978, aep
3.14377, 5.97644, 2.13457, aep
2.60788, 5.39716, 1.52035, aep
3.0366, 6.25585, 1.23955, aep
3.48009, 6.65746, 2.04082, aep
2.76907, 7.34762, 2.17548, aep
3.35185, 8.09977, 1.86784, aep
2.33945, 9.14526, 2.05127, aep
2.0231, 9.87107, 1.44043, aep
1.52978, 9.1175, 1.8749, aep
0.532902, 9.18947, 1.90737, aep
0.614905, 8.29074, 1.47658, aep
-0.0983077, 7.93851, 2.0826, aep
0.217239, 7.16373, 1.53475, aep
-0.607458, 7.26611, 2.09098, aep
-1.39514, 7.76468, 2.45291, aep
-2.1976, 7.48203, 1.92741, aep
-3.08402, 7.93796, 2.00734, aep
-3.48706, 8.76673, 1.61915, aep
-4.39111, 8.87138, 1.20473, aep
