Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
6.320000000, 92.464, 5.68135, 75.112, 17.352, 1535.04
11.635000000, 104.872, 6.44375, 84.88, 19.992, 1522.63
17.825000000, 111.544, 6.8537, 89.192, 22.352, 1515.96
22.380000000, 117.776, 7.23662, 95.72, 22.056, 1509.72
28.290000000, 127.408, 7.82845, 105.936, 21.472, 1500.09
32.800000000, 128.968, 7.9243, 107.568, 21.4, 1498.53
37.615000000, 132.096, 8.1165, 112.712, 19.384, 1495.4
42.075000000, 140.392, 8.62624, 119.264, 21.128, 1487.11
45.720000000, 155.312, 9.54298, 133.688, 21.624, 1472.19
49.170000000, 171.256, 10.5226, 148.568, 22.688, 1456.24
53.045000000, 185.6, 11.404, 161.096, 24.504, 1441.9
56.825000000, 188.632, 11.5903, 163.672, 24.96, 1438.87
60.895000000, 198.424, 12.192, 173.032, 25.392, 1429.08
65.520000000, 208.136, 12.7887, 186.128, 22.008, 1419.36
69.635000000, 217.48, 13.3628, 189.944, 27.536, 1410.02
73.705000000, 220.376, 13.5408, 194.544, 25.832, 1407.12
78.595000000, 232.104, 14.2614, 207.144, 24.96, 1395.4
82.390000000, 240.664, 14.7873, 213.856, 26.808, 1386.84
85.975000000, 255.008, 15.6687, 226.32, 28.688, 1372.49
90.960000000, 267.736, 16.4508, 237.424, 30.312, 1359.76
95.300000000, 278.76, 17.1281, 246.888, 31.872, 1348.74
100.740000000, 283.584, 17.4245, 250.664, 32.92, 1343.92
106.600000000, 285, 17.5115, 247.232, 37.768, 1342.5
111.740000000, 288.808, 17.7455, 250.856, 37.952, 1338.69
122.965000000, 292.12, 17.949, 250.2, 41.92, 1335.38
126.245000000, 292.12, 17.949, 250.912, 41.208, 1335.38
129.900000000, 292.152, 17.951, 250.552, 41.6, 1335.35
133.760000000, 296.288, 18.2051, 254.248, 42.04, 1331.21
137.395000000, 304.008, 18.6794, 261.08, 42.928, 1323.49
141.355000000, 314.784, 19.3416, 270.632, 44.152, 1312.72
145.315000000, 330.872, 20.3301, 285.208, 45.664, 1296.63
149.335000000, 332.36, 20.4215, 286.112, 46.248, 1295.14
154.055000000, 338.92, 20.8246, 290.6, 48.32, 1288.58
158.360000000, 354.944, 21.8092, 304.144, 50.8, 1272.56
162.120000000, 362.776, 22.2904, 315.624, 47.152, 1264.72
166.250000000, 364.008, 22.3661, 313.6, 50.408, 1263.49
171.755000000, 369.68, 22.7146, 318.976, 50.704, 1257.82
176.550000000, 383, 23.533, 328.872, 54.128, 1244.5
180.390000000, 384.672, 23.6358, 333.712, 50.96, 1242.83
183.920000000, 384.672, 23.6358, 331.016, 53.656, 1242.83
187.385000000, 384.672, 23.6358, 330.888, 53.784, 1242.83
191.065000000, 384.672, 23.6358, 332.152, 52.52, 1242.83
194.635000000, 384.672, 23.6358, 330.896, 53.776, 1242.83
199.060000000, 388.216, 23.8535, 337.728, 50.488, 1239.28
203.815000000, 399.848, 24.5682, 343.552, 56.296, 1227.65
207.955000000, 416.008, 25.5612, 357.952, 58.056, 1211.49
212.140000000, 430.112, 26.4278, 370.224, 59.888, 1197.39
216.545000000, 436.744, 26.8353, 378.232, 58.512, 1190.76
220.785000000, 437.584, 26.8869, 377.12, 60.464, 1189.92
225.560000000, 439.784, 27.0221, 377.456, 62.328, 1187.72
230.840000000, 443.568, 27.2546, 378.912, 64.656, 1183.93
234.400000000, 450.512, 27.6812, 383.176, 67.336, 1176.99
238.260000000, 454.688, 27.9378, 390.416, 64.272, 1172.81
241.795000000, 455.552, 27.9909, 387.864, 67.688, 1171.95
246.940000000, 457.712, 28.1236, 387.712, 70, 1169.79
252.705000000, 458.672, 28.1826, 388.216, 70.456, 1168.83
257.270000000, 462.544, 28.4205, 388.128, 74.416, 1164.96
261.230000000, 466, 28.6329, 393.36, 72.64, 1161.5
264.765000000, 468.816, 28.8059, 396.32, 72.496, 1158.68
268.675000000, 471.984, 29.0006, 396.832, 75.152, 1155.52
273.110000000, 475.832, 29.237, 399.472, 76.36, 1151.67
278.805000000, 477.264, 29.325, 402.664, 74.6, 1150.24
285.010000000, 482.592, 29.6524, 403.68, 78.912, 1144.91
290.955000000, 488.168, 29.995, 408.512, 79.656, 1139.33
296.825000000, 496.448, 30.5037, 412.48, 83.968, 1131.05
301.335000000, 507.416, 31.1776, 422.648, 84.768, 1120.08
305.535000000, 513.008, 31.5212, 426.856, 86.152, 1114.49
309.175000000, 518.224, 31.8417, 432.024, 86.2, 1109.28
312.525000000, 521.008, 32.0128, 434.032, 86.976, 1106.49
317.170000000, 521.008, 32.0128, 432.808, 88.2, 1106.49
317.410000000, 521.008, 32.0128, 432.808, 88.2, 1106.49
327.180000000, 526.992, 32.3805, 435.576, 91.416, 1100.51
332.760000000, 532.424, 32.7142, 440.288, 92.136, 1095.08
337.170000000, 537, 32.9954, 446.568, 90.432, 1090.5
340.555000000, 554.528, 34.0724, 462.424, 92.104, 1072.97
344.940000000, 569.784, 35.0098, 473.672, 96.112, 1057.72
349.025000000, 590.472, 36.2809, 490.936, 99.536, 1037.03
353.110000000, 608.216, 37.3712, 509.792, 98.424, 1019.28
357.155000000, 624.688, 38.3833, 522.208, 102.48, 1002.81
360.870000000, 636.248, 39.0936, 534.776, 101.472, 991.252
365.135000000, 653.64, 40.1622, 550.472, 103.168, 973.86
369.115000000, 658.2, 40.4424, 552.544, 105.656, 969.3
372.705000000, 666.496, 40.9521, 559.016, 107.48, 961.004
376.840000000, 671.512, 41.2603, 563, 108.512, 955.988
383.205000000, 672.376, 41.3134, 559.664, 112.712, 955.124
386.605000000, 680.736, 41.8271, 567.264, 113.472, 946.764
390.230000000, 694.936, 42.6996, 579.672, 115.264, 932.564
