Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
3.040000000, 106.704, 13.3714, 89.336, 17.368, 691.296
6.954000000, 118.288, 14.8231, 99.432, 18.856, 679.712
11.112000000, 123.16, 15.4336, 104.04, 19.12, 674.84
15.744000000, 141.6, 17.7444, 118.592, 23.008, 656.4
19.390000000, 157.392, 19.7233, 131.384, 26.008, 640.608
23.643000000, 163.952, 20.5454, 136.088, 27.864, 634.048
26.454000000, 169.736, 21.2702, 142.208, 27.528, 628.264
30.424000000, 184.104, 23.0707, 153.088, 31.016, 613.896
33.947000000, 190.808, 23.9108, 159.024, 31.784, 607.192
37.761000000, 205.288, 25.7253, 170.92, 34.368, 592.712
40.799000000, 217.408, 27.2441, 182.392, 35.016, 580.592
43.961000000, 230.48, 28.8822, 193.112, 37.368, 567.52
47.049000000, 248.36, 31.1228, 208.752, 39.608, 549.64
52.594000000, 257.432, 32.2596, 215.832, 41.6, 540.568
58.430000000, 266.68, 33.4185, 220.344, 46.336, 531.32
67.861000000, 278.024, 34.8401, 228.728, 49.296, 519.976
71.348000000, 287.696, 36.0521, 236.88, 50.816, 510.304
74.406000000, 301.44, 37.7744, 248, 53.44, 496.56
77.441000000, 309.616, 38.799, 255.312, 54.304, 488.384
80.715000000, 319.808, 40.0762, 263.28, 56.528, 478.192
85.404000000, 348.192, 43.6331, 287.136, 61.056, 449.808
89.236000000, 367.968, 46.1113, 302.128, 65.84, 430.032
92.318000000, 373.704, 46.8301, 306.84, 66.864, 424.296
95.716000000, 377.288, 47.2792, 309.856, 67.432, 420.712
100.049000000, 384.904, 48.2336, 314.616, 70.288, 413.096
102.986000000, 390.6, 48.9474, 319.648, 70.952, 407.4
107.493000000, 409.152, 51.2722, 334.984, 74.168, 388.848
110.530000000, 424.552, 53.202, 347.52, 77.032, 373.448
113.573000000, 434.864, 54.4942, 355.776, 79.088, 363.136
117.804000000, 438.712, 54.9764, 359.256, 79.456, 359.288
120.678000000, 441.824, 55.3664, 362.208, 79.616, 356.176
123.615000000, 449.168, 56.2867, 368.472, 80.696, 348.832
126.912000000, 462.032, 57.8987, 379.48, 82.552, 335.968
130.230000000, 473.648, 59.3544, 388.408, 85.24, 324.352
133.536000000, 491.112, 61.5429, 403.776, 87.336, 306.888
136.533000000, 507.432, 63.588, 417.84, 89.592, 290.568
139.495000000, 511.768, 64.1313, 421.352, 90.416, 286.232
142.336000000, 521.2, 65.3133, 430.184, 91.016, 276.8
145.182000000, 534.128, 66.9333, 441.024, 93.104, 263.872
148.488000000, 543.88, 68.1554, 448.968, 94.912, 254.12
151.786000000, 550.6, 68.9975, 455.352, 95.248, 247.4
155.593000000, 564.656, 70.7589, 466.488, 98.168, 233.344
159.039000000, 574.456, 71.987, 473.544, 100.912, 223.544
162.856000000, 577.392, 72.3549, 473.992, 103.4, 220.608
167.559000000, 584.712, 73.2722, 478.56, 106.152, 213.288
171.970000000, 590.104, 73.9479, 482.944, 107.16, 207.896
175.543000000, 590.304, 73.9729, 483.384, 106.92, 207.696
179.174000000, 595.256, 74.5935, 487.112, 108.144, 202.744
182.289000000, 600.92, 75.3033, 491.872, 109.048, 197.08
185.836000000, 605.088, 75.8256, 495.48, 109.608, 192.912
190.129000000, 606.336, 75.982, 497.192, 109.144, 191.664
193.042000000, 607.224, 76.0932, 498.4, 108.824, 190.776
195.918000000, 612.64, 76.7719, 503.08, 109.56, 185.36
199.092000000, 617.856, 77.4256, 507.144, 110.712, 180.144
203.974000000, 627.592, 78.6456, 515.184, 112.408, 170.408
207.773000000, 636.184, 79.7223, 522.832, 113.352, 161.816
210.767000000, 643.448, 80.6326, 529.12, 114.328, 154.552
213.779000000, 647.24, 81.1078, 532.12, 115.12, 150.76
216.646000000, 648.816, 81.3053, 533.216, 115.6, 149.184
219.515000000, 652.36, 81.7494, 535.96, 116.4, 145.64
222.464000000, 654.76, 82.0501, 538.032, 116.728, 143.24
225.880000000, 657.44, 82.386, 540.216, 117.224, 140.56
228.903000000, 658.24, 82.4862, 540.224, 118.016, 139.76
232.579000000, 658.672, 82.5404, 541.28, 117.392, 139.328
236.428000000, 658.88, 82.5664, 541.128, 117.752, 139.12
241.956000000, 661.224, 82.8602, 542.712, 118.512, 136.776
246.041000000, 661.952, 82.9514, 541.64, 120.312, 136.048
249.621000000, 663.608, 83.1589, 543.92, 119.688, 134.392
254.245000000, 663.944, 83.201, 543.984, 119.96, 134.056
260.477000000, 664.048, 83.214, 543.008, 121.04, 133.952
263.938000000, 664.08, 83.218, 543.048, 121.032, 133.92
270.272000000, 667.848, 83.6902, 546.368, 121.48, 130.152
282.561000000, 670.184, 83.983, 545.664, 124.52, 127.816
287.219000000, 675.72, 84.6767, 551.216, 124.504, 122.28
293.428000000, 679.352, 85.1318, 554.48, 124.872, 118.648
297.113000000, 679.92, 85.203, 555.224, 124.696, 118.08
300.661000000, 680.48, 85.2732, 555.384, 125.096, 117.52
304.341000000, 681.232, 85.3674, 555.816, 125.416, 116.768
307.726000000, 681.696, 85.4256, 556.296, 125.4, 116.304
311.756000000, 681.936, 85.4556, 556.88, 125.056, 116.064
315.818000000, 682.208, 85.4897, 557.952, 124.256, 115.792
320.209000000, 682.24, 85.4937, 559.528, 122.712, 115.76
323.969000000, 685.16, 85.8596, 562.152, 123.008, 112.84
327.735000000, 686.496, 86.0271, 563.136, 123.36, 111.504
331.358000000, 687.88, 86.2005, 564.024, 123.856, 110.12
334.650000000, 688.736, 86.3078, 563.44, 125.296, 109.264
338.766000000, 689.616, 86.418, 564.288, 125.328, 108.384
343.806000000, 690.928, 86.5825, 562.92, 128.008, 107.072
348.222000000, 692.944, 86.8351, 563.632, 129.312, 105.056
353.640000000, 698.104, 87.4817, 567.544, 130.56, 99.896
357.554000000, 698.232, 87.4977, 567.2, 131.032, 99.768
362.585000000, 699.104, 87.607, 570.504, 128.6, 98.896
368.037000000, 699.824, 87.6972, 569.16, 130.664, 98.176
373.181000000, 700.392, 87.7684, 570.912, 129.48, 97.608
377.066000000, 703.832, 88.1995, 573.76, 130.072, 94.168
442.391000000, 709.992, 88.9714, 571.328, 138.664, 88.008
446.527000000, 710.704, 89.0607, 571.4, 139.304, 87.296
449.672000000, 710.872, 89.0817, 571.768, 139.104, 87.128
453.756000000, 711.32, 89.1378, 572.56, 138.76, 86.68
458.752000000, 711.624, 89.1759, 571.752, 139.872, 86.376
463.070000000, 711.64, 89.1779, 572.16, 139.48, 86.36
467.105000000, 711.696, 89.185, 572.784, 138.912, 86.304
470.612000000, 711.808, 89.199, 572.392, 139.416, 86.192
477.618000000, 712.312, 89.2622, 571.52, 140.792, 85.688
483.805000000, 712.432, 89.2772, 569.904, 142.528, 85.568
487.731000000, 712.44, 89.2782, 570.008, 142.432, 85.56
493.651000000, 713.52, 89.4135, 569.52, 144, 84.48
496.613000000, 714.04, 89.4787, 570.792, 143.248, 83.96
503.846000000, 716.984, 89.8476, 573.792, 143.192, 81.016
507.777000000, 717.072, 89.8586, 572.856, 144.216, 80.928
511.625000000, 717.464, 89.9078, 573.704, 143.76, 80.536
513.284000000, 717.472, 89.9088, 573.824, 143.648, 80.528
516.757000000, 718.528, 90.0411, 574.592, 143.936, 79.472
518.045000000, 718.536, 90.0421, 574.736, 143.8, 79.464
519.292000000, 718.536, 90.0421, 574.736, 143.8, 79.464
522.686000000, 719.216, 90.1273, 575.224, 143.992, 78.784
526.817000000, 719.864, 90.2085, 575.52, 144.344, 78.136
528.118000000, 719.88, 90.2105, 575.632, 144.248, 78.12
531.826000000, 720.76, 90.3208, 574.904, 145.856, 77.24
533.230000000, 720.768, 90.3218, 575.16, 145.608, 77.232
534.545000000, 720.768, 90.3218, 575.16, 145.608, 77.232
540.657000000, 721.416, 90.403, 576.248, 145.168, 76.584
542.020000000, 721.416, 90.403, 576.384, 145.032, 76.584
543.367000000, 721.416, 90.403, 576.36, 145.056, 76.584
544.677000000, 721.416, 90.403, 575.944, 145.472, 76.584
545.795000000, 721.416, 90.403, 575.864, 145.552, 76.584
547.149000000, 721.416, 90.403, 575.96, 145.456, 76.584
548.518000000, 721.416, 90.403, 576.616, 144.8, 76.584
555.922000000, 721.392, 90.4, 576.144, 145.248, 76.608
556.683000000, 721.424, 90.404, 576.112, 145.312, 76.576
557.521000000, 721.424, 90.404, 576.088, 145.336, 76.576
573.779000000, 721.52, 90.416, 575.136, 146.384, 76.48
573.779000000, 721.52, 90.416, 575.504, 146.016, 76.48
