Goal x, Goal y, Goal z, Planner
-2.3044, -1.57605, 1.59638, aep
-2.26559, -2.57495, 1.5701, aep
-2.00951, -3.18589, 0.820985, aep
-1.09878, -3.49614, 1.0936, aep
-0.691679, -4.12819, 1.75297, aep
-1.33287, -4.8368, 1.45844, aep
-0.771706, -4.66744, 2.26863, aep
-0.30929, -5.55401, 2.25539, aep
0.142145, -6.44256, 2.3371, aep
1.40967, -6.9726, 2.27877, aep
1.93684, -7.55635, 2.89628, aep
2.93287, -7.48814, 2.83907, aep
3.56269, -6.77618, 2.52852, aep
3.81226, -7.72808, 2.70627, aep
4.75704, -7.89357, 2.42343, aep
5.70197, -8.21584, 2.48045, aep
6.17512, -7.88971, 1.66205, aep
7.05542, -7.41542, 1.65076, aep
7.70525, -7.9437, 2.19723, aep
7.65635, -6.9922, 2.50098, aep
8.54534, -5.8326, 2.16628, aep
9.44183, -5.39201, 2.11963, aep
9.59511, -6.38017, 2.12693, aep
10.015, -7.28611, 2.07219, aep
10.9006, -6.16735, 2.1708, aep
11.5377, -5.50382, 2.56307, aep
11.6166, -4.56407, 2.23043, aep
11.2753, -3.64434, 2.03646, aep
10.3093, -3.55184, 2.27786, aep
9.31767, -4.40837, 1.74634, aep
8.80796, -4.51191, 2.60043, aep
7.94042, -4.24862, 2.17846, aep
7.95448, -3.25038, 2.12099, aep
8.54346, -2.4575, 2.27732, aep
8.10117, -1.61171, 2.57569, aep
7.25516, -1.18297, 2.25877, aep
6.43721, -1.57685, 1.83945, aep
5.96124, -0.772393, 1.48406, aep
5.282, -0.0413413, 1.54889, aep
4.98211, 0.267877, 2.45136, aep
4.09619, 0.211207, 1.99099, aep
3.71548, 1.11975, 2.16304, aep
3.0621, 1.81868, 1.87221, aep
2.99013, 2.36342, 2.70772, aep
3.66062, 3.01267, 2.34868, aep
3.45152, 3.83422, 2.87908, aep
3.74187, 3.36325, 2.04608, aep
4.71442, 3.4091, 1.81795, aep
5.52562, 3.84289, 2.21009, aep
6.20166, 4.35247, 1.67783, aep
5.95766, 5.25762, 2.02592, aep
6.57029, 5.78906, 1.4409, aep
7.37718, 5.6681, 2.01908, aep
7.21546, 4.91294, 2.65436, aep
8.04824, 3.813, 2.67466, aep
8.79028, 4.44741, 2.45808, aep
9.62451, 4.98373, 2.32996, aep
10.3007, 5.32626, 2.98227, aep
10.1387, 5.22593, 2.00059, aep
11.0736, 5.40211, 2.30873, aep
12.0232, 5.65086, 2.11816, aep
11.7324, 4.71156, 2.30026, aep
11.5385, 3.90397, 2.85723, aep
10.779, 3.48095, 2.36305, aep
10.9508, 3.68295, 1.39885, aep
11.5925, 3.16443, 1.96395, aep
10.7619, 2.73649, 2.32025, aep
10.2072, 3.23458, 2.98669, aep
11.0944, 3.52947, 2.63183, aep
11.9483, 4.02008, 2.45861, aep
12.873, 3.91077, 2.09376, aep
13.4029, 2.61534, 2.08937, aep
13.8307, 1.82665, 1.64784, aep
13.9454, 0.494335, 2.01742, aep
13.0632, 0.12213, 2.30599, aep
12.2666, -0.15693, 1.76978, aep
11.7297, -0.552299, 2.51505, aep
10.8478, -0.45054, 2.05474, aep
9.88325, -0.302718, 1.83615, aep
10.742, 0.207598, 1.88182, aep
11.5402, 0.763211, 2.11454, aep
12.3029, -0.338186, 2.53866, aep
12.429, -1.29594, 2.79711, aep
12.2113, -2.02215, 2.14504, aep
12.6548, -2.8757, 1.87161, aep
12.0653, -3.66862, 1.7173, aep
12.3189, -4.63135, 1.81116, aep
13.2037, -4.98136, 1.50354, aep
13.9949, -5.51395, 1.80429, aep
13.3142, -5.35402, 2.51926, aep
13.2185, -5.58745, 1.55161, aep
13.3067, -6.53218, 1.23583, aep
14.2341, -6.71864, 1.56015, aep
15.0551, -6.64826, 2.12668, aep
15.4043, -5.76289, 2.43358, aep
15.6375, -6.61625, 1.96732, rrt
14.7143, -6.8927, 1.70018, rrt
13.7238, -6.94267, 1.57253, rrt
12.7254, -6.99897, 1.57435, rrt
11.8777, -6.48744, 1.43359, rrt
10.92, -6.21263, 1.34881, rrt
10.0484, -5.724, 1.30929, rrt
9.13798, -6.02777, 1.59021, rrt
8.59889, -5.19264, 1.69942, rrt
8.23097, -4.26897, 1.80657, rrt
7.41705, -3.68897, 1.8402, rrt
7.16222, -2.73042, 1.96771, rrt
7.55466, -1.8149, 1.87935, rrt
6.76599, -1.22496, 2.05245, rrt
5.99296, -0.591229, 2.02408, rrt
4.98922, 0.14201, 1.68024, rrt
4.25819, 0.540481, 2.23415, rrt
3.31511, 0.871066, 2.27053, rrt
3.35653, 1.87013, 2.25822, rrt
2.91181, 2.76373, 2.19723, rrt
2.074, 3.17747, 2.55344, aep
2.61106, 2.73437, 1.83565, aep
2.23356, 1.85024, 2.11098, aep
2.75715, 1.04082, 1.84508, aep
3.75213, 0.965223, 1.77949, aep
3.91959, 0.0774367, 1.35078, aep
4.29467, -0.819227, 1.58596, aep
3.40783, -1.8877, 1.54138, aep
3.73386, -2.3548, 2.36328, aep
3.98337, -3.32316, 2.36834, aep
3.31196, -4.04307, 2.19246, aep
2.72397, -3.97644, 2.99858, aep
1.91015, -3.57723, 2.5763, rrt
1.22048, -2.8569, 2.65027, rrt
0.381218, -3.39855, 2.60284, aep
0.026144, -4.33329, 2.58926, aep
-0.79865, -4.41904, 2.03037, aep
-1.08625, -5.05944, 1.3182, aep
-1.34469, -5.96374, 0.978442, aep
-1.27502, -6.39246, 1.87919, aep
-0.858512, -5.49682, 1.72314, rrt
-1.00332, -4.88661, 1.02935, rrt
-0.721072, -3.93187, 0.935458, rrt
-0.664654, -2.95798, 1.15536, rrt
-1.38721, -2.37917, 0.777351, rrt
-1.5981, -1.7894, 1.5569, rrt
-1.72883, -0.718904, 1.9555, rrt
-1.65038, 0.277038, 1.91143, rrt
