Goal x, Goal y, Goal z, Planner
-2.37096, 4.54875, 1.54559, aep
-1.99216, 5.4067, 1.89262, aep
-1.61402, 6.24684, 1.5038, aep
-0.639757, 6.42915, 1.63638, aep
0.173545, 6.72842, 1.13741, aep
0.976376, 6.1329, 1.10896, aep
-0.0182728, 5.1619, 0.723163, aep
0.907791, 5.29127, 0.368665, aep
1.63428, 4.60409, 0.370206, aep
2.48464, 4.07797, 0.360654, aep
2.30825, 3.59033, 1.21569, aep
1.66955, 4.31991, 1.46017, aep
1.62299, 5.31804, 1.42034, aep
0.663865, 6.22969, 1.03084, aep
0.600129, 6.84687, 1.81508, aep
0.416822, 8.21543, 1.54583, aep
-0.412232, 8.51572, 2.01753, aep
-1.18965, 8.28912, 1.43078, aep
-0.659858, 8.56304, 2.23346, aep
0.297442, 8.80804, 2.38692, aep
0.740341, 7.93036, 2.20381, aep
0.842932, 7.07764, 1.69162, aep
0.28367, 6.63352, 0.991634, aep
-0.0856161, 5.81494, 0.551684, aep
-0.682838, 5.10439, 0.923763, aep
-0.34802, 4.17153, 0.790816, aep
-0.758136, 3.29183, 1.0315, aep
-0.625247, 1.90413, 0.486075, aep
-1.09818, 1.02371, 0.451534, aep
-1.53736, 0.137843, 0.601057, aep
-1.15665, -0.74401, 0.322859, aep
-0.869937, -1.61234, 0.727573, aep
-1.10718, -2.58378, 0.732268, aep
-1.77772, -3.24423, 1.07018, aep
-2.74012, -3.00992, 0.932769, aep
-3.27029, -3.79359, 0.609059, aep
-3.28511, -4.16198, 1.91004, aep
-2.75673, -4.73103, 1.27996, aep
-3.38198, -5.21222, 1.8944, aep
-3.09162, -5.68319, 1.0614, aep
-2.52917, -6.50601, 0.980073, aep
-1.65175, -6.8115, 0.6102, aep
-1.35025, -6.69024, 1.55592, aep
-0.485524, -6.25379, 1.80443, aep
-0.141283, -5.71571, 1.03504, aep
0.631012, -6.12445, 0.548737, aep
1.18537, -6.95651, 0.567658, aep
1.66046, -7.82198, 0.726604, aep
1.8975, -6.85055, 0.73824, rrt
1.81548, -5.8553, 0.790821, rrt
1.53393, -4.90081, 0.8892, rrt
1.81709, -3.99532, 1.20528, rrt
1.49865, -3.11001, 1.54412, rrt
1.36276, -2.12203, 1.47035, rrt
1.01774, -1.18383, 1.44317, rrt
0.720018, -0.229261, 1.45566, rrt
0.973773, 0.549291, 0.881673, rrt
0.45984, 1.39739, 1.01052, rrt
0.534896, 2.38189, 1.16906, rrt
0.378309, 3.32219, 0.866886, rrt
0.297361, 3.94086, 1.31007, rrt
0.0411447, 4.87458, 1.5601, rrt
-0.261782, 5.7456, 1.40245, rrt
0.320521, 6.55628, 1.34143, rrt
1.27476, 6.67884, 1.06866, rrt
2.15185, 6.20234, 1.00818, rrt
2.71962, 5.38607, 0.901663, aep
2.68584, 4.23216, 1.85404, aep
1.83368, 3.96058, 1.40675, aep
1.24857, 3.84121, 2.20887, aep
2.21007, 3.82322, 2.48308, aep
