Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
4.200000000, 65.024, 12.7498, 47.168, 17.856, 444.976
8.326000000, 71.56, 14.0314, 52.984, 18.576, 438.44
13.620000000, 95.632, 18.7514, 74.552, 21.08, 414.368
16.783000000, 112.72, 22.102, 89.712, 23.008, 397.28
20.068000000, 116.48, 22.8392, 93.12, 23.36, 393.52
25.045000000, 122.208, 23.9624, 96.792, 25.416, 387.792
30.953000000, 143.008, 28.0408, 114.4, 28.608, 366.992
34.076000000, 154.568, 30.3075, 124.24, 30.328, 355.432
37.481000000, 169.792, 33.2925, 136.936, 32.856, 340.208
41.655000000, 196.512, 38.5318, 160.648, 35.864, 313.488
45.521000000, 210.304, 41.2361, 170.96, 39.344, 299.696
49.131000000, 220.184, 43.1733, 179.848, 40.336, 289.816
52.763000000, 227.464, 44.6008, 185.648, 41.816, 282.536
58.173000000, 250.672, 49.1514, 206.76, 43.912, 259.328
62.477000000, 264.544, 51.8714, 218.688, 45.856, 245.456
67.048000000, 291.664, 57.189, 244.032, 47.632, 218.336
71.086000000, 312.12, 61.2, 261.824, 50.296, 197.88
74.693000000, 331.568, 65.0133, 279.184, 52.384, 178.432
78.521000000, 344.832, 67.6141, 288.6, 56.232, 165.168
82.414000000, 349.384, 68.5067, 291.184, 58.2, 160.616
87.170000000, 365.376, 71.6424, 305.864, 59.512, 144.624
90.053000000, 376.032, 73.7318, 315.744, 60.288, 133.968
93.636000000, 377.248, 73.9702, 316.576, 60.672, 132.752
97.283000000, 382.496, 74.9992, 320.424, 62.072, 127.504
100.584000000, 392.704, 77.0008, 329.424, 63.28, 117.296
104.111000000, 405.816, 79.5718, 341.72, 64.096, 104.184
106.961000000, 407.648, 79.931, 339.28, 68.368, 102.352
110.072000000, 417.48, 81.8588, 351.144, 66.336, 92.52
113.010000000, 424.6, 83.2549, 356.04, 68.56, 85.4
116.663000000, 430.432, 84.3984, 360.608, 69.824, 79.568
119.504000000, 437.528, 85.7898, 366.776, 70.752, 72.472
122.658000000, 441.704, 86.6086, 369.888, 71.816, 68.296
128.487000000, 442.056, 86.6776, 369.528, 72.528, 67.944
128.774000000, 442.056, 86.6776, 369.368, 72.688, 67.944
128.861000000, 442.056, 86.6776, 369.344, 72.712, 67.944
128.905000000, 442.056, 86.6776, 369.344, 72.712, 67.944
142.982000000, 442.08, 86.6824, 369.4, 72.68, 67.92
144.318000000, 442.104, 86.6871, 369.584, 72.52, 67.896
145.405000000, 442.104, 86.6871, 369.408, 72.696, 67.896
150.651000000, 442.112, 86.6886, 368.784, 73.328, 67.888
155.767000000, 442.112, 86.6886, 366.784, 75.328, 67.888
159.695000000, 442.112, 86.6886, 368.448, 73.664, 67.888
163.368000000, 442.12, 86.6902, 368.776, 73.344, 67.88
169.020000000, 442.12, 86.6902, 369.84, 72.28, 67.88
174.837000000, 441.608, 86.5898, 369.512, 72.096, 68.392
211.854000000, 449.192, 88.0769, 372.192, 77, 60.808
217.227000000, 450.296, 88.2933, 372.744, 77.552, 59.704
221.718000000, 450.304, 88.2949, 372.952, 77.352, 59.696
225.077000000, 450.304, 88.2949, 372.832, 77.472, 59.696
228.946000000, 450.304, 88.2949, 372.456, 77.848, 59.696
233.143000000, 451.152, 88.4612, 372.528, 78.624, 58.848
237.083000000, 452.432, 88.7122, 374.024, 78.408, 57.568
240.981000000, 453.456, 88.9129, 375.112, 78.344, 56.544
244.746000000, 453.544, 88.9302, 372.48, 81.064, 56.456
249.640000000, 454.408, 89.0996, 374.888, 79.52, 55.592
253.595000000, 455.024, 89.2204, 375.608, 79.416, 54.976
256.738000000, 455.432, 89.3004, 376.392, 79.04, 54.568
260.667000000, 455.432, 89.3004, 374.064, 81.368, 54.568
265.431000000, 456.144, 89.44, 374.976, 81.168, 53.856
269.822000000, 460.072, 90.2102, 378.68, 81.392, 49.928
271.353000000, 460.072, 90.2102, 378.944, 81.128, 49.928
272.612000000, 460.072, 90.2102, 378.944, 81.128, 49.928
288.311000000, 463.656, 90.9129, 380.928, 82.728, 46.344
293.851000000, 464.328, 91.0447, 379.728, 84.6, 45.672
295.216000000, 464.328, 91.0447, 379.744, 84.584, 45.672
296.367000000, 464.328, 91.0447, 379.744, 84.584, 45.672
297.705000000, 464.328, 91.0447, 379.744, 84.584, 45.672
310.085000000, 464.696, 91.1169, 377.704, 86.992, 45.304
315.480000000, 464.896, 91.1561, 377.84, 87.056, 45.104
318.739000000, 464.912, 91.1592, 378.52, 86.392, 45.088
322.973000000, 464.992, 91.1749, 378.728, 86.264, 45.008
326.430000000, 465.224, 91.2204, 379.96, 85.264, 44.776
330.024000000, 468.736, 91.909, 382.944, 85.792, 41.264
331.420000000, 469, 91.9608, 383.448, 85.552, 41
332.971000000, 469, 91.9608, 383.448, 85.552, 41
334.282000000, 469, 91.9608, 383.448, 85.552, 41
335.624000000, 469, 91.9608, 383.448, 85.552, 41
337.048000000, 469, 91.9608, 383.448, 85.552, 41
338.514000000, 469, 91.9608, 383.448, 85.552, 41
339.817000000, 469, 91.9608, 383.448, 85.552, 41
345.081000000, 469.352, 92.0298, 382.328, 87.024, 40.648
346.619000000, 469.352, 92.0298, 382.376, 86.976, 40.648
348.039000000, 469.352, 92.0298, 382.376, 86.976, 40.648
349.400000000, 469.352, 92.0298, 382.376, 86.976, 40.648
352.878000000, 469.504, 92.0596, 382.568, 86.936, 40.496
357.907000000, 472.2, 92.5882, 383.928, 88.272, 37.8
357.907000000, 472.2, 92.5882, 383.952, 88.248, 37.8
