Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
4.883000000, 91.56, 20.3467, 78.176, 13.384, 358.44
7.697000000, 102.264, 22.7253, 89.648, 12.616, 347.736
13.775000000, 106.512, 23.6693, 91.304, 15.208, 343.488
18.753000000, 119.312, 26.5138, 105.608, 13.704, 330.688
22.258000000, 121.392, 26.976, 107.408, 13.984, 328.608
25.385000000, 124.68, 27.7067, 109.984, 14.696, 325.32
29.047000000, 135.816, 30.1813, 120.392, 15.424, 314.184
32.128000000, 144.216, 32.048, 127.184, 17.032, 305.784
35.207000000, 154.344, 34.2987, 138.76, 15.584, 295.656
38.067000000, 167.048, 37.1218, 149.152, 17.896, 282.952
41.516000000, 181.024, 40.2276, 162.776, 18.248, 268.976
45.307000000, 190.432, 42.3182, 171.392, 19.04, 259.568
51.428000000, 193.936, 43.0969, 172.648, 21.288, 256.064
56.982000000, 197.304, 43.8453, 170.848, 26.456, 252.696
60.053000000, 197.4, 43.8667, 172.752, 24.648, 252.6
64.953000000, 203.6, 45.2444, 179.128, 24.472, 246.4
67.768000000, 210.416, 46.7591, 186.04, 24.376, 239.584
71.203000000, 215.752, 47.9449, 189.024, 26.728, 234.248
74.675000000, 224.408, 49.8684, 199.12, 25.288, 225.592
77.556000000, 227.32, 50.5156, 202.072, 25.248, 222.68
80.424000000, 234.8, 52.1778, 208.768, 26.032, 215.2
83.741000000, 247.304, 54.9564, 219.688, 27.616, 202.696
88.006000000, 249.304, 55.4009, 219.256, 30.048, 200.696
88.159000000, 249.304, 55.4009, 219.272, 30.032, 200.696
88.268000000, 249.56, 55.4578, 219.552, 30.008, 200.44
88.366000000, 249.304, 55.4009, 219.296, 30.008, 200.696
88.433000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.509000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.563000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.639000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.692000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.742000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.802000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.854000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.904000000, 249.304, 55.4009, 219.32, 29.984, 200.696
88.954000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.016000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.067000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.118000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.167000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.230000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.282000000, 249.304, 55.4009, 219.32, 29.984, 200.696
89.350000000, 249.304, 55.4009, 219.32, 29.984, 200.696
108.845000000, 289.184, 64.2631, 256.952, 32.232, 160.816
112.165000000, 296.888, 65.9751, 263.456, 33.432, 153.112
115.797000000, 300.016, 66.6702, 265.64, 34.376, 149.984
118.810000000, 300.656, 66.8124, 265.648, 35.008, 149.344
122.092000000, 300.928, 66.8729, 266.856, 34.072, 149.072
125.350000000, 308.368, 68.5262, 274.28, 34.088, 141.632
129.245000000, 320.376, 71.1947, 285.112, 35.264, 129.624
132.292000000, 331.192, 73.5982, 300.032, 31.16, 118.808
135.610000000, 343.4, 76.3111, 305.768, 37.632, 106.6
140.208000000, 348.872, 77.5271, 309.336, 39.536, 101.128
143.374000000, 353.776, 78.6169, 313.464, 40.312, 96.224
149.276000000, 357.32, 79.4044, 314.76, 42.56, 92.68
152.796000000, 357.928, 79.5396, 313.136, 44.792, 92.072
158.105000000, 360.416, 80.0924, 312.368, 48.048, 89.584
161.006000000, 361.168, 80.2596, 313.04, 48.128, 88.832
166.324000000, 361.248, 80.2773, 314.144, 47.104, 88.752
170.618000000, 361.248, 80.2773, 315.392, 45.856, 88.752
174.448000000, 362.024, 80.4498, 316.848, 45.176, 87.976
177.520000000, 363.168, 80.704, 318.096, 45.072, 86.832
180.637000000, 368.84, 81.9644, 322.976, 45.864, 81.16
183.770000000, 373.296, 82.9547, 327.144, 46.152, 76.704
186.700000000, 382.2, 84.9333, 334.864, 47.336, 67.8
190.619000000, 388.776, 86.3947, 340.36, 48.416, 61.224
194.003000000, 395.256, 87.8347, 348.536, 46.72, 54.744
197.945000000, 398.784, 88.6187, 348.768, 50.016, 51.216
201.313000000, 400.28, 88.9511, 350.984, 49.296, 49.72
204.475000000, 405.776, 90.1724, 356.176, 49.6, 44.224
207.800000000, 406.432, 90.3182, 355.872, 50.56, 43.568
211.240000000, 407.224, 90.4942, 357.096, 50.128, 42.776
215.741000000, 409.104, 90.912, 357.544, 51.56, 40.896
219.211000000, 408.944, 90.8764, 358.288, 50.656, 41.056
222.432000000, 409.968, 91.104, 358.904, 51.064, 40.032
226.143000000, 410.152, 91.1449, 360.52, 49.632, 39.848
229.483000000, 411.12, 91.36, 359.912, 51.208, 38.88
232.327000000, 415.264, 92.2809, 369.16, 46.104, 34.736
236.440000000, 420.304, 93.4009, 366.472, 53.832, 29.696
240.850000000, 420.648, 93.4773, 367.064, 53.584, 29.352
240.850000000, 420.552, 93.456, 367.224, 53.328, 29.448
