Goal x, Goal y, Goal z, Planner
6.07238, -3.3039, 0.874729, aep
6.1741, -2.40181, 1.29412, aep
5.84837, -3.33479, 1.14096, aep
4.94813, -3.73852, 0.977957, aep
5.47107, -2.89071, 1.06602, aep
5.21682, -2.42934, 0.216018, aep
4.80452, -1.60333, 0.600347, aep
5.42853, -0.851331, 0.387924, aep
5.42447, -0.104012, 1.05238, aep
5.56744, 0.885507, 1.07272, aep
4.92627, 1.27618, 1.73325, aep
5.18693, 2.2412, 1.70508, aep
6.02275, 1.97129, 0.591685, aep
5.93547, 2.95734, 0.449987, aep
5.74037, 3.138, 1.41399, aep
5.08726, 3.89339, 1.46711, aep
4.45566, 4.61707, 1.74526, aep
4.00508, 5.38649, 1.29253, aep
3.22148, 4.78813, 1.45963, aep
2.99861, 5.76274, 1.43823, aep
2.22119, 5.53614, 0.851486, aep
1.25417, 5.28277, 0.877151, aep
1.03154, 6.08051, 1.43755, rrt
0.316278, 6.07784, 0.850743, rrt
0.183946, 5.13877, 0.939395, rrt
0.0843929, 4.14437, 0.903958, rrt
-0.49909, 3.33311, 0.941344, rrt
0.133722, 2.60526, 0.677176, rrt
0.808574, 1.87475, 0.572587, rrt
0.79486, 0.8822, 0.693627, rrt
0.27134, 1.73067, 0.77127, aep
0.565969, 2.65565, 0.531248, aep
0.432696, 1.69903, 0.790334, aep
-0.182128, 0.99984, 1.1552, aep
-1.1015, 1.07788, 0.76962, aep
-1.76585, 1.58747, 1.31638, aep
-2.61788, 1.09261, 1.48712, aep
-2.88916, 1.5342, 0.631887, aep
-3.66164, 2.16915, 0.642246, aep
-4.46488, 1.60557, 0.449367, aep
-3.92987, 2.45007, 0.424995, aep
-4.75851, 2.99561, 0.550405, aep
-5.49385, 3.669, 0.474001, aep
-6.45609, 3.46415, 0.294753, aep
-6.69938, 2.74891, 0.949921, aep
-6.23278, 1.87928, 1.11124, aep
-5.63928, 1.51738, 0.392363, aep
-5.04193, 0.71587, 0.419905, aep
-5.85312, 0.132158, 0.384515, aep
-6.04707, -0.826116, 0.594503, aep
-6.8576, -1.77236, 0.397098, aep
-6.96537, -2.53593, 1.03377, aep
-6.95295, -3.33846, 0.437291, aep
-7.20124, -4.20563, 0.869, aep
-6.385, -4.43362, 1.39981, aep
-6.97592, -5.23965, 1.36627, aep
-6.25577, -4.60094, 1.63725, aep
-6.00901, -3.88103, 0.98853, aep
-6.74034, -4.46436, 0.635151, aep
-6.03427, -5.08482, 0.293859, aep
-6.39987, -5.769, 0.924921, aep
-5.94407, -6.56081, 0.518371, aep
-5.23797, -6.50142, 1.22399, aep
-4.30819, -6.19535, 1.01944, aep
-3.22633, -7.1135, 1.04345, aep
