Goal x, Goal y, Goal z, Planner
0.829038, -0.551246, 1.54433, aep
1.50913, -0.887097, 0.892648, aep
2.30845, -1.15181, 1.4321, aep
2.54799, -1.83486, 0.742123, aep
2.19649, -2.51939, 1.38077, aep
1.33133, -2.56338, 0.881202, aep
0.0309203, -2.60387, 0.949735, aep
0.844222, -2.3046, 0.450763, aep
1.73496, -2.73711, 0.590497, aep
1.12048, -1.96325, 0.74398, aep
0.254554, -2.43534, 0.909198, aep
-0.6469, -2.17777, 0.561292, aep
-1.07465, -1.28326, 0.431364, aep
-2.02356, -0.974952, 0.498518, aep
-2.43535, -1.24639, 1.36844, aep
-1.55551, -1.60653, 1.67858, aep
-1.84303, -2.49815, 1.32879, aep
-2.62105, -2.99628, 1.71161, aep
-3.34495, -2.551, 1.18464, aep
-2.83116, -2.14145, 0.430785, aep
-3.58068, -1.53738, 0.701559, aep
-4.49713, -1.91167, 0.560071, aep
-4.96485, -1.44691, 1.3119, aep
-4.06542, -1.53745, 1.7395, aep
-3.08246, -1.4827, 1.56408, aep
-2.69885, -0.595494, 1.82042, aep
-2.84396, -0.159792, 0.932106, aep
-3.29776, 0.681374, 0.63798, aep
-2.8149, 1.50597, 0.932765, aep
-3.42602, 2.2964, 0.890976, aep
-3.74793, 3.23915, 0.97817, aep
-2.96502, 3.51259, 0.419362, aep
-2.17602, 4.12573, 0.380005, aep
-1.23256, 3.97573, 0.675609, aep
-1.48111, 3.4592, 1.49501, aep
-0.743039, 2.90283, 1.11329, aep
0.0463511, 3.27015, 1.60517, aep
0.873062, 3.60464, 1.15277, aep
1.83152, 3.42769, 0.929045, aep
2.76648, 3.76563, 1.03692, aep
1.89279, 4.23215, 0.899038, aep
1.19072, 3.881, 1.51855, aep
0.257467, 4.0842, 1.81477, aep
-0.106958, 3.16969, 1.6391, aep
-0.960663, 3.02357, 1.13927, aep
-0.956193, 2.06254, 1.41568, aep
-1.09395, 1.07245, 1.44317, aep
-0.617723, 0.324739, 1.90592, aep
-0.0729194, -0.392256, 1.47106, aep
-0.30599, -1.02481, 0.732442, aep
-0.00766926, -1.979, 0.709357, aep
0.703646, -2.18291, 1.382, aep
1.18437, -2.84806, 0.810623, aep
1.92566, -2.29166, 1.18599, aep
2.88716, -2.30965, 1.46021, aep
2.68148, -3.09116, 0.871198, aep
3.03624, -4.1189, 1.8773, aep
2.26192, -3.73039, 1.3778, aep
1.35205, -3.44506, 1.07659, aep
0.914926, -2.56208, 0.905508, aep
0.815001, -2.13414, 1.80378, aep
0.17757, -2.86105, 1.54826, aep
0.344381, -2.89927, 0.563008, aep
0.0680981, -3.73556, 1.0366, aep
-0.66547, -3.84719, 1.70699, aep
-1.64339, -4.00738, 1.57277, aep
-2.12696, -3.69009, 0.756997, aep
-3.10862, -3.69801, 0.566501, aep
