Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
5.177000000, 166.928, 37.0951, 152.032, 14.896, 283.072
9.285000000, 180.136, 40.0302, 163.328, 16.808, 269.864
13.731000000, 197.064, 43.792, 177.136, 19.928, 252.936
19.085000000, 202.672, 45.0382, 180.456, 22.216, 247.328
22.962000000, 202.672, 45.0382, 181.208, 21.464, 247.328
27.292000000, 203.728, 45.2729, 182.392, 21.336, 246.272
30.959000000, 208.448, 46.3218, 186.464, 21.984, 241.552
35.087000000, 222.816, 49.5147, 199.568, 23.248, 227.184
39.240000000, 236.248, 52.4996, 212.24, 24.008, 213.752
43.590000000, 249.392, 55.4204, 223.272, 26.12, 200.608
48.307000000, 261.616, 58.1369, 234.312, 27.304, 188.384
52.070000000, 274, 60.8889, 244.24, 29.76, 176
58.330000000, 278.392, 61.8649, 246.12, 32.272, 171.608
62.335000000, 281.256, 62.5013, 249.336, 31.92, 168.744
67.143000000, 292.2, 64.9333, 258.424, 33.776, 157.8
71.235000000, 300.896, 66.8658, 265.448, 35.448, 149.104
77.798000000, 302.84, 67.2978, 264.328, 38.512, 147.16
83.991000000, 312.232, 69.3849, 272.984, 39.248, 137.768
87.885000000, 319.056, 70.9013, 278.656, 40.4, 130.944
92.197000000, 330.608, 73.4684, 288.016, 42.592, 119.392
95.697000000, 341.032, 75.7849, 295.128, 45.904, 108.968
99.126000000, 342.44, 76.0978, 299.176, 43.264, 107.56
102.738000000, 346.168, 76.9262, 299.352, 46.816, 103.832
108.448000000, 349.32, 77.6267, 301.704, 47.616, 100.68
111.722000000, 351, 78, 303.304, 47.696, 99
115.395000000, 355.856, 79.0791, 308.128, 47.728, 94.144
118.718000000, 361.224, 80.272, 312.608, 48.616, 88.776
122.459000000, 368.344, 81.8542, 318.36, 49.984, 81.656
126.058000000, 370.544, 82.3431, 320.44, 50.104, 79.456
132.666000000, 370.56, 82.3467, 317.808, 52.752, 79.44
139.334000000, 375.568, 83.4596, 321.384, 54.184, 74.432
142.651000000, 382.768, 85.0596, 330.448, 52.32, 67.232
146.691000000, 384.336, 85.408, 329.848, 54.488, 65.664
150.976000000, 386.984, 85.9964, 332.256, 54.728, 63.016
154.091000000, 388.536, 86.3413, 331.704, 56.832, 61.464
161.328000000, 389.632, 86.5849, 331.696, 57.936, 60.368
166.873000000, 390.544, 86.7876, 331.512, 59.032, 59.456
170.825000000, 391.112, 86.9138, 333.016, 58.096, 58.888
175.638000000, 391.248, 86.944, 332.992, 58.256, 58.752
179.047000000, 391.296, 86.9547, 333.304, 57.992, 58.704
184.262000000, 391.792, 87.0649, 333.816, 57.976, 58.208
188.182000000, 397.16, 88.2578, 337.136, 60.024, 52.84
191.711000000, 403.76, 89.7244, 341.144, 62.616, 46.24
197.977000000, 404.416, 89.8702, 342.064, 62.352, 45.584
204.324000000, 404.544, 89.8987, 341.8, 62.744, 45.456
211.211000000, 405.408, 90.0907, 342.488, 62.92, 44.592
215.480000000, 405.408, 90.0907, 343.376, 62.032, 44.592
218.831000000, 403.616, 89.6924, 342.824, 60.792, 46.384
222.528000000, 402.16, 89.3689, 341.872, 60.288, 47.84
226.035000000, 402.976, 89.5502, 342.752, 60.224, 47.024
229.768000000, 408.576, 90.7947, 346.384, 62.192, 41.424
255.463000000, 410.664, 91.2587, 349.136, 61.528, 39.336
262.225000000, 410.664, 91.2587, 346.12, 64.544, 39.336
269.168000000, 408.84, 90.8533, 344.192, 64.648, 41.16
275.884000000, 409.864, 91.0809, 350.304, 59.56, 40.136
279.872000000, 409.864, 91.0809, 346.912, 62.952, 40.136
283.517000000, 409.864, 91.0809, 347.04, 62.824, 40.136
287.490000000, 409.864, 91.0809, 347.288, 62.576, 40.136
291.904000000, 409.864, 91.0809, 347.464, 62.4, 40.136
295.101000000, 409.864, 91.0809, 347.816, 62.048, 40.136
299.102000000, 409.864, 91.0809, 347.504, 62.36, 40.136
302.152000000, 409.864, 91.0809, 348.544, 61.32, 40.136
305.320000000, 409.352, 90.9671, 348.104, 61.248, 40.648
311.408000000, 411.256, 91.3902, 347.888, 63.368, 38.744
311.408000000, 411.584, 91.4631, 348.296, 63.288, 38.416
