Goal x, Goal y, Goal z, Planner
-9.97096, -6.15125, 1.14464, aep
-9.29087, -6.4871, 0.492963, aep
-8.49155, -6.75181, 1.03242, aep
-8.47887, -7.24194, 1.90397, aep
-8.4644, -8.18824, 1.58101, aep
-8.38227, -8.96405, 0.955406, aep
-7.7168, -9.70199, 1.06759, aep
-6.74452, -9.93493, 1.08763, aep
-5.93735, -9.80243, 0.512375, aep
-5.2667, -10.164, 1.16005, aep
-4.31632, -9.85479, 1.19407, aep
-4.41531, -9.3888, 1.27565, rrt
-4.89672, -8.64007, 0.819973, aep
-4.50172, -7.80886, 0.428736, aep
-3.97454, -8.39261, 1.04625, aep
-2.97851, -8.32441, 0.989036, aep
-2.18174, -8.80128, 0.617903, aep
-1.29691, -9.26562, 0.579591, aep
-1.08493, -8.57299, 1.26904, aep
-1.22238, -8.7416, 0.292988, aep
-1.4835, -9.70677, 0.308799, aep
-0.913127, -10.4893, 0.558532, aep
-0.254477, -10.1518, 1.23106, aep
0.582159, -10.1579, 0.683334, aep
1.5417, -9.99627, 0.913885, aep
2.39718, -9.8117, 1.3977, aep
2.87629, -9.42405, 0.610184, aep
3.62929, -8.76603, 0.611451, aep
4.48976, -9.21869, 0.377591, aep
4.60474, -10.1034, 0.829355, aep
5.59409, -10.2191, 0.741059, aep
6.00317, -9.47793, 1.27337, aep
6.87296, -9.44083, 1.76541, aep
7.53905, -8.69503, 1.77546, aep
6.60318, -9.01679, 1.91905, aep
7.31455, -8.51412, 1.42785, aep
7.25392, -7.54871, 1.68144, aep
7.83295, -7.20363, 0.942757, aep
8.5292, -6.59754, 1.32731, aep
7.94951, -5.85037, 1.00221, aep
8.66483, -5.30666, 0.563225, aep
9.61154, -5.18886, 0.862983, aep
9.44124, -4.42734, 1.48836, aep
8.96414, -3.61503, 1.15291, aep
10.0499, -3.34309, 0.157532, aep
9.69898, -2.5758, 0.694305, aep
8.77298, -2.37436, 0.375001, aep
7.98193, -2.98556, 0.40075, aep
7.19386, -2.61663, 0.893529, aep
6.48534, -3.2526, 0.587702, aep
6.02772, -3.49406, 1.44344, aep
6.5585, -3.23222, 0.0971406, aep
7.19975, -3.56453, 0.788788, aep
7.46279, -2.77969, 1.3499, aep
7.3269, -1.87886, 1.76225, aep
6.53828, -1.2648, 1.79383, aep
6.6882, -0.75329, 0.947734, aep
5.83099, -0.2749, 1.13832, aep
5.69271, 0.694541, 1.34097, aep
4.75987, 0.664813, 1.70002, aep
5.65851, 0.227236, 1.66905, aep
6.19668, 1.02404, 1.39431, aep
7.08797, 1.10909, 0.948924, aep
7.86689, 1.37351, 1.51758, aep
8.47611, 2.01241, 1.04783, aep
7.86014, 2.77497, 0.850119, aep
7.07375, 2.89053, 1.45694, aep
6.64093, 3.61848, 0.925203, aep
6.53748, 4.58812, 0.703611, aep
5.82075, 5.08986, 1.18791, aep
6.71105, 4.66091, 1.34079, aep
6.98938, 5.56599, 1.01929, aep
6.5638, 6.335, 1.49627, aep
6.10738, 7.13782, 1.87988, aep
6.43252, 7.95311, 1.40073, aep
7.41739, 7.80834, 1.49607, aep
7.75223, 7.5241, 0.597691, aep
7.89346, 6.5616, 0.366081, aep
8.57993, 6.36847, 1.06712, aep
8.15433, 6.98288, 1.73148, aep
7.41289, 7.30863, 1.14485, aep
7.30132, 8.2634, 0.86922, aep
6.39445, 7.85156, 0.958489, aep
6.40051, 8.69712, 1.49234, aep
5.69396, 9.17545, 2.01386, aep
4.95182, 8.51434, 2.12418, aep
4.47519, 8.49246, 1.24535, aep
3.5322, 8.81773, 1.17492, aep
3.05229, 9.3829, 0.503904, aep
2.15946, 9.83324, 0.510651, aep
1.19358, 9.92333, 0.753506, aep
1.81519, 10.6781, 0.963243, aep
1.59914, 10.5995, 1.38224, rrt
2.33407, 10.7451, 2.04456, aep
1.7364, 9.97849, 2.27925, aep
1.98061, 9.18695, 1.71905, aep
1.51481, 8.30579, 1.63786, aep
0.819607, 8.01738, 2.29628, aep
0.93223, 7.02374, 2.29458, aep
0.46584, 7.75129, 1.79142, aep
-0.466544, 7.40045, 1.87844, aep
-1.35605, 7.05348, 1.58113, aep
-1.99843, 7.77699, 1.83388, aep
-1.43559, 7.19507, 1.24687, aep
-2.22276, 7.29301, 0.637954, aep
-1.71618, 8.15488, 0.614278, aep
-2.31049, 7.35755, 0.509102, aep
-3.14413, 7.88847, 0.356924, aep
-3.8911, 8.54415, 0.466994, aep
-4.41114, 7.69055, 0.497283, aep
-5.04976, 7.51078, 1.24551, aep
-5.70406, 8.19864, 0.93129, aep
-6.65733, 8.43433, 1.12033, aep
-7.48758, 8.13151, 1.58828, aep
-7.83921, 7.77472, 0.722801, aep
-8.52399, 7.04599, 0.726609, aep
-8.36148, 6.14385, 1.12628, aep
-8.27642, 5.18962, 0.839533, aep
-7.62233, 4.43825, 0.926769, aep
-6.87877, 4.05502, 1.47472, aep
-6.04105, 3.54952, 1.2681, aep
-6.22355, 2.78564, 0.649071, aep
-6.59473, 1.89613, 0.915512, aep
