Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
4.725000000, 135.528, 9.41167, 119.68, 15.848, 1304.47
9.395000000, 145.36, 10.0944, 128.52, 16.84, 1294.64
14.685000000, 146.608, 10.1811, 129.328, 17.28, 1293.39
20.530000000, 151.488, 10.52, 133.136, 18.352, 1288.51
26.100000000, 152.984, 10.6239, 134.616, 18.368, 1287.02
30.985000000, 155.64, 10.8083, 136.384, 19.256, 1284.36
34.955000000, 162.08, 11.2556, 145.12, 16.96, 1277.92
41.410000000, 166.136, 11.5372, 146.648, 19.488, 1273.86
48.200000000, 166.288, 11.5478, 145.072, 21.216, 1273.71
53.230000000, 166.312, 11.5494, 145.512, 20.8, 1273.69
57.720000000, 170.248, 11.8228, 148.112, 22.136, 1269.75
63.825000000, 172.36, 11.9694, 151.32, 21.04, 1267.64
69.095000000, 176.296, 12.2428, 155.096, 21.2, 1263.7
73.850000000, 181.264, 12.5878, 159.424, 21.84, 1258.74
78.060000000, 186.384, 12.9433, 163.416, 22.968, 1253.62
83.555000000, 198.064, 13.7544, 173.376, 24.688, 1241.94
89.905000000, 198.96, 13.8167, 174.48, 24.48, 1241.04
95.985000000, 201.032, 13.9606, 176.488, 24.544, 1238.97
100.105000000, 205.216, 14.2511, 180.512, 24.704, 1234.78
104.335000000, 208.136, 14.4539, 185.928, 22.208, 1231.86
108.855000000, 218.968, 15.2061, 194.776, 24.192, 1221.03
112.990000000, 225.88, 15.6861, 201.144, 24.736, 1214.12
117.260000000, 227.712, 15.8133, 202.264, 25.448, 1212.29
121.430000000, 234.496, 16.2844, 207.736, 26.76, 1205.5
127.165000000, 243.24, 16.8917, 217.416, 25.824, 1196.76
131.555000000, 248.8, 17.2778, 222.48, 26.32, 1191.2
135.505000000, 253.32, 17.5917, 226.488, 26.832, 1186.68
139.960000000, 261.664, 18.1711, 234.184, 27.48, 1178.34
144.195000000, 274.064, 19.0322, 248.336, 25.728, 1165.94
150.280000000, 277.488, 19.27, 248.784, 28.704, 1162.51
155.935000000, 279, 19.375, 249.856, 29.144, 1161
159.895000000, 287.864, 19.9906, 258.392, 29.472, 1152.14
163.765000000, 299.328, 20.7867, 271.472, 27.856, 1140.67
167.740000000, 309.512, 21.4939, 281.344, 28.168, 1130.49
172.325000000, 326.384, 22.6656, 297.488, 28.896, 1113.62
177.580000000, 340.224, 23.6267, 310.552, 29.672, 1099.78
182.265000000, 361.672, 25.1161, 330.256, 31.416, 1078.33
187.490000000, 369.152, 25.6356, 334.92, 34.232, 1070.85
191.740000000, 372.928, 25.8978, 337.432, 35.496, 1067.07
198.460000000, 373.632, 25.9467, 330.784, 42.848, 1066.37
203.235000000, 374.384, 25.9989, 330.976, 43.408, 1065.62
209.555000000, 376.856, 26.1706, 335.168, 41.688, 1063.14
213.775000000, 380.832, 26.4467, 341.024, 39.808, 1059.17
219.340000000, 395.36, 27.4556, 354.704, 40.656, 1044.64
223.800000000, 410.592, 28.5133, 370.128, 40.464, 1029.41
228.260000000, 411.952, 28.6078, 370.72, 41.232, 1028.05
232.780000000, 415.568, 28.8589, 373.384, 42.184, 1024.43
237.370000000, 424.496, 29.4789, 381.184, 43.312, 1015.5
241.390000000, 431.192, 29.9439, 385.776, 45.416, 1008.81
245.835000000, 437.12, 30.3556, 392.192, 44.928, 1002.88
250.135000000, 439.392, 30.5133, 394.152, 45.24, 1000.61
254.475000000, 447.664, 31.0878, 402.008, 45.656, 992.336
258.895000000, 459.48, 31.9083, 415.544, 43.936, 980.52
263.340000000, 473.712, 32.8967, 427.432, 46.28, 966.288
267.770000000, 485.096, 33.6872, 437.4, 47.696, 954.904
284.815000000, 486.92, 33.8139, 433.44, 53.48, 953.08
288.965000000, 487, 33.8194, 433.864, 53.136, 953
293.415000000, 491.536, 34.1344, 437.408, 54.128, 948.464
299.045000000, 506.16, 35.15, 452.272, 53.888, 933.84
303.240000000, 511.208, 35.5006, 456.928, 54.28, 928.792
307.780000000, 515.472, 35.7967, 460.896, 54.576, 924.528
312.050000000, 521.704, 36.2294, 468.064, 53.64, 918.296
316.000000000, 527, 36.5972, 471.768, 55.232, 913
320.090000000, 535.456, 37.1844, 479.2, 56.256, 904.544
324.565000000, 541.256, 37.5872, 484.848, 56.408, 898.744
328.770000000, 554.584, 38.5128, 497.744, 56.84, 885.416
333.790000000, 565.136, 39.2456, 508.56, 56.576, 874.864
339.425000000, 572.952, 39.7883, 516.168, 56.784, 867.048
344.910000000, 583.224, 40.5017, 525.952, 57.272, 856.776
349.525000000, 593.64, 41.225, 535.136, 58.504, 846.36
356.935000000, 596.52, 41.425, 533.128, 63.392, 843.48
364.290000000, 626.752, 43.5244, 563.936, 62.816, 813.248
368.835000000, 632.76, 43.9417, 569.584, 63.176, 807.24
373.665000000, 636.32, 44.1889, 570.968, 65.352, 803.68
378.450000000, 637.296, 44.2567, 576.64, 60.656, 802.704
384.765000000, 641.984, 44.5822, 578.792, 63.192, 798.016
391.285000000, 642.216, 44.5983, 577.944, 64.272, 797.784
395.205000000, 646.264, 44.8794, 581.616, 64.648, 793.736
399.600000000, 653.464, 45.3794, 588.128, 65.336, 786.536
403.975000000, 660.656, 45.8789, 594.488, 66.168, 779.344
408.155000000, 663.288, 46.0617, 597.904, 65.384, 776.712
412.445000000, 670.936, 46.5928, 603.752, 67.184, 769.064
416.820000000, 672.032, 46.6689, 604.424, 67.608, 767.968
421.055000000, 677.088, 47.02, 610.84, 66.248, 762.912
425.455000000, 683.784, 47.485, 617.96, 65.824, 756.216
430.480000000, 687.312, 47.73, 621.464, 65.848, 752.688
435.555000000, 691.016, 47.9872, 625.52, 65.496, 748.984
439.865000000, 694.808, 48.2506, 628.952, 65.856, 745.192
444.345000000, 700, 48.6111, 633.544, 66.456, 740
448.765000000, 706.16, 49.0389, 638.688, 67.472, 733.84
453.140000000, 714.648, 49.6283, 646.12, 68.528, 725.352
459.130000000, 716.456, 49.7539, 647.096, 69.36, 723.544
464.515000000, 716.504, 49.7572, 643.84, 72.664, 723.496
471.700000000, 716.576, 49.7622, 642.32, 74.256, 723.424
476.625000000, 717.176, 49.8039, 643.304, 73.872, 722.824
481.410000000, 717.616, 49.8344, 644.8, 72.816, 722.384
485.945000000, 723.52, 50.2444, 654.488, 69.032, 716.48
491.620000000, 727.992, 50.555, 656.52, 71.472, 712.008
497.570000000, 728.104, 50.5628, 655.92, 72.184, 711.896
504.085000000, 728.192, 50.5689, 654.104, 74.088, 711.808
510.505000000, 728.296, 50.5761, 655.248, 73.048, 711.704
516.255000000, 728.304, 50.5767, 656.344, 71.96, 711.696
522.425000000, 728.304, 50.5767, 656.616, 71.688, 711.696
527.410000000, 728.304, 50.5767, 655.856, 72.448, 711.696
533.935000000, 728.336, 50.5789, 655, 73.336, 711.664
540.290000000, 728.376, 50.5817, 654.816, 73.56, 711.624
544.425000000, 729.064, 50.6294, 655.392, 73.672, 710.936
548.865000000, 733.432, 50.9328, 658.984, 74.448, 706.568
553.280000000, 740.352, 51.4133, 665.232, 75.12, 699.648
559.660000000, 745.224, 51.7517, 672.52, 72.704, 694.776
563.730000000, 747.368, 51.9006, 672.552, 74.816, 692.632
568.090000000, 750.824, 52.1406, 676.88, 73.944, 689.176
573.795000000, 757.456, 52.6011, 681.632, 75.824, 682.544
577.630000000, 764.84, 53.1139, 687.944, 76.896, 675.16
581.605000000, 770, 53.4722, 693.064, 76.936, 670
585.870000000, 771.136, 53.5511, 693.416, 77.72, 668.864
590.210000000, 771.896, 53.6039, 695.144, 76.752, 668.104
594.700000000, 772.16, 53.6222, 694.128, 78.032, 667.84
599.900000000, 772.224, 53.6267, 693.944, 78.28, 667.776
604.735000000, 772.672, 53.6578, 696.664, 76.008, 667.328
610.450000000, 774.584, 53.7906, 698.112, 76.472, 665.416
615.635000000, 783.696, 54.4233, 706.008, 77.688, 656.304
620.045000000, 792.648, 55.045, 714, 78.648, 647.352
624.115000000, 803.576, 55.8039, 723.712, 79.864, 636.424
628.035000000, 808.256, 56.1289, 727.928, 80.328, 631.744
632.200000000, 817.872, 56.7967, 736.952, 80.92, 622.128
638.045000000, 821.04, 57.0167, 734.744, 86.296, 618.96
644.730000000, 823.632, 57.1967, 740.728, 82.904, 616.368
650.940000000, 828.8, 57.5556, 744.704, 84.096, 611.2
656.590000000, 838.656, 58.24, 754.4, 84.256, 601.344
661.355000000, 847.664, 58.8656, 762.432, 85.232, 592.336
666.065000000, 862.448, 59.8922, 776.592, 85.856, 577.552
670.510000000, 874.928, 60.7589, 787.976, 86.952, 565.072
675.155000000, 887.504, 61.6322, 799.432, 88.072, 552.496
679.345000000, 902.04, 62.6417, 812.904, 89.136, 537.96
683.450000000, 916.472, 63.6439, 826.272, 90.2, 523.528
690.820000000, 928.216, 64.4594, 840.712, 87.504, 511.784
695.100000000, 939.952, 65.2744, 849.784, 90.168, 500.048
701.660000000, 946.712, 65.7439, 855.824, 90.888, 493.288
706.565000000, 949.096, 65.9094, 857.856, 91.24, 490.904
711.030000000, 952.688, 66.1589, 861.992, 90.696, 487.312
716.350000000, 956.72, 66.4389, 865.432, 91.288, 483.28
720.340000000, 963.744, 66.9267, 871.792, 91.952, 476.256
724.755000000, 971.056, 67.4344, 878.68, 92.376, 468.944
729.055000000, 977.056, 67.8511, 883.888, 93.168, 462.944
733.675000000, 984.632, 68.3772, 890.488, 94.144, 455.368
737.695000000, 993.608, 69.0006, 898.408, 95.2, 446.392
741.895000000, 998.384, 69.3322, 902.992, 95.392, 441.616
746.185000000, 1007.78, 69.9844, 914.8, 92.976, 432.224
750.830000000, 1016.36, 70.5806, 919.712, 96.648, 423.64
754.955000000, 1029.34, 71.4817, 932.168, 97.168, 410.664
761.425000000, 1038.63, 72.1272, 940.744, 97.888, 401.368
767.735000000, 1047.69, 72.7561, 948.24, 99.448, 392.312
772.085000000, 1051.62, 73.0289, 951.816, 99.8, 388.384
776.410000000, 1053.53, 73.1617, 953.872, 99.656, 386.472
781.715000000, 1053.81, 73.1811, 952.152, 101.656, 386.192
787.565000000, 1054.03, 73.1967, 951.848, 102.184, 385.968
792.425000000, 1054.16, 73.2056, 951.728, 102.432, 385.84
797.440000000, 1054.18, 73.2072, 951.848, 102.336, 385.816
801.695000000, 1054.18, 73.2072, 952.112, 102.072, 385.816
806.600000000, 1056.88, 73.3944, 955.4, 101.48, 383.12
811.405000000, 1060.07, 73.6161, 959.312, 100.76, 379.928
815.585000000, 1065.56, 73.9972, 964.032, 101.528, 374.44
822.310000000, 1070.66, 74.3517, 969.032, 101.632, 369.336
830.550000000, 1088.62, 75.5983, 984.312, 104.304, 351.384
835.370000000, 1096.86, 76.1706, 991.424, 105.432, 343.144
839.910000000, 1101.68, 76.5056, 995.576, 106.104, 338.32
844.190000000, 1111.19, 77.1661, 1006.34, 104.856, 328.808
848.875000000, 1127.82, 78.3206, 1021.21, 106.608, 312.184
856.130000000, 1138.5, 79.0622, 1032.07, 106.424, 301.504
863.040000000, 1171.25, 81.3367, 1062.04, 109.208, 268.752
867.540000000, 1192.78, 82.8317, 1083.11, 109.664, 247.224
871.800000000, 1207.95, 83.8856, 1097.74, 110.216, 232.048
876.585000000, 1224.38, 85.0261, 1113.73, 110.648, 215.624
882.130000000, 1236.69, 85.8811, 1124.82, 111.872, 203.312
886.955000000, 1242.76, 86.3028, 1130.1, 112.656, 197.24
891.380000000, 1248.42, 86.6956, 1132.83, 115.584, 191.584
898.370000000, 1248.78, 86.7211, 1131.42, 117.36, 191.216
905.300000000, 1253.73, 87.0644, 1135.48, 118.248, 186.272
909.850000000, 1256.82, 87.2789, 1137.64, 119.176, 183.184
914.015000000, 1256.96, 87.2889, 1139.97, 116.992, 183.04
921.440000000, 1257.09, 87.2978, 1138.38, 118.704, 182.912
925.525000000, 1257.09, 87.2978, 1138.76, 118.328, 182.912
931.170000000, 1257.09, 87.2978, 1138.94, 118.152, 182.912
935.965000000, 1257.09, 87.2978, 1139.05, 118.04, 182.912
940.435000000, 1257.1, 87.2983, 1139.5, 117.6, 182.904
944.810000000, 1258.31, 87.3828, 1140.9, 117.408, 181.688
948.960000000, 1258.71, 87.4106, 1141.26, 117.456, 181.288
953.325000000, 1258.71, 87.4106, 1141.5, 117.216, 181.288
958.465000000, 1258.71, 87.4106, 1141.36, 117.352, 181.288
963.295000000, 1258.71, 87.4106, 1144.46, 114.248, 181.288
967.895000000, 1258.8, 87.4167, 1144.89, 113.912, 181.2
972.310000000, 1259.44, 87.4611, 1143.6, 115.84, 180.56
