Goal x, Goal y, Goal z, Planner
11.6724, 0.596095, 0.474839, aep
10.9605, -0.0149418, 0.820961, aep
10.1263, -0.229333, 1.32905, aep
9.24407, -0.700097, 1.33958, aep
8.30615, -0.753981, 1.68223, aep
7.74312, 0.0674601, 1.59153, aep
6.91406, 0.367755, 2.06322, aep
5.9235, 0.477634, 2.14509, aep
4.46381, 0.613898, 2.02316, aep
4.33583, -0.0230574, 1.26295, aep
3.47218, -0.107722, 0.766023, aep
2.67325, 0.388018, 1.10655, aep
1.83803, 0.630826, 0.613153, aep
1.30997, -0.0308466, 1.14546, aep
0.538429, 0.604643, 1.17504, aep
-0.104271, -0.0642456, 1.54857, aep
-0.964846, 0.82194, 2.12487, aep
-1.5308, 1.04396, 1.33089, aep
-2.21167, 0.312388, 1.29622, aep
-2.6554, -0.574415, 1.42541, aep
-3.2964, -1.17189, 0.94359, aep
-4.21904, -1.38452, 1.26532, aep
-3.77001, -1.70673, 0.431927, aep
-4.06425, -2.65689, 0.534926, aep
-4.13992, -1.66162, 0.59584, rrt
-4.7863, -1.90034, 1.32055, rrt
-4.89865, -2.78392, 0.865938, aep
-4.69205, -3.68328, 1.25124, aep
-3.92945, -4.2978, 1.45326, aep
-3.09522, -3.76147, 1.32514, aep
-2.62819, -4.40455, 0.718234, aep
-2.7553, -4.56596, 1.6969, aep
-2.71093, -3.60621, 1.97425, aep
-1.72002, -3.54932, 2.09614, aep
-1.01003, -4.21675, 1.87156, aep
-0.363561, -4.15923, 1.11079, aep
0.528337, -3.71152, 1.17463, aep
1.23922, -4.18976, 0.658946, aep
1.83359, -5.25243, 1.31577, aep
1.39854, -6.11064, 1.58819, aep
0.574662, -6.65226, 1.42125, aep
-0.368154, -6.32532, 1.48613, aep
-1.2605, -6.76752, 1.57661, aep
-1.86588, -7.47755, 1.21694, aep
-2.3135, -7.20957, 2.07007, aep
-3.22521, -7.01356, 2.43112, aep
-4.15791, -7.37037, 2.48365, aep
-3.4399, -6.67456, 2.46633, aep
-3.26782, -6.72387, 1.48248, aep
-3.93965, -5.98452, 1.43781, aep
-4.06686, -6.73898, 2.08171, aep
-5.05449, -6.67194, 1.93997, aep
-5.74694, -7.31263, 2.27169, aep
-6.05778, -8.23604, 2.04654, aep
-5.76607, -9.19125, 1.99684, aep
-5.42279, -9.29687, 1.06356, aep
-4.99517, -10.0026, 1.62843, aep
-4.24943, -10.4845, 2.08849, aep
-4.20147, -9.53327, 2.39322, aep
-3.32881, -9.06992, 2.23905, aep
-2.40465, -8.69993, 2.33416, aep
-1.47264, -8.50149, 2.03088, aep
-0.617045, -8.55566, 1.51608, aep
0.208034, -8.84474, 2.00155, aep
1.05575, -8.35923, 1.78787, aep
1.21397, -8.70234, 0.861998, aep
2.19384, -8.80657, 0.691714, aep
2.56769, -7.93477, 1.00829, aep
3.53982, -7.75373, 1.15719, aep
4.22171, -7.14017, 1.5554, aep
4.01464, -6.64084, 2.39671, aep
4.95699, -6.30757, 2.42683, aep
5.49128, -5.50223, 2.17003, aep
5.91691, -4.60207, 2.26254, aep
5.97119, -3.65451, 1.9476, aep
5.58076, -4.18706, 1.19663, aep
6.51301, -4.34722, 0.872179, aep
7.39743, -4.1669, 1.30262, aep
7.27456, -4.6469, 2.17125, aep
8.23969, -4.41162, 2.286, aep
7.35853, -3.95833, 2.15157, aep
7.66793, -3.66163, 1.24811, aep
8.45186, -3.33378, 0.720877, aep
7.79278, -3.53942, 0.375636, rrt
