Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
4.358000000, 73.248, 8.46798, 54.872, 18.376, 791.752
10.312000000, 80.168, 9.26798, 65.672, 14.496, 784.832
14.008000000, 84.184, 9.73225, 66.056, 18.128, 780.816
19.232000000, 95.76, 11.0705, 75.12, 20.64, 769.24
23.106000000, 100.192, 11.5829, 77.648, 22.544, 764.808
28.473000000, 108.392, 12.5309, 81.992, 26.4, 756.608
31.323000000, 118.136, 13.6573, 90.888, 27.248, 746.864
34.138000000, 123.6, 14.289, 92.784, 30.816, 741.4
37.011000000, 123.952, 14.3297, 94.552, 29.4, 741.048
43.153000000, 125.8, 14.5434, 90.056, 35.744, 739.2
50.481000000, 129.072, 14.9216, 96.904, 32.168, 735.928
56.349000000, 129.84, 15.0104, 94.792, 35.048, 735.16
62.242000000, 138.136, 15.9695, 101.8, 36.336, 726.864
65.209000000, 144.712, 16.7297, 107.76, 36.952, 720.288
68.231000000, 152.248, 17.6009, 114.504, 37.744, 712.752
71.106000000, 153.72, 17.7711, 114.568, 39.152, 711.28
74.117000000, 153.72, 17.7711, 114.304, 39.416, 711.28
76.901000000, 153.792, 17.7794, 117.408, 36.384, 711.208
79.853000000, 154.144, 17.8201, 115.624, 38.52, 710.856
82.701000000, 156.496, 18.092, 117.768, 38.728, 708.504
87.373000000, 157.96, 18.2613, 117.376, 40.584, 707.04
93.342000000, 161.688, 18.6923, 118.28, 43.408, 703.312
99.056000000, 162.056, 18.7348, 116.216, 45.84, 702.944
102.249000000, 167.104, 19.3184, 119.536, 47.568, 697.896
105.926000000, 177.68, 20.541, 130.648, 47.032, 687.32
109.432000000, 186.736, 21.588, 140.648, 46.088, 678.264
113.478000000, 190.584, 22.0328, 138.896, 51.688, 674.416
116.339000000, 193.752, 22.3991, 141.272, 52.48, 671.248
119.253000000, 199.488, 23.0622, 145.808, 53.68, 665.512
122.295000000, 202.28, 23.385, 147.648, 54.632, 662.72
125.361000000, 204.248, 23.6125, 146.808, 57.44, 660.752
128.872000000, 208.344, 24.086, 150.52, 57.824, 656.656
131.773000000, 208.888, 24.1489, 151.272, 57.616, 656.112
135.928000000, 212.904, 24.6132, 154.424, 58.48, 652.096
