Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
3.056000000, 154.76, 19.345, 136.936, 17.824, 645.24
9.041000000, 165.376, 20.672, 146.056, 19.32, 634.624
13.488000000, 169.992, 21.249, 149.72, 20.272, 630.008
19.133000000, 173.328, 21.666, 151.464, 21.864, 626.672
24.370000000, 175.984, 21.998, 153.96, 22.024, 624.016
28.520000000, 176.168, 22.021, 156.12, 20.048, 623.832
31.454000000, 176.168, 22.021, 154.648, 21.52, 623.832
36.149000000, 181.776, 22.722, 158.384, 23.392, 618.224
39.520000000, 190.8, 23.85, 166.608, 24.192, 609.2
42.752000000, 194.064, 24.258, 169.912, 24.152, 605.936
46.376000000, 202.848, 25.356, 177.664, 25.184, 597.152
49.610000000, 207.96, 25.995, 181.448, 26.512, 592.04
52.557000000, 211.032, 26.379, 184.592, 26.44, 588.968
55.789000000, 223, 27.875, 195.784, 27.216, 577
59.056000000, 234.696, 29.337, 204.992, 29.704, 565.304
63.068000000, 243.544, 30.443, 213.32, 30.224, 556.456
66.508000000, 249.232, 31.154, 219.04, 30.192, 550.768
69.853000000, 251.96, 31.495, 219.92, 32.04, 548.04
73.044000000, 258.648, 32.331, 225.56, 33.088, 541.352
76.287000000, 263.336, 32.917, 232.488, 30.848, 536.664
80.437000000, 279.056, 34.882, 245.376, 33.68, 520.944
83.636000000, 287.624, 35.953, 252.832, 34.792, 512.376
86.555000000, 292.04, 36.505, 256.888, 35.152, 507.96
89.711000000, 302.088, 37.761, 266.192, 35.896, 497.912
92.884000000, 311.8, 38.975, 278.344, 33.456, 488.2
96.377000000, 312.376, 39.047, 276.064, 36.312, 487.624
99.239000000, 318.936, 39.867, 284.688, 34.248, 481.064
102.638000000, 332.072, 41.509, 294.688, 37.384, 467.928
107.133000000, 352.008, 44.001, 312.144, 39.864, 447.992
110.400000000, 357.576, 44.697, 317.064, 40.512, 442.424
113.382000000, 361.192, 45.149, 320.808, 40.384, 438.808
116.804000000, 372.232, 46.529, 330.576, 41.656, 427.768
119.691000000, 383.512, 47.939, 340.744, 42.768, 416.488
