Goal x, Goal y, Goal z, Planner
-5.42762, 0.696095, 0.873821, aep
-5.3259, 1.59819, 1.29321, aep
-6.79034, 1.32548, 1.46799, aep
-7.41062, 0.64165, 1.85222, aep
-7.60258, -0.339524, 1.83103, aep
-7.27973, -1.27156, 1.66647, aep
-6.42692, -0.901225, 1.29827, aep
-5.69067, -1.5777, 1.3161, aep
-5.2389, -2.46983, 1.31921, aep
-5.07487, -3.2212, 1.95838, aep
-5.54774, -3.58801, 1.15723, aep
-5.08172, -3.98024, 1.95031, aep
-4.13423, -4.17902, 1.6998, aep
-3.43815, -4.64078, 1.15002, aep
-2.98537, -5.52951, 1.22176, aep
-2.39038, -5.93804, 0.529592, aep
-1.68838, -6.23232, 1.17813, aep
-2.42345, -6.79531, 1.55591, aep
-3.05451, -7.4527, 1.14409, aep
-2.30018, -6.8386, 0.911987, aep
-1.6691, -7.2821, 0.275558, aep
-2.37014, -7.03916, 0.946023, aep
-2.01414, -6.23865, 1.42816, aep
-2.23701, -5.26403, 1.40676, aep
-1.57135, -5.13715, 0.671371, aep
-0.777425, -5.74504, 0.658963, aep
-1.42629, -6.34723, 1.12408, aep
-0.794442, -5.70733, 1.56145, aep
0.0862083, -5.2378, 1.49824, aep
0.0472657, -6.07409, 0.951334, aep
-0.577467, -5.29703, 1.0281, aep
-1.56463, -5.30798, 1.18746, aep
-2.55827, -5.37606, 1.27713, aep
-1.87011, -4.68673, 1.50357, aep
-2.43769, -3.89018, 1.71182, aep
-2.19634, -2.95731, 1.97921, aep
-1.20278, -2.86136, 1.91902, aep
-1.50058, -3.58745, 1.29926, aep
-1.02671, -4.12084, 1.99993, aep
-0.089482, -4.07767, 1.65388, aep
0.858997, -3.76183, 1.62876, aep
1.26384, -4.67011, 1.52327, aep
1.97209, -3.98767, 1.70394, aep
2.24611, -3.37699, 0.960986, aep
2.49394, -2.44014, 0.714221, aep
3.23144, -1.82539, 0.434599, aep
2.66808, -2.60696, 0.166677, aep
2.86696, -3.46258, 0.644544, aep
2.84863, -3.51687, 1.6429, aep
2.87672, -4.4893, 1.8744, aep
3.85051, -4.68636, 1.76084, aep
3.95129, -5.65267, 1.52403, aep
4.07194, -5.41502, 0.560194, aep
5.05563, -5.44816, 0.737003, aep
5.58464, -5.99098, 1.3893, aep
6.38563, -5.60993, 0.927558, aep
7.06731, -5.1796, 1.51928, aep
7.36194, -4.25463, 1.27925, aep
7.0595, -3.52758, 1.89564, aep
7.11708, -2.52923, 1.89567, aep
7.16187, -1.53144, 1.84661, aep
6.60502, -0.703951, 1.91854, aep
7.35205, -0.0440649, 1.83785, aep
7.76061, 0.679678, 1.28173, aep
8.38929, 1.12046, 1.9224, aep
7.81923, 1.83005, 1.50827, aep
7.62831, 2.60785, 0.909457, aep
7.86094, 3.53737, 1.19558, aep
7.17063, 3.10945, 1.77898, aep
7.89744, 3.64928, 1.35432, aep
8.4923, 4.45098, 1.41282, aep
8.18702, 4.92371, 0.586182, aep
8.16769, 5.58695, 1.33435, aep
7.83573, 6.49448, 1.59162, aep
7.82444, 7.49117, 1.67207, aep
7.01665, 6.90826, 1.58443, aep
6.95775, 7.48337, 0.768476, aep
6.11921, 6.96206, 0.610128, aep
5.30802, 6.37834, 0.574738, aep
4.44773, 6.88273, 0.500528, aep
3.51759, 7.24756, 0.542247, aep
3.14293, 8.0747, 0.961135, aep
2.76457, 8.94834, 1.26707, aep
1.83661, 8.93135, 0.894776, aep
0.517093, 8.73593, 1.47814, aep
0.190973, 9.21771, 0.664794, aep
-0.302126, 9.8184, 1.2941, aep
-0.090522, 8.8854, 1.58519, aep
0.527733, 8.6512, 0.834918, aep
0.606164, 7.67873, 1.05433, aep
1.00306, 6.944, 1.60447, aep
0.182816, 7.32295, 1.17598, aep
-0.176956, 7.92088, 0.459711, aep
-0.961183, 8.53343, 0.360913, aep
-1.83556, 8.14237, 0.64821, aep
-1.82319, 7.14881, 0.760821, aep
-2.32574, 8.01068, 0.828701, rrt
-2.51713, 8.39836, 1.02154, rrt
-3.4549, 8.73934, 1.08725, rrt
-2.54949, 8.34915, 0.919936, rrt
-1.65487, 8.03601, 1.23867, rrt
-1.13892, 7.18001, 1.2062, rrt
-1.24458, 6.18802, 1.13702, rrt
-1.57419, 5.24393, 1.14508, rrt
-1.91492, 4.30418, 1.11723, rrt
-1.28767, 3.53141, 1.02036, rrt
-0.64948, 2.76188, 0.99747, rrt
-0.76149, 1.7767, 0.867567, rrt
-0.131787, 0.999863, 0.869586, rrt
-0.380444, 0.042801, 0.720581, rrt
-0.343874, -0.956427, 0.734928, rrt
-0.766034, -1.86107, 0.676564, rrt
-1.70247, -2.20353, 0.600359, rrt
-2.50691, -2.782, 0.73545, rrt
-3.10318, -3.40209, 1.24531, rrt
-3.94109, -3.50511, 1.7813, rrt
-4.40634, -3.29554, 1.57247, rrt
-4.98484, -4.10747, 1.65063, rrt
-5.72177, -3.62028, 1.18202, aep
-6.49886, -3.97784, 0.664071, aep
-6.85767, -4.8583, 0.973975, aep
-7.26615, -5.64565, 1.43574, aep
-6.48432, -5.03958, 1.58209, rrt
-5.93136, -3.70289, 1.46705, rrt
-5.1055, -3.13954, 1.49147, rrt
-5.46526, -2.26693, 1.16114, rrt
-5.04399, -1.41722, 1.4321, rrt
-5.47413, -0.538105, 1.22683, rrt
-6.30958, -0.164204, 1.62959, rrt
-6.23562, 0.789615, 1.33846, rrt
-6.60225, 1.71675, 1.26101, rrt
-6.99271, 2.62731, 1.12526, rrt
-7.66058, 2.96392, 0.461444, aep
-7.31089, 3.84212, 0.787752, aep
-8.22317, 4.13703, 0.503526, aep
-8.93686, 4.32971, 1.17696, aep
-8.83464, 5.31217, 1.02099, aep
