Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
4.663000000, 242.32, 22.0291, 220.016, 22.304, 857.68
8.051000000, 267.008, 24.2735, 242.008, 25, 832.992
13.038000000, 315.208, 28.6553, 284.544, 30.664, 784.792
16.568000000, 351.744, 31.9767, 319.552, 32.192, 748.256
21.847000000, 387.336, 35.2124, 352, 35.336, 712.664
27.062000000, 429.696, 39.0633, 388.872, 40.824, 670.304
30.974000000, 460.76, 41.8873, 418.632, 42.128, 639.24
36.274000000, 484.728, 44.0662, 441.304, 43.424, 615.272
41.616000000, 511.496, 46.4996, 465.312, 46.184, 588.504
44.836000000, 540.248, 49.1135, 491.448, 48.8, 559.752
47.924000000, 571.84, 51.9855, 521.848, 49.992, 528.16
51.545000000, 594.144, 54.0131, 542.624, 51.52, 505.856
55.122000000, 624.32, 56.7564, 571.312, 53.008, 475.68
58.719000000, 646.496, 58.7724, 592.176, 54.32, 453.504
63.094000000, 667.416, 60.6742, 608.72, 58.696, 432.584
66.336000000, 680.056, 61.8233, 617.504, 62.552, 419.944
70.712000000, 682.928, 62.0844, 619.184, 63.744, 417.072
75.393000000, 683.6, 62.1455, 618.16, 65.44, 416.4
81.103000000, 690.792, 62.7993, 618.816, 71.976, 409.208
85.421000000, 692.568, 62.9607, 618.896, 73.672, 407.432
89.076000000, 693.048, 63.0044, 619.864, 73.184, 406.952
92.291000000, 693.536, 63.0487, 620.456, 73.08, 406.464
95.562000000, 694.272, 63.1156, 620.856, 73.416, 405.728
98.880000000, 694.672, 63.152, 620.544, 74.128, 405.328
103.398000000, 695.8, 63.2545, 621.832, 73.968, 404.2
106.918000000, 697.272, 63.3884, 621.712, 75.56, 402.728
110.977000000, 699.312, 63.5738, 623.52, 75.792, 400.688
114.105000000, 701.448, 63.768, 624.744, 76.704, 398.552
117.202000000, 704.888, 64.0807, 627.744, 77.144, 395.112
122.258000000, 704.872, 64.0793, 623.632, 81.24, 395.128
127.396000000, 711.488, 64.6807, 631.352, 80.136, 388.512
130.451000000, 715.696, 65.0633, 635.336, 80.36, 384.304
133.500000000, 721.664, 65.6058, 640.36, 81.304, 378.336
136.450000000, 729.024, 66.2749, 647.56, 81.464, 370.976
139.781000000, 738.72, 67.1564, 655.536, 83.184, 361.28
143.106000000, 752.768, 68.4335, 668.512, 84.256, 347.232
146.113000000, 761.752, 69.2502, 677.464, 84.288, 338.248
149.152000000, 766.664, 69.6967, 681.96, 84.704, 333.336
152.176000000, 777.928, 70.7207, 691.16, 86.768, 322.072
155.305000000, 781.696, 71.0633, 694.488, 87.208, 318.304
159.176000000, 786.264, 71.4785, 698.136, 88.128, 313.736
162.759000000, 796.64, 72.4218, 708.208, 88.432, 303.36
167.302000000, 800.36, 72.76, 708.664, 91.696, 299.64
171.654000000, 814.512, 74.0465, 722.232, 92.28, 285.488
174.750000000, 819.488, 74.4989, 726.856, 92.632, 280.512
178.650000000, 821.264, 74.6604, 727.352, 93.912, 278.736
184.796000000, 821.4, 74.6727, 726.528, 94.872, 278.6
190.759000000, 823.208, 74.8371, 726.744, 96.464, 276.792
194.104000000, 825.752, 75.0684, 728.44, 97.312, 274.248
197.218000000, 830.024, 75.4567, 732.064, 97.96, 269.976
200.372000000, 832.448, 75.6771, 734.216, 98.232, 267.552
204.055000000, 843.52, 76.6836, 745.184, 98.336, 256.48
207.216000000, 860.872, 78.2611, 760.704, 100.168, 239.128
210.087000000, 871.568, 79.2335, 770.768, 100.8, 228.432
213.547000000, 886.656, 80.6051, 785.664, 100.992, 213.344
216.864000000, 907.776, 82.5251, 805.488, 102.288, 192.224
220.042000000, 926.4, 84.2182, 823.192, 103.208, 173.6
223.074000000, 941.432, 85.5847, 836.992, 104.44, 158.568
226.383000000, 953.176, 86.6524, 847.696, 105.48, 146.824
229.378000000, 956.728, 86.9753, 851.488, 105.24, 143.272
232.286000000, 959.76, 87.2509, 854.608, 105.152, 140.24
235.184000000, 964.36, 87.6691, 859.184, 105.176, 135.64
238.011000000, 965.176, 87.7433, 859.904, 105.272, 134.824
241.176000000, 965.616, 87.7833, 860.488, 105.128, 134.384
244.935000000, 966.664, 87.8785, 861.624, 105.04, 133.336
248.721000000, 967.496, 87.9542, 862.432, 105.064, 132.504
252.563000000, 969.992, 88.1811, 864.624, 105.368, 130.008
256.092000000, 982.24, 89.2945, 875.416, 106.824, 117.76
259.653000000, 996.352, 90.5775, 888.816, 107.536, 103.648
262.550000000, 1011.42, 91.9476, 900.984, 110.44, 88.576
265.420000000, 1015.43, 92.312, 902.312, 113.12, 84.568
271.543000000, 1020.5, 92.7724, 903.088, 117.408, 79.504
276.467000000, 1020.76, 92.7964, 903.08, 117.68, 79.24
280.610000000, 1021.5, 92.864, 901.432, 120.072, 78.496
280.610000000, 1021.57, 92.8698, 901.24, 120.328, 78.432
