Goal x, Goal y, Goal z, Planner
0.772379, 13.0961, 0.474745, aep
0.355881, 12.2369, 0.771979, aep
-0.59952, 11.9891, 0.932543, aep
-1.1452, 12.8249, 0.992779, aep
-1.19633, 13.7248, 1.42593, aep
-0.949623, 12.7858, 1.66576, aep
-1.80826, 12.3013, 1.49839, aep
-1.83816, 11.6509, 2.2574, aep
-1.35405, 11.3247, 3.06931, aep
-1.3003, 10.5739, 3.72764, aep
-1.9512, 9.86017, 3.46885, aep
-0.982469, 8.75504, 3.71518, aep
-0.130768, 8.59995, 3.21463, aep
0.700785, 9.0399, 2.87557, aep
1.38481, 8.31554, 2.96168, aep
1.76076, 7.39058, 3.0174, aep
2.20633, 6.7061, 2.44037, aep
2.14745, 5.75718, 2.75035, aep
1.59953, 5.03652, 3.17511, aep
1.4306, 4.43986, 2.3906, aep
0.776407, 3.87667, 1.88577, aep
-0.148882, 3.49869, 1.85456, aep
0.410928, 4.26979, 2.15792, aep
0.940215, 4.33172, 3.0041, aep
1.7115, 3.72548, 2.81019, aep
2.32879, 3.52293, 2.04998, aep
3.13396, 4.10585, 2.15909, aep
2.745, 3.6828, 2.97747, aep
1.9055, 3.22796, 3.27475, aep
1.02289, 3.48524, 3.66819, aep
0.423909, 4.28578, 3.68702, aep
-0.520148, 4.07917, 3.42998, aep
-0.923708, 3.47398, 4.11619, aep
-1.11279, 2.60186, 3.6649, aep
-1.32969, 1.62577, 3.67929, aep
-1.16709, 1.05173, 2.87677, aep
-2.16075, 0.942187, 2.8515, aep
-2.4545, 1.74903, 3.36405, aep
-2.24253, 2.44166, 4.0535, aep
-2.50531, 3.40093, 3.94983, aep
-2.14714, 4.05856, 3.28709, aep
-1.52261, 3.89652, 4.05109, aep
-0.385326, 3.60719, 3.13031, aep
0.100239, 2.73329, 3.15304, aep
1.08701, 2.65309, 3.29394, aep
1.74215, 2.58287, 4.04617, aep
1.05154, 2.89421, 3.3934, aep
0.851304, 3.48603, 2.6126, aep
0.229153, 3.72575, 1.8673, aep
-0.728507, 3.43955, 1.83604, aep
-1.70123, 3.49332, 2.06167, aep
-2.43439, 2.82452, 2.18488, aep
-2.60925, 2.9942, 3.15474, aep
-1.83279, 2.37754, 3.28449, aep
-1.34623, 3.08565, 3.7962, aep
-1.50978, 3.57332, 4.65378, aep
-2.41834, 3.58174, 4.23613, aep
-2.989, 4.2386, 3.74329, aep
-3.02144, 3.63495, 2.9467, aep
-2.40976, 3.39657, 2.19237, aep
-1.54801, 3.90371, 2.20679, aep
-0.644962, 3.57823, 2.48707, aep
-0.176411, 2.81517, 2.04188, aep
0.582964, 3.38849, 1.73423, aep
0.418392, 3.17702, 2.69766, aep
1.23441, 3.25818, 3.26996, aep
1.47233, 2.3304, 3.55739, aep
1.36437, 1.65658, 4.28835, aep
0.902606, 2.54245, 4.2435, aep
0.270127, 3.2448, 4.57012, aep
-0.712429, 3.43044, 4.58108, aep
-1.44855, 3.09145, 3.99524, aep
-2.29165, 3.58896, 4.19936, aep
-2.3796, 2.86624, 4.88487, aep
-2.23698, 2.05463, 4.31835, aep
-2.73313, 2.73245, 4.86093, aep
-2.55972, 3.71522, 4.92497, aep
-2.77749, 3.13494, 4.14021, aep
-2.18403, 2.79017, 3.41292, aep
-1.23033, 2.7685, 3.11297, aep
-1.48556, 2.93695, 4.06506, aep
-1.09429, 3.85688, 4.09019, aep
-0.167731, 4.23237, 4.06787, aep
0.556809, 4.52863, 4.69018, aep
-4.09587e-05, 5.35612, 4.76211, aep
-0.00796203, 5.7265, 3.83326, aep
-0.214667, 5.80177, 2.85776, aep
-0.216737, 6.79715, 2.95382, aep
-0.532684, 6.75193, 3.90152, aep
0.07695, 7.46128, 3.54774, aep
-0.464936, 8.29736, 3.46207, aep
-0.138328, 8.86114, 2.70348, aep
-0.870858, 8.22009, 2.47445, aep
-1.636, 8.60342, 2.99176, aep
-2.5276, 8.5486, 3.44126, aep
-2.89709, 9.42424, 3.13024, aep
-3.15705, 10.2176, 2.57984, aep
-3.26071, 11.1607, 2.89578, aep
-3.28317, 11.9471, 3.51309, aep
-4.16537, 12.3959, 3.37043, aep
-3.76926, 13.0655, 2.74219, aep
-3.43757, 13.1795, 3.67867, aep
-3.47374, 14.178, 3.71868, aep
-3.09634, 15.0442, 3.39099, aep
-3.46411, 15.3166, 2.50187, aep
-3.27655, 16.1891, 2.05061, aep
-3.87577, 16.9818, 2.16269, aep
-3.15502, 17.3678, 1.58694, aep
-4.09802, 17.6931, 1.51651, aep
-4.09071, 18.4382, 2.18342, aep
-4.24347, 18.74, 1.24237, aep
-3.39618, 19.2159, 1.0066, aep
-2.5069, 19.4854, 0.637063, aep
-1.65358, 19.9811, 0.475372, aep
-0.72796, 20.0873, 0.838597, aep
-0.220159, 19.3944, 1.35048, aep
-0.126349, 18.7475, 2.10726, aep
0.622973, 18.3281, 2.61974, aep
0.243611, 18.3385, 3.54493, aep
0.811745, 17.9658, 2.81122, aep
1.18947, 18.888, 2.8944, aep
0.690555, 19.7383, 2.72686, aep
0.780183, 19.0685, 3.46397, aep
0.111525, 18.0078, 4.09769, aep
-0.610616, 18.0142, 4.7894, aep
-0.626155, 17.0202, 4.68059, aep
-0.0430123, 16.2753, 4.35658, aep
