Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
10.428720, 105.544, 6.48504, 88.512, 17.032, 1521.96
15.096786, 107.672, 6.61579, 91.528, 16.144, 1519.83
41.342564, 175.824, 10.8033, 153.248, 22.576, 1451.68
63.446016, 203.016, 12.4741, 174.24, 28.776, 1424.48
86.438084, 210.832, 12.9543, 180.432, 30.4, 1416.67
104.919326, 213.512, 13.119, 182.192, 31.32, 1413.99
148.352844, 216.136, 13.2802, 186.008, 30.128, 1411.36
178.123984, 218.44, 13.4218, 184.664, 33.776, 1409.06
273.799241, 276.992, 17.0195, 223.888, 53.104, 1350.51
280.465888, 278.096, 17.0873, 224.872, 53.224, 1349.4
288.201567, 281.84, 17.3174, 225.792, 56.048, 1345.66
313.038888, 294.048, 18.0675, 237.224, 56.824, 1333.45
349.554056, 304.28, 18.6962, 243.112, 61.168, 1323.22
378.644386, 312.472, 19.1995, 249.296, 63.176, 1315.03
479.986223, 345.112, 21.205, 275.304, 69.808, 1282.39
510.686454, 380.568, 23.3836, 300.688, 79.88, 1246.93
596.446472, 451.736, 27.7564, 358.408, 93.328, 1175.76
