Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
9.037797, 82.136, 10.2927, 62.36, 19.776, 715.864
31.863195, 140.064, 17.5519, 105.424, 34.64, 657.936
38.298533, 174.696, 21.8917, 131.832, 42.864, 623.304
59.678816, 213.432, 26.7459, 168.032, 45.4, 584.568
81.363058, 302.68, 37.9298, 247.792, 54.888, 495.32
99.313157, 349.256, 43.7664, 283.944, 65.312, 448.744
109.444277, 372.44, 46.6717, 303.08, 69.36, 425.56
146.210516, 388.544, 48.6897, 316.44, 72.104, 409.456
180.485286, 436.904, 54.7499, 356.84, 80.064, 361.096
198.828131, 495.464, 62.0882, 402.04, 93.424, 302.536
217.986461, 545.848, 68.402, 439.112, 106.736, 252.152
239.011856, 627.648, 78.6526, 507.704, 119.944, 170.352
258.876628, 638.768, 80.0461, 515.888, 122.88, 159.232
295.348218, 672.6, 84.2857, 545.56, 127.04, 125.4
337.353211, 680.968, 85.3343, 550.456, 130.512, 117.032
374.733709, 683.856, 85.6962, 550.936, 132.92, 114.144
379.642998, 684.512, 85.7784, 552.216, 132.296, 113.488
386.125343, 685.768, 85.9358, 552.936, 132.832, 112.232
394.254289, 686.936, 86.0822, 551.984, 134.952, 111.064
411.466917, 689.568, 86.412, 552.704, 136.864, 108.432
441.335972, 691.224, 86.6195, 554.096, 137.128, 106.776
449.741192, 691.648, 86.6727, 554.472, 137.176, 106.352
501.412272, 694.896, 87.0797, 555.696, 139.2, 103.104
536.023510, 695.96, 87.213, 555.92, 140.04, 102.04
588.682697, 696.072, 87.2271, 553.592, 142.48, 101.928
