Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
9.040906, 83.536, 16.3796, 67.632, 15.904, 426.464
10.804892, 84.72, 16.6118, 69.152, 15.568, 425.28
30.736816, 158.728, 31.1231, 131.488, 27.24, 351.272
42.452576, 175.112, 34.3357, 146.52, 28.592, 334.888
83.355177, 259.992, 50.9788, 217.96, 42.032, 250.008
103.060326, 321.472, 63.0337, 274.568, 46.904, 188.528
145.009342, 408.12, 80.0235, 344.368, 63.752, 101.88
166.577292, 420.44, 82.4392, 350.944, 69.496, 89.56
239.692894, 451.76, 88.5804, 379.472, 72.288, 58.24
252.165816, 460.792, 90.3514, 382.12, 78.672, 49.208
330.024944, 466.056, 91.3835, 383.976, 82.08, 43.944
358.438389, 466.048, 91.382, 382.808, 83.24, 43.952
568.997939, 474.2, 92.9804, 387.936, 86.264, 35.8
