Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
9.370485, 78.992, 17.5538, 66.008, 12.984, 371.008
13.686974, 83.928, 18.6507, 68.496, 15.432, 366.072
28.867721, 167.168, 37.1484, 148.072, 19.096, 282.832
38.894461, 174.68, 38.8178, 151.072, 23.608, 275.32
61.731189, 250.536, 55.6747, 220.36, 30.176, 199.464
79.461490, 315.376, 70.0836, 279.664, 35.712, 134.624
105.659195, 371.568, 82.5707, 325.832, 45.736, 78.432
123.567301, 375.584, 83.4631, 331.032, 44.552, 74.416
175.821958, 397.272, 88.2827, 344.92, 52.352, 52.728
213.476708, 407.352, 90.5227, 353.312, 54.04, 42.648
252.733054, 409.048, 90.8996, 354.72, 54.328, 40.952
275.059952, 418.24, 92.9422, 359.312, 58.928, 31.76
318.210855, 416.288, 92.5084, 361.128, 55.16, 33.712
365.426285, 410.528, 91.2284, 361.696, 48.832, 39.472
430.983080, 400.704, 89.0453, 353.272, 47.432, 49.296
475.581298, 402.4, 89.4222, 349.504, 52.896, 47.6
527.248347, 396.256, 88.0569, 341.624, 54.632, 53.744
