Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
9.400387, 155.84, 34.6311, 140.92, 14.92, 294.16
15.369280, 159.664, 35.4809, 144.88, 14.784, 290.336
34.388684, 205.456, 45.6569, 183.432, 22.024, 244.544
51.919262, 234.488, 52.1084, 202.896, 31.592, 215.512
85.096706, 263.344, 58.5209, 228.984, 34.36, 186.656
110.771141, 303.28, 67.3956, 260.568, 42.712, 146.72
136.757145, 339.544, 75.4542, 288.496, 51.048, 110.456
154.102842, 379.128, 84.2507, 321.912, 57.216, 70.872
174.310622, 413.576, 91.9058, 349.656, 63.92, 36.424
200.401046, 423.928, 94.2062, 360.464, 63.464, 26.072
219.986517, 425.336, 94.5191, 362.04, 63.296, 24.664
238.742518, 425.848, 94.6329, 360.752, 65.096, 24.152
