Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
12.430578, 90.76, 6.30278, 75.536, 15.224, 1349.24
17.587079, 95.096, 6.60389, 80.584, 14.512, 1344.9
25.155571, 108.48, 7.53333, 93.2, 15.28, 1331.52
53.438984, 140.368, 9.74778, 121.568, 18.8, 1299.63
79.086385, 181.76, 12.6222, 161.104, 20.656, 1258.24
104.353760, 252.584, 17.5406, 230.128, 22.456, 1187.42
110.962945, 277.712, 19.2856, 253.2, 24.512, 1162.29
131.605292, 333.76, 23.1778, 306.624, 27.136, 1106.24
147.354781, 355.472, 24.6856, 326.896, 28.576, 1084.53
191.420447, 448.056, 31.115, 414.488, 33.568, 991.944
222.992596, 514.16, 35.7056, 475.04, 39.12, 925.84
228.082599, 534.288, 37.1033, 494.984, 39.304, 905.712
255.298683, 636.336, 44.19, 592.152, 44.184, 803.664
289.778601, 706.12, 49.0361, 657.68, 48.44, 733.88
315.000273, 729.504, 50.66, 677.816, 51.688, 710.496
345.165462, 741.336, 51.4817, 691.992, 49.344, 698.664
391.961500, 773.272, 53.6994, 720.368, 52.904, 666.728
403.963250, 773.432, 53.7106, 719.296, 54.136, 666.568
438.520449, 825.328, 57.3144, 770.832, 54.496, 614.672
463.156881, 877.512, 60.9383, 819.888, 57.624, 562.488
493.693197, 946.152, 65.705, 883.816, 62.336, 493.848
564.203065, 992.808, 68.945, 925.048, 67.76, 447.192
760.585518, 1164.9, 80.8956, 1091.43, 73.464, 275.104
787.672003, 1239.45, 86.0728, 1162.42, 77.024, 200.552
817.589057, 1291.15, 89.6633, 1204.56, 86.592, 148.848
849.735968, 1292.68, 89.7694, 1204.05, 88.632, 147.32
913.641540, 1293.31, 89.8133, 1200.49, 92.824, 146.688
945.320298, 1296.86, 90.06, 1207.43, 89.432, 143.136
952.106164, 1297.39, 90.0967, 1207.21, 90.184, 142.608
958.777361, 1298.96, 90.2056, 1208.91, 90.048, 141.04
982.866854, 1303.26, 90.5044, 1213.41, 89.856, 136.736
1008.603479, 1303.62, 90.5294, 1210.17, 93.456, 136.376
1027.745514, 1305.26, 90.6428, 1212.73, 92.528, 134.744
1037.010425, 1305.26, 90.6428, 1211.95, 93.304, 134.744
1090.842688, 1310.37, 90.9978, 1211.9, 98.472, 129.632
1111.078447, 1315.18, 91.3322, 1216.42, 98.768, 124.816
1146.979544, 1318.44, 91.5583, 1223.41, 95.032, 121.56
