Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
8.844968, 33.12, 3.8289, 26.336, 6.784, 831.88
14.161846, 33.712, 3.89734, 26.408, 7.304, 831.288
22.340943, 38.008, 4.39399, 29.8, 8.208, 826.992
36.871214, 39.112, 4.52162, 30.016, 9.096, 825.888
59.782901, 68.624, 7.93341, 55.184, 13.44, 796.376
66.525367, 74.136, 8.57064, 56.168, 17.968, 790.864
89.116503, 97.136, 11.2296, 76.896, 20.24, 767.864
99.651487, 109.472, 12.6557, 88.88, 20.592, 755.528
107.272614, 122.744, 14.1901, 98.552, 24.192, 742.256
137.480882, 151.408, 17.5038, 114.984, 36.424, 713.592
173.040177, 181.464, 20.9785, 142.528, 38.936, 683.536
192.593078, 182.328, 21.0784, 145.472, 36.856, 682.672
231.293804, 211.368, 24.4356, 164.4, 46.968, 653.632
239.067738, 226.288, 26.1605, 178.6, 47.688, 638.712
258.821748, 244.48, 28.2636, 192.168, 52.312, 620.52
301.071014, 282.464, 32.6548, 219.088, 63.376, 582.536
324.082631, 325.928, 37.6795, 254.376, 71.552, 539.072
347.247319, 354.6, 40.9942, 277.664, 76.936, 510.4
518.508015, 359.44, 41.5538, 288.616, 70.824, 505.56
617.278274, 360.784, 41.7091, 286.76, 74.024, 504.216
735.255034, 446.728, 51.6449, 355.488, 91.24, 418.272
753.198518, 466.92, 53.9792, 372.088, 94.832, 398.08
767.451326, 489.984, 56.6455, 385.96, 104.024, 375.016
786.036833, 491.464, 56.8166, 390.24, 101.224, 373.536
