Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
9.775711, 133.72, 16.715, 113, 20.72, 666.28
11.419835, 137.552, 17.194, 117.144, 20.408, 662.448
30.681112, 215.6, 26.95, 189.48, 26.12, 584.4
49.164455, 298.6, 37.325, 266.808, 31.792, 501.4
72.784713, 354.84, 44.355, 316.832, 38.008, 445.16
88.503409, 420.792, 52.599, 373.688, 47.104, 379.208
98.085169, 431.816, 53.977, 382.272, 49.544, 368.184
110.962953, 475.08, 59.385, 420.776, 54.304, 324.92
129.054461, 499.784, 62.473, 441.104, 58.68, 300.216
146.335637, 540.976, 67.622, 477.536, 63.44, 259.024
165.191792, 611.672, 76.459, 541.832, 69.84, 188.328
184.747910, 649.12, 81.14, 572.616, 76.504, 150.88
204.591484, 689.072, 86.134, 607.4, 81.672, 110.928
228.814994, 731.568, 91.446, 642.584, 88.984, 68.432
249.924203, 737.296, 92.162, 644.84, 92.456, 62.704
281.025405, 742.184, 92.773, 648.472, 93.712, 57.816
345.895287, 743.344, 92.918, 645.352, 97.992, 56.656
510.459353, 747.928, 93.491, 647.168, 100.76, 52.072
519.254620, 747.04, 93.38, 647.584, 99.456, 52.96
555.003234, 748.144, 93.518, 647.824, 100.32, 51.856
658.329182, 753.008, 94.126, 657.2, 95.808, 46.992
686.712014, 747.256, 93.407, 653.384, 93.872, 52.744
880.072460, 745.616, 93.202, 641.312, 104.304, 54.384
916.959641, 740.496, 92.562, 635.528, 104.968, 59.504
976.323995, 738.888, 92.361, 633.912, 104.976, 61.112
1039.241367, 740.832, 92.604, 626.48, 114.352, 59.168
1096.730501, 741.344, 92.668, 634.32, 107.024, 58.656
