Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
9.670567, 172.56, 15.6873, 156.232, 16.328, 927.44
33.881111, 326.064, 29.6422, 296.848, 29.216, 773.936
53.977126, 472.336, 42.9396, 427.008, 45.328, 627.664
66.503553, 486.64, 44.24, 437.384, 49.256, 613.36
89.760399, 624.144, 56.7404, 570.736, 53.408, 475.856
113.779278, 725.328, 65.9389, 662.352, 62.976, 374.672
125.804967, 729.696, 66.336, 663.912, 65.784, 370.304
159.110582, 753.544, 68.504, 682.392, 71.152, 346.456
189.082047, 813.16, 73.9236, 732.264, 80.896, 286.84
272.702590, 878.944, 79.904, 786.336, 92.608, 221.056
292.235068, 970.256, 88.2051, 872.552, 97.704, 129.744
311.755153, 989.536, 89.9578, 885.424, 104.112, 110.464
341.812249, 1010.08, 91.8255, 902.896, 107.184, 89.92
370.423016, 1011.69, 91.9716, 900.76, 110.928, 88.312
403.684437, 1015.33, 92.3025, 900.624, 114.704, 84.672
448.555579, 1021.23, 92.8393, 901.392, 119.84, 78.768
490.396174, 1021.97, 92.9062, 902.904, 119.064, 78.032
564.584652, 1027.06, 93.3687, 908.208, 118.848, 72.944
589.892541, 1027.98, 93.4524, 910.792, 117.184, 72.024
607.081327, 1028.37, 93.488, 909.872, 118.496, 71.632
730.800970, 1027.58, 93.4167, 908.912, 118.672, 72.416
781.657375, 1027.49, 93.408, 907.8, 119.688, 72.512
860.480326, 1029.01, 93.5462, 909.512, 119.496, 70.992
921.048599, 1028.06, 93.4604, 908.216, 119.848, 71.936
950.883908, 1028.04, 93.4582, 902.192, 125.848, 71.96
969.458067, 1027.78, 93.4342, 901.144, 126.632, 72.224
989.194808, 1026.58, 93.3251, 900.552, 126.024, 73.424
1016.904846, 1027.74, 93.4313, 900.584, 127.16, 72.256
1080.034102, 1029.66, 93.6058, 906.752, 122.912, 70.336
1098.804702, 1029.98, 93.6349, 907.064, 122.92, 70.016
1165.127145, 1031.11, 93.7375, 915.872, 115.24, 68.888
1194.634224, 1032.39, 93.8538, 914.792, 117.6, 67.608
