Goal x, Goal y, Goal z, Planner
0.372379, -3.3039, 0.474288, aep
0.474098, -2.40181, 0.893677, aep
1.46451, -2.51904, 0.966742, aep
1.98114, -1.92087, 0.354134, aep
2.16402, -1.07151, 0.849246, aep
2.72269, -0.466811, 1.4169, aep
2.56005, 0.276251, 2.06605, aep
2.14853, 0.784051, 2.29318, aep
1.21876, 1.1199, 2.44396, aep
1.33136, 2.08388, 2.20303, aep
2.08857, 2.73443, 2.26153, aep
2.86748, 2.40255, 1.72942, aep
3.86438, 2.36768, 1.80003, aep
4.76296, 2.80137, 1.86688, aep
5.38927, 2.15224, 1.43517, aep
4.6694, 2.81788, 1.6319, aep
4.64783, 3.10176, 0.748996, aep
5.70408, 2.26076, 0.759456, aep
6.147, 1.40449, 0.493706, aep
7.00761, 1.37519, 1.00213, aep
7.33459, 1.04743, 1.8885, aep
6.53454, 0.483328, 1.6843, aep
6.37235, 0.400176, 0.701046, aep
6.43481, -0.51417, 0.30096, aep
6.00976, -1.36788, 0.601808, aep
5.85349, -2.35474, 0.560646, aep
5.76656, -3.31142, 0.838491, aep
6.13857, -3.4735, 1.75246, aep
7.10496, -3.39378, 1.99685, aep
8.03876, -3.09214, 2.1893, aep
9.1898, -3.5827, 1.65426, aep
9.45067, -4.54761, 1.68428, aep
9.55301, -4.76703, 0.714029, aep
9.72024, -5.69506, 0.381192, aep
9.68157, -6.69162, 0.307868, aep
9.67661, -7.12099, 1.21098, aep
8.98857, -7.51938, 1.81753, aep
8.09215, -7.5921, 1.38034, aep
7.10533, -7.74902, 1.34092, rrt
6.1797, -8.10272, 1.47549, rrt
6.65092, -7.2229, 1.53757, rrt
6.66997, -6.22313, 1.52759, rrt
6.31892, -5.28697, 1.50844, rrt
6.65228, -4.34779, 1.59102, rrt
7.4497, -3.86221, 1.65487, rrt
8.444, -3.79891, 1.569, rrt
8.86796, -2.89501, 1.51228, rrt
9.73134, -2.85924, 1.00899, rrt
10.6117, -2.84846, 1.48323, rrt
11.1528, -2.30766, 1.66968, rrt
12.1356, -1.96878, 1.29108, rrt
12.7867, -1.20994, 1.27762, aep
13.3334, -1.03019, 2.09545, aep
13.8049, -1.25923, 1.86139, rrt
13.2044, -2.05875, 1.87602, rrt
12.224, -2.25507, 1.89173, rrt
11.3171, -3.4048, 1.68682, rrt
10.3551, -3.16413, 1.55716, rrt
9.58185, -2.53009, 1.55791, rrt
8.74099, -1.98884, 1.56083, rrt
7.83781, -1.55977, 1.54828, rrt
6.84004, -1.6179, 1.58114, rrt
6.71922, -0.625325, 1.59516, rrt
6.17424, 0.212315, 1.55835, rrt
6.736, 1.02164, 1.38687, rrt
6.68572, 2.00493, 1.56185, rrt
5.74043, 2.32559, 1.622, rrt
4.81393, 2.69786, 1.56728, rrt
4.87493, 3.68974, 1.45561, rrt
4.61153, 4.24366, 0.665806, aep
4.30995, 5.14355, 0.350768, aep
3.47464, 5.49934, 0.769887, aep
2.64438, 6.00747, 0.540789, aep
2.50574, 6.88172, 1.00604, aep
1.5358, 6.82003, 0.770673, aep
0.723739, 6.54801, 1.28697, aep
-0.177474, 6.73654, 0.89675, aep
-0.774512, 7.25162, 0.281738, aep
-0.970716, 8.0747, 0.814686, aep
-1.32808, 9.00666, 0.753516, aep
-2.30407, 9.05171, 0.966626, aep
-3.08705, 8.55934, 1.34679, aep
-4.00401, 7.78831, 0.685739, aep
-4.80538, 7.35248, 1.09544, aep
-5.75461, 7.57645, 1.31636, aep
-6.27144, 6.72048, 1.33062, aep
-7.01741, 7.38285, 1.26138, aep
-8.00577, 7.53256, 1.23417, aep
-8.73249, 6.9356, 1.57401, aep
-9.63183, 7.37025, 1.62166, aep
-10.138, 7.91858, 0.95595, aep
-10.7636, 8.68877, 0.831763, aep
-11.4214, 9.17411, 1.40774, aep
-12.3632, 9.28306, 1.72565, aep
-12.6225, 8.33252, 1.89659, aep
-12.7224, 7.42886, 1.48015, aep
-13.0015, 6.80305, 0.751811, aep
-12.9984, 5.82364, 0.549944, aep
-12.5703, 4.94594, 0.334603, aep
-12.0875, 3.74534, 0.862873, aep
-11.7354, 2.99846, 1.42697, aep
-10.7705, 3.10444, 1.6674, aep
-9.4408, 2.77421, 1.72349, aep
-8.62762, 3.26302, 2.03941, aep
-8.63601, 4.42125, 1.13066, aep
-8.15053, 5.08405, 0.560563, aep
-6.77331, 5.40262, 0.724248, aep
-6.20135, 4.58506, 0.791021, aep
-6.81721, 3.96359, 1.27526, aep
-6.50191, 3.28407, 1.93771, aep
-6.35671, 2.3301, 2.20011, aep
-6.76445, 1.51263, 1.12554, aep
-5.8828, 1.06032, 0.990987, aep
-5.02251, 0.984004, 1.49504, aep
-4.93876, 0.493759, 2.36259, aep
-4.46754, -0.345059, 2.08994, aep
-5.19113, -1.00897, 2.27874, aep
-5.60039, -1.8873, 1.39445, aep
-6.20328, -2.6025, 1.04088, aep
-7.58072, -2.43239, 0.871266, aep
-8.3599, -2.69942, 1.43835, aep
-9.09174, -2.73911, 0.758035, aep
-9.75749, -3.38201, 0.379278, aep
-10.5749, -2.80703, 0.344237, aep
-11.5198, -2.61244, 0.607554, aep
-11.8992, -3.49897, 0.872317, aep
-12.0301, -4.48754, 0.797507, aep
-11.5492, -5.35818, 0.694307, aep
-11.8589, -6.15783, 1.20875, rrt
-12.0324, -6.85, 1.90932, rrt
-11.0658, -6.60369, 1.83788, rrt
-10.083, -6.41883, 1.83755, rrt
-9.19524, -6.11181, 1.4947, rrt
-8.40972, -5.49366, 1.46577, rrt
-8.85781, -4.60013, 1.49458, rrt
-8.13935, -3.90498, 1.51886, rrt
-7.14141, -3.89189, 1.45607, rrt
-6.413, -3.54705, 1.45858, rrt
-5.87798, -2.70242, 1.43952, rrt
-5.85147, -1.7032, 1.41053, rrt
-5.97577, -0.726873, 1.2335, rrt
-5.41865, 0.102458, 1.27629, rrt
-6.23881, 0.658712, 1.41017, rrt
-6.54255, 1.61084, 1.37566, rrt
-6.92932, 2.53279, 1.35517, rrt
-6.29542, 3.30538, 1.39073, rrt
-6.70511, 4.21755, 1.40134, rrt
-6.2569, 4.97372, 0.92458, rrt
-5.34367, 5.38092, 0.938852, rrt
-4.34634, 5.41903, 0.876488, rrt
-4.0683, 6.37129, 1.00259, rrt
-3.12862, 6.70052, 1.09538, rrt
-2.15789, 6.77241, 1.32455, rrt
-1.27002, 7.22948, 1.27186, rrt
-0.286033, 7.05166, 1.25974, rrt
0.69727, 7.20515, 1.16199, rrt
1.69148, 7.13278, 1.08257, rrt
2.69058, 7.15406, 1.04589, rrt
2.802, 8.14762, 1.02511, rrt
2.3195, 8.14732, 1.901, aep
1.49361, 7.59394, 1.79293, aep
0.555163, 7.93655, 1.74885, aep
-0.442278, 7.99386, 1.70613, aep
-1.11287, 8.40305, 1.08736, aep
-1.73818, 9.13633, 0.820391, aep
-2.73197, 9.22914, 0.881795, rrt
-3.3134, 10.0088, 1.11422, rrt
-2.99108, 10.9145, 1.38981, rrt
-2.0603, 11.2788, 1.36009, rrt
-2.70093, 10.5125, 1.31239, rrt
-2.33, 9.58386, 1.30166, rrt
-1.4421, 9.2242, 1.58851, rrt
-0.44267, 9.22366, 1.55469, rrt
0.554329, 9.2636, 1.48838, rrt
1.18013, 8.51675, 1.26349, rrt
1.50427, 7.76866, 1.50501, rrt
1.88063, 6.84507, 1.43188, rrt
2.40492, 5.99476, 1.38619, rrt
3.35328, 5.89012, 1.08676, rrt
4.09455, 5.81639, 1.65464, rrt
4.92861, 5.27115, 1.57064, rrt
4.91437, 4.27789, 1.45563, rrt
4.54257, 3.35004, 1.48483, rrt
4.64947, 2.35671, 1.44168, rrt
5.60597, 2.06572, 1.46227, rrt
6.51865, 1.84245, 1.80459, rrt
7.35852, 0.780942, 1.91414, rrt
8.11632, 0.128466, 1.91011, rrt
8.9584, 0.565555, 1.59411, rrt
9.86639, 0.898664, 1.33996, aep
10.6976, 1.44963, 1.26565, rrt
9.93704, 0.815631, 1.40563, rrt
9.00087, 0.464145, 1.39927, rrt
8.00868, 0.588354, 1.41041, rrt
7.00947, 0.548666, 1.41285, rrt
6.22954, 1.17347, 1.37614, rrt
5.73067, 2.03962, 1.40607, rrt
4.85053, 2.34295, 1.05447, rrt
4.75162, 3.22654, 1.44089, rrt
4.77602, 4.2252, 1.39537, rrt
4.50249, 5.1821, 1.29775, rrt
3.75432, 5.64366, 0.821096, rrt
3.30181, 6.53521, 0.801783, rrt
3.05867, 7.4837, 1.00487, rrt
3.66886, 8.26359, 1.14437, rrt
4.28362, 9.02978, 1.33148, rrt
4.94404, 9.77983, 1.36728, aep
5.50587, 10.5313, 1.71314, aep
6.33053, 10.4358, 1.15564, aep
6.89093, 11.5804, 0.366469, aep
7.33951, 12.4735, 0.400396, aep
7.61381, 13.4346, 0.368377, aep
7.57538, 13.7477, 1.31732, aep
8.44001, 14.1662, 1.59524, aep
8.99783, 13.8059, 2.34293, aep
9.81025, 13.4082, 1.91655, aep
10.0822, 12.446, 1.93448, aep
10.8934, 12.2632, 1.37899, aep
11.1638, 11.336, 1.63819, aep
12.5227, 10.9846, 1.82167, aep
12.6274, 9.9908, 1.78562, aep
12.9959, 9.06681, 1.68331, aep
13.3538, 8.98116, 0.753466, aep
13.3796, 8.04287, 0.408572, aep
12.3988, 7.85603, 0.353449, aep
11.9708, 7.10707, 0.859286, aep
12.0425, 6.46243, 1.6204, aep
11.1758, 6.21495, 2.05337, aep
10.2625, 6.59606, 2.19701, aep
9.39866, 6.22526, 1.85594, aep
8.79998, 6.00136, 1.08688, aep
8.14135, 6.72167, 1.30449, aep
8.68865, 7.51917, 1.55835, rrt
