Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
5.515000000, 184.8, 11.3548, 164.656, 20.144, 1442.7
11.975000000, 190.688, 11.7166, 171.712, 18.976, 1436.81
17.575000000, 210.952, 12.9617, 186.472, 24.48, 1416.55
23.080000000, 217.408, 13.3584, 194.608, 22.8, 1410.09
28.215000000, 224.44, 13.7905, 198.632, 25.808, 1403.06
34.505000000, 224.256, 13.7792, 197.704, 26.552, 1403.24
38.550000000, 224.632, 13.8023, 197.264, 27.368, 1402.87
44.310000000, 236.04, 14.5032, 207.56, 28.48, 1391.46
49.775000000, 243.888, 14.9854, 217.904, 25.984, 1383.61
54.150000000, 246.728, 15.1599, 220.24, 26.488, 1380.77
59.005000000, 253.712, 15.5891, 226.72, 26.992, 1373.79
62.070000000, 260.352, 15.9971, 231.624, 28.728, 1367.15
65.410000000, 261.784, 16.085, 232.408, 29.376, 1365.72
76.980000000, 263.624, 16.1981, 233.952, 29.672, 1363.88
82.175000000, 264.704, 16.2645, 234.616, 30.088, 1362.8
86.390000000, 264.704, 16.2645, 234.472, 30.232, 1362.8
101.905000000, 264.704, 16.2645, 234.712, 29.992, 1362.8
106.670000000, 267.328, 16.4257, 236.432, 30.896, 1360.17
115.760000000, 270.232, 16.6041, 238.008, 32.224, 1357.27
121.195000000, 278.592, 17.1178, 243.36, 35.232, 1348.91
126.300000000, 282.056, 17.3306, 246.104, 35.952, 1345.44
151.935000000, 308.296, 18.9429, 264.384, 43.912, 1319.2
158.025000000, 324.352, 19.9295, 276.984, 47.368, 1303.15
169.735000000, 333.36, 20.4829, 283.84, 49.52, 1294.14
175.470000000, 341.056, 20.9558, 286.64, 54.416, 1286.44
180.500000000, 344.096, 21.1426, 290.072, 54.024, 1283.4
184.040000000, 348.248, 21.3977, 292, 56.248, 1279.25
187.780000000, 348.84, 21.4341, 292.072, 56.768, 1278.66
191.320000000, 348.84, 21.4341, 291.744, 57.096, 1278.66
194.510000000, 348.84, 21.4341, 292.264, 56.576, 1278.66
200.990000000, 353.352, 21.7113, 296.84, 56.512, 1274.15
206.025000000, 367, 22.5499, 307.752, 59.248, 1260.5
212.080000000, 389.328, 23.9218, 322.04, 67.288, 1238.17
216.425000000, 403.224, 24.7757, 334.944, 68.28, 1224.28
222.720000000, 423.184, 26.0021, 351.456, 71.728, 1204.32
227.420000000, 439.072, 26.9783, 364.688, 74.384, 1188.43
230.960000000, 463.216, 28.4618, 386.384, 76.832, 1164.28
244.095000000, 480.816, 29.5432, 402.584, 78.232, 1146.68
249.090000000, 495.152, 30.4241, 413.96, 81.192, 1132.35
254.565000000, 515.784, 31.6918, 431.984, 83.8, 1111.72
258.430000000, 533.768, 32.7968, 447.864, 85.904, 1093.73
262.815000000, 547.64, 33.6492, 464.28, 83.36, 1079.86
266.605000000, 562.056, 34.5349, 474.96, 87.096, 1065.44
270.480000000, 573.232, 35.2216, 483.136, 90.096, 1054.27
273.955000000, 587.144, 36.0764, 495.632, 91.512, 1040.36
277.495000000, 602.664, 37.03, 510.192, 92.472, 1024.84
282.440000000, 618.184, 37.9837, 526.912, 91.272, 1009.32
286.300000000, 628.248, 38.602, 533.752, 94.496, 999.252
290.970000000, 649.336, 39.8978, 555.856, 93.48, 978.164
295.435000000, 653.952, 40.1814, 554.56, 99.392, 973.548
300.155000000, 658.952, 40.4886, 558.568, 100.384, 968.548
303.985000000, 670.272, 41.1841, 568.256, 102.016, 957.228
307.800000000, 682.552, 41.9387, 584.064, 98.488, 944.948
311.605000000, 695.28, 42.7207, 597.328, 97.952, 932.22
315.225000000, 715.24, 43.9472, 613.504, 101.736, 912.26
319.925000000, 739.304, 45.4257, 636.096, 103.208, 888.196
324.170000000, 751.264, 46.1606, 645.224, 106.04, 876.236
328.335000000, 758.072, 46.5789, 651.376, 106.696, 869.428
332.060000000, 774.736, 47.6028, 667.504, 107.232, 852.764
335.725000000, 777.872, 47.7955, 669.528, 108.344, 849.628
339.345000000, 783.704, 48.1539, 673.392, 110.312, 843.796
343.260000000, 791.512, 48.6336, 679.432, 112.08, 835.988
347.430000000, 799.2, 49.106, 683.592, 115.608, 828.3
352.050000000, 806.136, 49.5322, 690.184, 115.952, 821.364
355.195000000, 814.232, 50.0296, 698.712, 115.52, 813.268
358.670000000, 825.528, 50.7237, 708.72, 116.808, 801.972
363.280000000, 861.328, 52.9234, 738.568, 122.76, 766.172
367.620000000, 881.904, 54.1876, 756.44, 125.464, 745.596
371.085000000, 895.384, 55.0159, 767.952, 127.432, 732.116
377.175000000, 916.648, 56.3225, 784.32, 132.328, 710.852
381.540000000, 929.008, 57.0819, 798.16, 130.848, 698.492
385.995000000, 945.256, 58.0802, 809.656, 135.6, 682.244
389.905000000, 958.936, 58.9208, 820.176, 138.76, 668.564
396.000000000, 965.648, 59.3332, 822.032, 143.616, 661.852
402.515000000, 977.912, 60.0868, 827.704, 150.208, 649.588
416.825000000, 984.136, 60.4692, 832.224, 151.912, 643.364
421.870000000, 998.184, 61.3324, 844.424, 153.76, 629.316
425.495000000, 1026.79, 63.0901, 869.856, 156.936, 600.708
429.045000000, 1036, 63.6559, 876.68, 159.32, 591.5
433.680000000, 1051.75, 64.6238, 890.416, 161.336, 575.748
438.200000000, 1059.24, 65.0839, 896.608, 162.632, 568.26
442.340000000, 1063.74, 65.3601, 899.12, 164.616, 563.764
448.495000000, 1065.58, 65.4737, 896.528, 169.056, 561.916
476.745000000, 1068.99, 65.6831, 899.304, 169.688, 558.508
490.595000000, 1076.94, 66.1712, 905.28, 171.656, 550.564
501.045000000, 1083.29, 66.5615, 908.408, 174.88, 544.212
532.925000000, 1087.73, 66.8343, 911.328, 176.4, 539.772
538.345000000, 1088.94, 66.909, 908.568, 180.376, 538.556
544.220000000, 1097.24, 67.4187, 915.424, 181.816, 530.26
559.085000000, 1102.37, 67.7338, 920.432, 181.936, 525.132
563.045000000, 1127.03, 69.2493, 943.328, 183.704, 500.468
566.815000000, 1143.21, 70.2432, 956.528, 186.68, 484.292
571.135000000, 1159.01, 71.214, 968.24, 190.768, 468.492
575.775000000, 1181.18, 72.5766, 986.928, 194.256, 446.316
579.765000000, 1191.82, 73.2304, 996, 195.824, 435.676
583.590000000, 1201.79, 73.8428, 1009.64, 192.152, 425.708
587.110000000, 1213.39, 74.5556, 1017.58, 195.808, 414.108
596.365000000, 1227.95, 75.4502, 1030.1, 197.856, 399.548
599.820000000, 1240.34, 76.2111, 1042.07, 198.264, 387.164
606.035000000, 1244.64, 76.4756, 1040.36, 204.28, 382.86
625.605000000, 1254.7, 77.0935, 1047.36, 207.336, 372.804
635.780000000, 1270.81, 78.0834, 1062.22, 208.584, 356.692
639.985000000, 1274.32, 78.2992, 1065.26, 209.056, 353.18
645.860000000, 1278.02, 78.5268, 1066.85, 211.176, 349.476
651.360000000, 1295.41, 79.595, 1082.61, 212.8, 332.092
654.865000000, 1312.27, 80.6312, 1094.58, 217.696, 315.228
660.425000000, 1330.11, 81.7273, 1109.38, 220.728, 297.388
661.015000000, 1330.48, 81.7499, 1108.6, 221.88, 297.02
664.285000000, 1333.29, 81.9225, 1110.45, 222.84, 294.212
668.610000000, 1340.75, 82.3811, 1118.22, 222.536, 286.748
673.060000000, 1345.42, 82.6681, 1118.88, 226.544, 282.076
676.435000000, 1349.24, 82.9026, 1122.06, 227.184, 278.26
676.980000000, 1349.52, 82.9198, 1122.27, 227.248, 277.98
677.475000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
677.940000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
678.425000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
678.905000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
679.350000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
679.855000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
680.370000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
680.870000000, 1349.52, 82.9198, 1122.33, 227.192, 277.98
