Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
5.225000000, 128.4, 16.0902, 105.344, 23.056, 669.6
13.186000000, 136.048, 17.0486, 110.44, 25.608, 661.952
18.564000000, 163.6, 20.5013, 132.056, 31.544, 634.4
21.266000000, 176.944, 22.1734, 143.44, 33.504, 621.056
24.182000000, 192.128, 24.0762, 155.976, 36.152, 605.872
27.488000000, 215.592, 27.0165, 175.144, 40.448, 582.408
30.592000000, 233.624, 29.2762, 190.568, 43.056, 564.376
33.431000000, 247.8, 31.0526, 201.944, 45.856, 550.2
37.079000000, 274.208, 34.3619, 225.008, 49.2, 523.792
41.346000000, 297.912, 37.3323, 245.512, 52.4, 500.088
44.251000000, 315.592, 39.5479, 260.272, 55.32, 482.408
46.933000000, 326.936, 40.9694, 267.592, 59.344, 471.064
51.443000000, 345.888, 43.3444, 281.472, 64.416, 452.112
54.597000000, 352.672, 44.1945, 288.168, 64.504, 445.328
57.623000000, 367.176, 46.012, 300.6, 66.576, 430.824
60.382000000, 386.2, 48.396, 316.96, 69.24, 411.8
63.105000000, 403.984, 50.6246, 331.896, 72.088, 394.016
67.173000000, 415.528, 52.0712, 340.168, 75.36, 382.472
72.501000000, 439.84, 55.1178, 362.872, 76.968, 358.16
75.956000000, 460.08, 57.6541, 378.872, 81.208, 337.92
79.089000000, 477.272, 59.8085, 394.528, 82.744, 320.728
82.135000000, 488.464, 61.211, 405.592, 82.872, 309.536
86.067000000, 501.424, 62.8351, 416.888, 84.536, 296.576
89.887000000, 519.856, 65.1449, 433.416, 86.44, 278.144
93.051000000, 540.536, 67.7363, 451.24, 89.296, 257.464
96.564000000, 553.344, 69.3414, 460.696, 92.648, 244.656
100.540000000, 566.752, 71.0216, 470.8, 95.952, 231.248
103.571000000, 571.28, 71.589, 473.312, 97.968, 226.72
112.209000000, 577.112, 72.3198, 477.616, 99.496, 220.888
115.494000000, 584.336, 73.2251, 482.952, 101.384, 213.664
119.375000000, 585.208, 73.3343, 482.728, 102.48, 212.792
122.308000000, 585.128, 73.3243, 482.24, 102.888, 212.872
127.185000000, 585.608, 73.3845, 482.064, 103.544, 212.392
131.192000000, 590.336, 73.9769, 485.856, 104.48, 207.664
134.630000000, 594.032, 74.4401, 488.76, 105.272, 203.968
137.642000000, 602.752, 75.5328, 495.584, 107.168, 195.248
142.036000000, 604.232, 75.7183, 495.688, 108.544, 193.768
158.428000000, 609.16, 76.3358, 498.888, 110.272, 188.84
161.607000000, 611.152, 76.5855, 499.08, 112.072, 186.848
169.503000000, 614.152, 76.9614, 502.088, 112.064, 183.848
172.436000000, 618.024, 77.4466, 504.96, 113.064, 179.976
180.944000000, 621.488, 77.8807, 506.592, 114.896, 176.512
248.808000000, 632.752, 79.2922, 508.296, 124.456, 165.248
253.844000000, 634.568, 79.5198, 509.512, 125.056, 163.432
259.459000000, 639.896, 80.1875, 513.56, 126.336, 158.104
263.890000000, 649.144, 81.3464, 520.264, 128.88, 148.856
267.860000000, 651.504, 81.6421, 520.944, 130.56, 146.496
273.367000000, 654.384, 82.003, 525.024, 129.36, 143.616
279.050000000, 659.216, 82.6085, 524.8, 134.416, 138.784
285.436000000, 661.712, 82.9213, 529.224, 132.488, 136.288
285.922000000, 661.752, 82.9263, 529.368, 132.384, 136.248
295.093000000, 666.48, 83.5188, 530.256, 136.224, 131.52
298.998000000, 669.28, 83.8697, 533.4, 135.88, 128.72
298.998000000, 669.28, 83.8697, 533.232, 136.048, 128.72
