Goal x, Goal y, Goal z, Planner
-0.782678, -1.36969, 0.859985, aep
-0.592716, -2.34351, 0.735149, aep
0.251467, -1.81124, 0.798684, aep
0.971694, -2.02275, 1.45939, aep
1.09243, -1.27548, 2.11286, aep
1.96946, -0.916815, 1.79322, aep
3.10997, -1.42993, 1.42394, aep
4.10108, -1.31857, 1.35106, aep
4.98408, -0.849839, 1.32659, aep
5.25562, 0.0453309, 1.68005, aep
4.75491, 0.866221, 1.95469, aep
4.45102, 1.81814, 1.99334, aep
4.60746, 2.44504, 1.23011, aep
5.01394, 3.25369, 0.804822, aep
5.99621, 3.20913, 0.986901, aep
6.84991, 3.56074, 1.37105, aep
6.98046, 2.77058, 1.9699, aep
7.97573, 2.73079, 1.88125, aep
8.589, 3.23626, 2.4882, aep
9.40672, 2.66665, 2.57117, aep
9.73498, 1.88122, 2.04643, aep
10.1132, 1.3181, 1.31168, aep
9.85459, 0.388698, 1.57501, aep
9.29228, -0.431678, 1.67892, aep
8.69332, -1.59923, 2.27107, aep
7.93548, -2.25113, 2.29753, aep
7.09736, -2.79662, 2.29982, aep
7.16357, -3.58353, 1.68631, aep
7.7858, -4.36592, 1.71267, aep
8.07887, -4.74625, 2.58986, aep
8.43623, -5.67887, 2.53974, aep
9.38506, -5.90654, 2.32091, aep
8.97696, -5.0113, 2.49981, aep
7.92358, -4.49851, 1.6372, aep
6.97166, -4.80465, 1.6482, aep
6.00789, -4.60761, 1.82797, aep
5.60581, -5.36282, 2.34564, aep
4.62566, -5.33439, 2.14942, aep
3.79132, -5.4495, 1.61031, aep
3.53679, -6.39566, 1.8103, rrt
4.47354, -6.05212, 1.74341, rrt
5.01992, -5.21465, 1.75426, rrt
5.84245, -4.67463, 1.57587, rrt
6.82808, -4.50589, 1.56769, rrt
7.29303, -3.63406, 1.41363, rrt
8.08755, -3.02852, 1.36833, rrt
9.03179, -3.28051, 1.58026, rrt
9.76657, -3.956, 1.64204, rrt
10.6796, -4.35495, 1.55706, rrt
10.5463, -5.31157, 1.81615, aep
11.3053, -5.94605, 1.96251, aep
11.6032, -6.83052, 2.32163, aep
12.1227, -7.33258, 1.63021, aep
12.8492, -7.68484, 2.22016, aep
13.6438, -7.07834, 2.24936, rrt
14.3446, -7.14996, 1.53964, rrt
15.0599, -6.48559, 1.32299, rrt
15.5847, -6.8158, 2.10759, rrt
14.6117, -6.61087, 2.00078, rrt
13.7229, -6.18075, 1.8427, rrt
12.9312, -5.57212, 1.89572, rrt
12.1094, -5.00246, 1.89509, rrt
12.261, -4.01409, 1.88257, rrt
12.6424, -3.09107, 1.8326, rrt
11.8335, -2.51584, 1.95434, rrt
11.5473, -1.56056, 2.02836, rrt
10.9893, -0.742042, 1.89173, rrt
10.0517, -0.395317, 1.92059, rrt
9.10277, -0.0819677, 1.88527, rrt
8.45981, 0.683929, 1.88157, rrt
7.5337, 0.455564, 2.18183, rrt
6.80536, 1.0676, 1.8737, rrt
6.35957, 1.88699, 1.51334, rrt
5.70648, 2.46815, 1.932, rrt
4.77434, 2.82032, 1.84777, rrt
4.01053, 3.92626, 2.50051, aep
3.71026, 3.49667, 2.23771, rrt
4.23594, 2.64599, 2.23611, rrt
4.16169, 2.87387, 2.34897, rrt
5.03612, 2.39041, 2.30853, rrt
5.5881, 1.55858, 2.36671, rrt
6.46847, 2.02235, 2.26737, rrt
7.24934, 2.63312, 2.13621, rrt
8.19719, 2.69593, 1.82374, rrt
9.15571, 2.85245, 1.58553, rrt
9.21465, 3.83691, 1.75098, rrt
10.1998, 4.00732, 1.76961, rrt
11.1525, 3.74218, 1.62084, rrt
