Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
3.555000000, 82.832, 16.2416, 67.824, 15.008, 427.168
6.314000000, 90.928, 17.829, 74.64, 16.288, 419.072
9.224000000, 106.208, 20.8251, 88.928, 17.28, 403.792
13.463000000, 112.936, 22.1443, 95.616, 17.32, 397.064
17.121000000, 126.52, 24.8078, 109.072, 17.448, 383.48
20.173000000, 135.672, 26.6024, 117.072, 18.6, 374.328
22.821000000, 147.208, 28.8643, 127.592, 19.616, 362.792
25.546000000, 165.44, 32.4392, 144.8, 20.64, 344.56
28.393000000, 177.144, 34.7341, 155.496, 21.648, 332.856
31.300000000, 188.136, 36.8894, 164.752, 23.384, 321.864
34.465000000, 204.608, 40.1192, 179.352, 25.256, 305.392
37.316000000, 218.472, 42.8376, 189.128, 29.344, 291.528
48.447000000, 230.68, 45.2314, 202.264, 28.416, 279.32
51.159000000, 241.2, 47.2941, 211.488, 29.712, 268.8
53.875000000, 254.936, 49.9875, 223.568, 31.368, 255.064
56.807000000, 267.664, 52.4831, 235.296, 32.368, 242.336
59.488000000, 283.592, 55.6063, 249.68, 33.912, 226.408
72.395000000, 299.736, 58.7718, 263.944, 35.792, 210.264
75.306000000, 314.32, 61.6314, 276.8, 37.52, 195.68
78.799000000, 332.84, 65.2627, 292.968, 39.872, 177.16
81.929000000, 348.888, 68.4094, 307.2, 41.688, 161.112
84.976000000, 357.928, 70.182, 314.944, 42.984, 152.072
88.286000000, 370.24, 72.5961, 324.848, 45.392, 139.76
91.196000000, 376.128, 73.7506, 328.816, 47.312, 133.872
95.231000000, 382.568, 75.0133, 329.16, 53.408, 127.432
99.514000000, 386.576, 75.7992, 332.176, 54.4, 123.424
103.367000000, 389.136, 76.3012, 334.816, 54.32, 120.864
106.412000000, 394.872, 77.4259, 339.616, 55.256, 115.128
109.457000000, 400.424, 78.5145, 341.664, 58.76, 109.576
113.087000000, 409.168, 80.229, 349.568, 59.6, 100.832
116.073000000, 415.696, 81.509, 354.392, 61.304, 94.304
119.186000000, 422.584, 82.8596, 361.584, 61, 87.416
121.821000000, 432.856, 84.8737, 368.512, 64.344, 77.144
125.971000000, 439.736, 86.2227, 371.224, 68.512, 70.264
139.193000000, 453.128, 88.8486, 377.04, 76.088, 56.872
139.193000000, 453.128, 88.8486, 377.08, 76.048, 56.872
