Iteration, Path length, Time, Planning, Flying, 
0, 0, 0, 0, 0
1, 1, 3.555000000, 0.154, 3.401
2, 2, 6.314000000, 0.378, 5.935
3, 3, 9.224000000, 0.621, 8.602
4, 4, 13.463000000, 0.858, 12.603
5, 5, 17.121000000, 1.115, 16.004
6, 6, 20.173000000, 1.365, 18.805
7, 7, 22.821000000, 1.611, 21.206
8, 8, 25.546000000, 1.868, 23.673
9, 9, 28.393000000, 2.113, 26.274
10, 10, 31.300000000, 2.352, 28.941
11, 11, 34.465000000, 2.583, 31.875
12, 12, 37.316000000, 2.832, 34.476
13, 15.7216, 48.447000000, 3.094, 45.344
14, 16.7216, 51.159000000, 3.339, 47.811
15, 17.7216, 53.875000000, 3.587, 50.278
16, 18.7216, 56.807000000, 3.849, 52.945
17, 19.7216, 59.488000000, 4.062, 55.412
18, 23.66, 72.395000000, 4.302, 68.079
19, 24.66, 75.306000000, 4.545, 70.746
20, 25.66, 78.799000000, 4.77, 74.013
21, 26.66, 81.929000000, 5.033, 76.88
22, 27.66, 84.976000000, 5.278, 79.681
23, 28.66, 88.286000000, 5.52, 82.748
24, 29.66, 91.196000000, 5.762, 85.415
25, 30.66, 95.231000000, 5.995, 89.216
26, 31.66, 99.514000000, 6.21, 93.283
27, 32.66, 103.367000000, 6.461, 96.884
28, 33.66, 106.412000000, 6.704, 99.685
29, 34.66, 109.457000000, 6.946, 102.486
30, 35.66, 113.087000000, 7.175, 105.887
31, 36.66, 116.073000000, 7.418, 108.621
32, 37.66, 119.186000000, 7.662, 111.489
33, 38.66, 121.821000000, 7.892, 113.89
34, 39.66, 125.971000000, 8.107, 117.824
35, 43.66, 139.193000000, 8.52, 130.626
35, 43.66, 139.193000000, 8.52, 130.626
