Goal x, Goal y, Goal z, Planner
-2.37096, 4.54875, 1.54488, aep
-1.52207, 4.25428, 1.98383, aep
-1.59512, 3.26064, 1.89813, aep
-1.4374, 2.68628, 1.09487, aep
-1.10728, 1.74234, 1.09689, aep
-1.00165, 0.78398, 1.36218, aep
-0.893773, -0.0473859, 1.90733, aep
-1.4172, -0.532146, 1.20659, aep
-0.930323, -1.27794, 0.751895, aep
-1.09988, -2.67275, 0.907218, aep
-0.69099, -3.55004, 1.15855, aep
-0.997671, -4.48639, 0.987668, aep
-1.77961, -4.9414, 1.41374, aep
-2.45719, -5.34858, 2.02619, aep
-2.21129, -6.3175, 1.9994, aep
-2.14329, -6.90926, 1.19616, aep
-1.556, -7.43244, 0.578613, aep
-0.98786, -8.25012, 0.671475, aep
-0.465302, -7.39767, 0.687869, rrt
-0.378082, -6.40295, 0.74193, rrt
-0.351401, -5.75028, 1.4991, rrt
-0.0436872, -4.80119, 1.43171, rrt
0.303542, -4.18204, 1.0046, rrt
0.662311, -3.33902, 1.20069, rrt
0.63853, -2.35335, 1.32131, rrt
0.341478, -1.39864, 1.30405, rrt
0.127845, -0.422175, 1.3335, rrt
0.624105, 0.287752, 1.29496, rrt
0.499837, 1.65822, 0.895639, rrt
0.570597, 2.63778, 1.08396, rrt
0.368272, 3.60268, 1.25139, rrt
1.33714, 3.82146, 1.36728, aep
1.45498, 4.51981, 2.07327, aep
1.09292, 5.44445, 1.95514, aep
0.738783, 6.21372, 2.48694, aep
0.784533, 7.07024, 1.97287, aep
0.93513, 8.50128, 1.85118, aep
