Goal x, Goal y, Goal z, Planner
6.07238, -1.3039, 0.875478, aep
6.1741, -0.401815, 1.29487, aep
6.38555, -1.37003, 1.42847, aep
6.63775, -2.30294, 1.68551, aep
5.9765, -3.05302, 1.69717, aep
5.35427, -3.8357, 1.68192, aep
4.9484, -4.62923, 1.22851, aep
3.97527, -4.5607, 1.00868, aep
3.08865, -4.25748, 1.35792, aep
2.30402, -4.04392, 1.93994, aep
1.98375, -3.19259, 1.52442, aep
2.29395, -2.63403, 0.75514, aep
2.21462, -1.69238, 0.428052, aep
2.65383, -0.891221, 0.834564, aep
2.4981, -0.143598, 1.48017, aep
3.05968, 0.634932, 1.76038, aep
3.49564, 1.45207, 1.38326, aep
3.15427, 2.36324, 1.15254, aep
2.76979, 2.75131, 1.99014, aep
1.77459, 2.65412, 1.97925, aep
1.0957, 1.96935, 1.71429, aep
-0.124911, 2.3727, 1.18797, aep
-0.907979, 2.07431, 0.642281, aep
-1.65305, 1.59659, 1.10774, aep
-2.6644, 0.705358, 1.15326, aep
-2.87682, -0.170899, 0.720761, aep
-3.73846, -0.612656, 0.97063, aep
-3.58245, -1.58852, 1.12346, aep
-2.97228, -2.03154, 1.78029, aep
-2.85108, -3.41141, 1.70301, aep
-3.31209, -2.53201, 1.58412, rrt
-3.85141, -1.7068, 1.41633, rrt
-4.32859, -0.830258, 1.35328, rrt
-4.66869, 0.108536, 1.29854, rrt
-4.48182, 0.969297, 1.772, rrt
-5.45414, 1.95172, 1.56104, aep
-5.2871, 2.753, 0.986535, rrt
