Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
4.794000000, 104.944, 23.3209, 90.552, 14.392, 345.056
7.492000000, 115.616, 25.6924, 100.992, 14.624, 334.384
10.942000000, 130.96, 29.1022, 115.648, 15.312, 319.04
14.755000000, 142.216, 31.6036, 125.6, 16.616, 307.784
18.236000000, 149.448, 33.2107, 131.808, 17.64, 300.552
20.962000000, 159.848, 35.5218, 144.472, 15.376, 290.152
24.012000000, 171.504, 38.112, 153.328, 18.176, 278.496
27.017000000, 183.888, 40.864, 164.728, 19.16, 266.112
37.426000000, 198.824, 44.1831, 177.528, 21.296, 251.176
40.361000000, 207.96, 46.2133, 187.176, 20.784, 242.04
43.304000000, 220.6, 49.0222, 199.056, 21.544, 229.4
46.376000000, 233.624, 51.9164, 210.784, 22.84, 216.376
49.763000000, 247.68, 55.04, 223.208, 24.472, 202.32
52.709000000, 262.712, 58.3804, 236.928, 25.784, 187.288
55.637000000, 277.024, 61.5609, 255.592, 21.432, 172.976
59.519000000, 297.128, 66.0284, 269.616, 27.512, 152.872
62.588000000, 308.432, 68.5404, 278.6, 29.832, 141.568
81.156000000, 323.008, 71.7796, 290.416, 32.592, 126.992
84.380000000, 332.536, 73.8969, 298.624, 33.912, 117.464
87.455000000, 341.424, 75.872, 306.048, 35.376, 108.576
90.372000000, 345.12, 76.6933, 308.672, 36.448, 104.88
93.313000000, 348.448, 77.4329, 310.68, 37.768, 101.552
96.188000000, 349.968, 77.7707, 312.792, 37.176, 100.032
98.879000000, 350.992, 77.9982, 312.872, 38.12, 99.008
115.920000000, 348.384, 77.4187, 310.464, 37.92, 101.616
137.174000000, 352.296, 78.288, 311.256, 41.04, 97.704
140.276000000, 354.824, 78.8498, 313.52, 41.304, 95.176
143.061000000, 361.336, 80.2969, 319, 42.336, 88.664
146.183000000, 374.288, 83.1751, 330.664, 43.624, 75.712
149.033000000, 383.72, 85.2711, 343.536, 40.184, 66.28
153.291000000, 389.632, 86.5849, 344.84, 44.792, 60.368
156.261000000, 390.28, 86.7289, 343.48, 46.8, 59.72
194.571000000, 401.528, 89.2284, 349.6, 51.928, 48.472
194.571000000, 401.544, 89.232, 349.68, 51.864, 48.456
