Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
4.862000000, 167.088, 37.1307, 152.208, 14.88, 282.912
8.467000000, 183.064, 40.6809, 166.488, 16.576, 266.936
12.684000000, 200.84, 44.6311, 182.288, 18.552, 249.16
18.622000000, 208.072, 46.2382, 188.48, 19.592, 241.928
23.571000000, 220.28, 48.9511, 200.24, 20.04, 229.72
26.846000000, 235.128, 52.2507, 213.96, 21.168, 214.872
30.054000000, 250.864, 55.7476, 227.552, 23.312, 199.136
33.940000000, 264.784, 58.8409, 239.8, 24.984, 185.216
36.860000000, 270.456, 60.1013, 243.576, 26.88, 179.544
41.738000000, 275.12, 61.1378, 247.584, 27.536, 174.88
46.892000000, 277.304, 61.6231, 247.664, 29.64, 172.696
51.906000000, 287.216, 63.8258, 255.192, 32.024, 162.784
54.974000000, 294.28, 65.3956, 261.52, 32.76, 155.72
58.103000000, 298.728, 66.384, 267.784, 30.944, 151.272
62.486000000, 299.712, 66.6027, 265.224, 34.488, 150.288
84.160000000, 316.152, 70.256, 275.632, 40.52, 133.848
87.203000000, 317.728, 70.6062, 276.856, 40.872, 132.272
90.139000000, 319.104, 70.912, 277.68, 41.424, 130.896
93.680000000, 323.272, 71.8382, 280.912, 42.36, 126.728
96.458000000, 327.312, 72.736, 284.32, 42.992, 122.688
99.294000000, 331.504, 73.6676, 288.64, 42.864, 118.496
103.359000000, 339.64, 75.4756, 295.032, 44.608, 110.36
106.205000000, 342.296, 76.0658, 297.72, 44.576, 107.704
109.554000000, 352.112, 78.2471, 306.096, 46.016, 97.888
112.300000000, 356.096, 79.1324, 309.008, 47.088, 93.904
115.460000000, 367.768, 81.7262, 318.032, 49.736, 82.232
119.343000000, 373.24, 82.9422, 321.256, 51.984, 76.76
122.482000000, 376.36, 83.6356, 323.544, 52.816, 73.64
125.689000000, 381.16, 84.7022, 327.336, 53.824, 68.84
128.490000000, 384.696, 85.488, 329.96, 54.736, 65.304
131.306000000, 388.48, 86.3289, 335.168, 53.312, 61.52
135.461000000, 395.744, 87.9431, 338.304, 57.44, 54.256
138.221000000, 401.592, 89.2427, 342.92, 58.672, 48.408
140.986000000, 404.856, 89.968, 347.624, 57.232, 45.144
140.986000000, 405.208, 90.0462, 346.448, 58.76, 44.792
