Iteration, Path length, Time, Planning, Flying, 
0, 0, 0, 0, 0
1, 1, 4.940000000, 0.206, 4.734
2, 2, 8.506000000, 0.504, 8.001
3, 3, 12.801000000, 0.795, 12.004
4, 4, 16.685000000, 1.209, 15.471
5, 5, 20.113000000, 1.502, 18.605
6, 6.38547, 25.999000000, 1.786, 24.206
7, 7.38547, 29.500000000, 2.219, 27.273
8, 8.38547, 32.458000000, 2.509, 29.94
9, 9.38547, 35.953000000, 2.869, 33.074
10, 10.3855, 38.718000000, 3.165, 35.541
11, 11.3855, 42.983000000, 3.428, 39.542
12, 12.7893, 46.847000000, 3.691, 43.143
13, 14.4307, 52.117000000, 3.959, 48.144
