Goal x, Goal y, Goal z, Planner
-0.427621, 0.696095, 0.474087, aep
-0.325902, 1.59819, 0.893476, aep
-1.26926, 1.88793, 1.0551, aep
-1.36748, 2.69172, 0.468348, aep
-1.75953, 3.56494, 0.757822, aep
-2.59033, 4.10788, 0.88019, aep
-3.46364, 4.03599, 0.398343, aep
-4.07097, 3.24645, 0.310183, aep
-4.81625, 2.71089, 0.707354, aep
-5.18695, 1.9467, 1.23518, aep
-5.53263, 1.09442, 0.842599, aep
-5.09078, 0.320474, 1.29622, aep
-4.72214, -0.588846, 1.48921, aep
-4.32207, -0.787544, 0.59453, aep
-5.05713, -1.35054, 0.972312, aep
-5.30357, -2.72513, 0.623902, aep
-4.49477, -3.30518, 0.720762, aep
-3.97544, -3.59297, 1.52542, aep
-4.39347, -4.45092, 1.2268, aep
-5.18189, -5.02644, 1.444, aep
-5.49986, -5.93638, 1.17772, aep
-5.28531, -6.88487, 0.944635, aep
-4.64047, -7.64873, 0.918165, aep
-3.68648, -7.89699, 0.750044, aep
-2.71393, -7.80864, 0.53477, aep
-2.24829, -7.87465, 1.41728, aep
-1.47723, -8.4803, 1.22067, aep
-0.45018, -9.50799, 0.964368, aep
0.528918, -9.30777, 1.00012, aep
0.631984, -8.46976, 1.53595, aep
0.833841, -7.53138, 1.25542, aep
1.59885, -6.37124, 1.06006, aep
2.7127, -5.58476, 1.44155, aep
4.02779, -6.05157, 1.32432, aep
4.97116, -6.03367, 1.65557, aep
5.60579, -6.49403, 1.03483, aep
5.58088, -7.49247, 1.08482, aep
6.16488, -7.86831, 0.365313, aep
7.15045, -8.01891, 0.288113, aep
8.13915, -7.95367, 0.423056, aep
8.79704, -7.32324, 1.60235, aep
9.40156, -6.5288, 1.54382, aep
9.19076, -5.56578, 1.37601, aep
8.97311, -4.68296, 0.959774, aep
8.33751, -3.78088, 1.82421, aep
7.36074, -3.68628, 1.63194, aep
6.35833, -3.09284, 0.755549, aep
5.72073, -2.32265, 0.771909, aep
5.22975, -1.54397, 0.381273, aep
4.984, -0.608616, 0.635682, aep
5.35647, 0.318646, 0.673811, aep
6.27164, 0.683163, 0.845823, aep
6.23599, 1.29169, 1.63855, aep
6.4687, 2.1975, 1.2845, aep
6.30814, 3.0637, 0.811306, aep
7.17939, 3.50912, 0.605077, aep
8.02541, 3.09214, 0.937306, aep
8.69019, 3.72511, 0.540542, aep
9.07162, 4.29693, 1.26686, aep
8.61638, 5.18716, 1.25113, aep
8.54922, 6.15146, 1.50726, aep
8.22009, 6.83349, 0.85418, aep
8.53783, 7.77044, 0.999686, aep
9.50219, 7.97047, 0.826488, aep
9.42378, 8.92415, 0.536072, aep
8.60037, 10.0938, 0.817873, aep
7.63309, 10.3224, 0.707731, aep
7.33321, 10.7607, 1.55505, aep
6.52017, 10.929, 2.11243, aep
5.59388, 11.248, 1.91185, aep
4.79617, 10.761, 1.55608, aep
4.72835, 9.79921, 1.82118, aep
4.77452, 8.8044, 1.91185, aep
4.6095, 8.30121, 1.06357, aep
5.14066, 7.4729, 0.885289, aep
5.64747, 6.7235, 0.459231, aep
6.40214, 6.26388, 0.927441, aep
6.10591, 5.31962, 1.07105, aep
5.48336, 4.62484, 0.710898, aep
5.61386, 3.93915, 1.427, aep
4.77818, 4.48714, 1.39033, aep
4.26438, 3.70726, 1.74782, aep
3.62573, 3.06166, 1.32911, aep
2.68501, 2.72459, 1.29141, aep
2.42518, 2.1098, 0.54675, aep
2.52522, 1.11632, 0.492116, aep
3.37725, 0.618239, 0.653244, aep
4.18143, 0.568235, 1.24551, aep
5.01475, 0.723318, 0.714913, aep
5.87365, 0.76019, 1.22572, aep
6.55458, 0.521804, 1.91818, aep
7.18028, -0.201621, 1.62637, aep
8.03754, -0.642866, 1.361, aep
7.88493, -1.78296, 0.581762, aep
7.56123, -2.60233, 1.05489, aep
6.99999, -3.08316, 0.381242, aep
6.86168, -4.07191, 0.438355, aep
6.42329, -4.71733, 1.06385, aep
6.47075, -5.54225, 1.6271, aep
6.32051, -4.70766, 1.09711, aep
6.40552, -3.73497, 1.31309, aep
6.6511, -4.631, 0.943184, aep
5.87941, -5.19116, 1.24437, aep
4.96417, -5.55513, 1.41722, aep
4.02607, -5.90137, 1.42554, aep
3.14162, -6.21788, 1.08264, aep
2.52795, -5.49167, 0.772761, aep
2.11106, -4.63859, 1.08656, aep
0.964883, -3.80255, 1.0983, aep
-0.0198179, -3.75357, 0.931071, aep
-0.737112, -4.37962, 0.625213, aep
-1.68023, -4.04718, 0.628076, aep
-2.25882, -4.62209, 1.20663, aep
-2.2574, -5.59771, 1.42609, aep
-2.11417, -6.36715, 0.803647, aep
-2.50657, -7.08246, 1.38189, aep
-3.18374, -7.73469, 1.04125, aep
-2.83251, -8.65371, 1.22027, aep
-1.8561, -8.47469, 1.09956, aep
-2.64251, -8.29836, 1.69157, aep
-3.5457, -8.08586, 1.31863, aep
-4.22226, -8.79211, 1.52714, aep
-5.13169, -8.53449, 1.20069, aep
-5.8193, -9.17457, 1.54348, aep
-5.6174, -8.44149, 0.893994, aep
-5.679, -7.61061, 1.44703, aep
-6.18879, -6.7809, 1.67439, aep
-6.89393, -6.19468, 2.07328, aep
-7.09959, -5.22007, 1.98467, aep
-7.32813, -4.24978, 0.88985, aep
-6.72245, -3.62858, 0.3926, aep
-5.99606, -3.23447, 0.955671, aep
-5.54193, -2.49099, 1.44658, aep
-4.66228, -2.52916, 0.972499, aep
-3.92042, -2.67399, 0.317767, aep
-3.97232, -1.6777, 0.386425, aep
-4.56441, -0.87542, 0.310399, aep
-5.14474, -0.162386, 0.703849, aep
-6.56403, -0.491276, 0.855321, aep
