Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
4.460000000, 135.28, 9.39444, 119.424, 15.856, 1304.72
8.700000000, 145.848, 10.1283, 128.664, 17.184, 1294.15
12.690000000, 155.264, 10.7822, 140.528, 14.736, 1284.74
17.560000000, 174.64, 12.1278, 155.328, 19.312, 1265.36
21.985000000, 181.936, 12.6344, 161.368, 20.568, 1258.06
26.330000000, 192.128, 13.3422, 175.12, 17.008, 1247.87
30.860000000, 203.328, 14.12, 180.904, 22.424, 1236.67
35.585000000, 219.608, 15.2506, 195.96, 23.648, 1220.39
39.765000000, 232.336, 16.1344, 207.592, 24.744, 1207.66
48.115000000, 243.032, 16.8772, 215.848, 27.184, 1196.97
58.975000000, 256.608, 17.82, 228.192, 28.416, 1183.39
64.175000000, 278.848, 19.3644, 246.864, 31.984, 1161.15
69.670000000, 286.36, 19.8861, 252.76, 33.6, 1153.64
75.740000000, 303.784, 21.0961, 267.848, 35.936, 1136.22
82.335000000, 314.168, 21.8172, 281.92, 32.248, 1125.83
88.865000000, 342.24, 23.7667, 306.48, 35.76, 1097.76
93.085000000, 358.56, 24.9, 321.504, 37.056, 1081.44
98.225000000, 374.824, 26.0294, 336.28, 38.544, 1065.18
102.770000000, 388.472, 26.9772, 352.648, 35.824, 1051.53
107.585000000, 408.464, 28.3656, 369.344, 39.12, 1031.54
113.895000000, 424.816, 29.5011, 382.784, 42.032, 1015.18
118.650000000, 434.84, 30.1972, 395.048, 39.792, 1005.16
122.645000000, 450.024, 31.2517, 407, 43.024, 989.976
126.770000000, 461.184, 32.0267, 417.272, 43.912, 978.816
131.055000000, 474.52, 32.9528, 429.656, 44.864, 965.48
136.130000000, 488.176, 33.9011, 442.32, 45.856, 951.824
140.425000000, 493.944, 34.3017, 447.336, 46.608, 946.056
144.300000000, 496.28, 34.4639, 449.192, 47.088, 943.72
147.975000000, 499.296, 34.6733, 456.768, 42.528, 940.704
152.375000000, 511.136, 35.4956, 464.112, 47.024, 928.864
156.530000000, 524.92, 36.4528, 477.208, 47.712, 915.08
160.745000000, 532.464, 36.9767, 482.776, 49.688, 907.536
164.820000000, 543.584, 37.7489, 491.736, 51.848, 896.416
169.900000000, 549.128, 38.1339, 496.12, 53.008, 890.872
176.790000000, 554.248, 38.4894, 500.832, 53.416, 885.752
182.865000000, 584.288, 40.5756, 527.768, 56.52, 855.712
187.125000000, 596.12, 41.3972, 538.568, 57.552, 843.88
191.075000000, 609.16, 42.3028, 550.304, 58.856, 830.84
195.280000000, 624.144, 43.3433, 563.904, 60.24, 815.856
200.265000000, 638.376, 44.3317, 576.512, 61.864, 801.624
204.205000000, 652.288, 45.2978, 589.08, 63.208, 787.712
208.455000000, 665.432, 46.2106, 601.744, 63.688, 774.568
213.450000000, 681.96, 47.3583, 616.2, 65.76, 758.04
216.310000000, 689.24, 47.8639, 624.288, 64.952, 750.76
