Goal x, Goal y, Goal z, Planner
4.97238, -6.0039, 0.474234, aep
5.0741, -5.10181, 0.893623, aep
5.42792, -4.77346, 1.7694, aep
6.34888, -4.40865, 1.63243, aep
7.36317, -3.47055, 1.6382, aep
8.4655, -2.93027, 1.08574, aep
7.49274, -2.93089, 1.31755, aep
6.61548, -3.20304, 1.71295, aep
7.54566, -3.47307, 1.46425, aep
8.13879, -3.80901, 2.19592, aep
9.03393, -4.2494, 2.12683, aep
9.39566, -4.77616, 1.35762, aep
9.49356, -5.72347, 1.05266, aep
10.3537, -6.22965, 1.11576, aep
10.7245, -6.92707, 1.729, aep
10.813, -7.92313, 1.73581, aep
11.1938, -8.23302, 0.864659, aep
10.9314, -9.03498, 0.328007, aep
11.2583, -9.97025, 0.46363, aep
10.5179, -10.3829, 0.994143, aep
9.92521, -10.5257, 1.78684, aep
9.20057, -10.2398, 2.41387, aep
8.33138, -9.78856, 2.2117, aep
7.661, -10.5164, 2.06725, aep
6.90072, -10.3879, 1.4305, aep
6.06313, -9.89046, 1.65641, aep
4.64956, -10.3009, 1.39074, aep
4.8417, -11.0351, 2.04192, aep
5.32896, -11.8881, 2.22878, aep
5.93367, -12.2229, 1.50612, aep
6.59407, -11.8754, 0.840488, aep
7.1559, -12.626, 0.492815, aep
7.9253, -12.7478, 1.11986, aep
8.83883, -12.8075, 0.717488, aep
9.17599, -11.8677, 0.662314, aep
10.064, -11.6693, 1.07707, aep
10.9668, -11.971, 1.38366, aep
11.4651, -12.838, 1.37506, aep
12.161, -12.9599, 0.667386, aep
12.9475, -13.5382, 0.884432, aep
12.9722, -14.4609, 1.26901, aep
11.6703, -14.7284, 1.31044, aep
10.9761, -15.2514, 1.80491, aep
10.1804, -15.1059, 2.39279, aep
9.42971, -15.5917, 1.94503, aep
8.43265, -15.5503, 2.00953, aep
7.60071, -15.699, 1.47494, aep
6.62564, -15.7661, 1.26346, aep
6.21248, -15.0477, 1.82302, aep
4.95158, -14.7674, 2.23357, aep
3.57258, -14.5778, 2.17648, aep
3.49535, -14.9618, 2.05369, aep
2.11234, -14.7694, 1.71013, aep
1.3903, -14.6165, 1.03537, aep
0.612604, -14.022, 0.831126, aep
0.222483, -13.3562, 1.46715, aep
-0.590759, -13.0764, 1.9774, aep
-1.30161, -12.69, 1.38974, aep
-2.25998, -12.9203, 1.55845, aep
-3.21642, -12.6881, 1.73537, aep
-3.95696, -12.5209, 2.38624, aep
-4.66006, -13.1415, 2.03901, aep
-5.52848, -13.5733, 2.28273, aep
