Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
3.749000000, 33.752, 3.90197, 26.16, 7.592, 831.248
8.496000000, 43.12, 4.98497, 32.376, 10.744, 821.88
12.618000000, 60.824, 7.03168, 47.528, 13.296, 804.176
16.825000000, 65.936, 7.62266, 51.224, 14.712, 799.064
21.446000000, 72.24, 8.35145, 57.256, 14.984, 792.76
24.126000000, 75.36, 8.71214, 58.896, 16.464, 789.64
28.193000000, 86.712, 10.0245, 70.08, 16.632, 778.288
32.786000000, 94.4, 10.9133, 76, 18.4, 770.6
35.990000000, 102.992, 11.9066, 83.84, 19.152, 762.008
41.112000000, 115.768, 13.3836, 92.64, 23.128, 749.232
51.168000000, 129.8, 15.0058, 103.528, 26.272, 735.2
54.026000000, 136.56, 15.7873, 108.688, 27.872, 728.44
57.624000000, 143.04, 16.5364, 114.536, 28.504, 721.96
61.638000000, 147.136, 17.0099, 117.496, 29.64, 717.864
65.448000000, 152.936, 17.6805, 123.592, 29.344, 712.064
68.411000000, 157.744, 18.2363, 127.664, 30.08, 707.256
87.163000000, 172.352, 19.9251, 140.656, 31.696, 692.648
90.107000000, 172.616, 19.9556, 143.016, 29.6, 692.384
94.338000000, 173.128, 20.0148, 140.152, 32.976, 691.872
99.728000000, 178.616, 20.6492, 146.656, 31.96, 686.384
102.415000000, 182.064, 21.0479, 147.2, 34.864, 682.936
107.097000000, 185.712, 21.4696, 149.784, 35.928, 679.288
110.838000000, 194.4, 22.474, 157.496, 36.904, 670.6
115.982000000, 201.816, 23.3313, 162.32, 39.496, 663.184
120.509000000, 203.624, 23.5403, 163.176, 40.448, 661.376
123.187000000, 203.624, 23.5403, 162.2, 41.424, 661.376
125.795000000, 207.888, 24.0333, 164.896, 42.992, 657.112
128.471000000, 217.648, 25.1616, 172.48, 45.168, 647.352
131.461000000, 225.344, 26.0513, 179.304, 46.04, 639.656
135.209000000, 232.392, 26.8661, 182.872, 49.52, 632.608
137.872000000, 232.896, 26.9244, 183.624, 49.272, 632.104
141.733000000, 238.496, 27.5718, 187.888, 50.608, 626.504
145.824000000, 246.88, 28.541, 192.488, 54.392, 618.12
149.240000000, 254.776, 29.4539, 199.416, 55.36, 610.224
152.377000000, 264.304, 30.5554, 209.176, 55.128, 600.696
156.598000000, 273.912, 31.6661, 214.304, 59.608, 591.088
159.413000000, 280.832, 32.4661, 219.976, 60.856, 584.168
162.286000000, 289.576, 33.477, 226.568, 63.008, 575.424
183.725000000, 305.096, 35.2712, 242.928, 62.168, 559.904
188.414000000, 319.632, 36.9517, 252.056, 67.576, 545.368
193.170000000, 331.584, 38.3334, 262.28, 69.304, 533.416
197.545000000, 335.896, 38.8319, 262.168, 73.728, 529.104
201.210000000, 341.656, 39.4978, 267.048, 74.608, 523.344
205.892000000, 343.456, 39.7059, 265.168, 78.288, 521.544
211.764000000, 353.36, 40.8509, 275.744, 77.616, 511.64
216.163000000, 372.544, 43.0687, 290.896, 81.648, 492.456
219.702000000, 389.688, 45.0506, 305.552, 84.136, 475.312
225.735000000, 422.424, 48.8351, 330.432, 91.992, 442.576
230.281000000, 427.56, 49.4289, 333.304, 94.256, 437.44
234.232000000, 434.8, 50.2659, 338.232, 96.568, 430.2
237.329000000, 438.008, 50.6368, 339.16, 98.848, 426.992
241.066000000, 440.352, 50.9077, 339.4, 100.952, 424.648
246.113000000, 442.8, 51.1908, 340.448, 102.352, 422.2
250.696000000, 445.856, 51.544, 342.376, 103.48, 419.144
253.583000000, 447.168, 51.6957, 343.288, 103.88, 417.832
256.251000000, 448.216, 51.8169, 344.256, 103.96, 416.784
260.499000000, 458.12, 52.9618, 353.128, 104.992, 406.88
263.289000000, 463.84, 53.6231, 358.528, 105.312, 401.16
267.426000000, 477.384, 55.1889, 366.736, 110.648, 387.616
272.651000000, 487.896, 56.4042, 373.816, 114.08, 377.104
276.385000000, 494.424, 57.1588, 379.192, 115.232, 370.576
279.142000000, 496.464, 57.3947, 381.568, 114.896, 368.536
281.858000000, 499.576, 57.7545, 385.744, 113.832, 365.424
284.593000000, 505.496, 58.4388, 389.736, 115.76, 359.504
288.481000000, 510.224, 58.9854, 392.152, 118.072, 354.776
292.296000000, 519.448, 60.0518, 398.912, 120.536, 345.552
294.993000000, 520.656, 60.1914, 399.424, 121.232, 344.344
300.028000000, 520.896, 60.2192, 395.44, 125.456, 344.104
307.178000000, 522.288, 60.3801, 395.888, 126.4, 342.712
310.548000000, 524.672, 60.6557, 397.04, 127.632, 340.328
314.581000000, 525.104, 60.7057, 398.944, 126.16, 339.896
318.077000000, 527.224, 60.9508, 401.76, 125.464, 337.776
320.951000000, 530.408, 61.3188, 404.08, 126.328, 334.592
324.304000000, 536.688, 62.0449, 408.88, 127.808, 328.312
328.605000000, 548.304, 63.3877, 419.568, 128.736, 316.696
332.209000000, 548.312, 63.3887, 417.816, 130.496, 316.688
335.488000000, 550.88, 63.6855, 418.696, 132.184, 314.12
338.237000000, 554.464, 64.0999, 422.64, 131.824, 310.536
341.337000000, 563.92, 65.1931, 430.928, 132.992, 301.08
347.692000000, 564.816, 65.2966, 427.784, 137.032, 300.184
352.848000000, 570.992, 66.0106, 431.528, 139.464, 294.008
356.877000000, 572.664, 66.2039, 433.696, 138.968, 292.336
360.703000000, 576.376, 66.6331, 435.704, 140.672, 288.624
364.980000000, 581.248, 67.1963, 438.52, 142.728, 283.752
369.673000000, 585.416, 67.6782, 441.408, 144.008, 279.584
374.485000000, 588.16, 67.9954, 443.768, 144.392, 276.84
377.123000000, 602.384, 69.6398, 458.536, 143.848, 262.616
379.725000000, 603.928, 69.8183, 456.264, 147.664, 261.072
382.435000000, 607.976, 70.2862, 459.512, 148.464, 257.024
386.052000000, 612.952, 70.8615, 461.008, 151.944, 252.048
389.682000000, 618.12, 71.459, 466.304, 151.816, 246.88
393.389000000, 623.12, 72.037, 469.672, 153.448, 241.88
396.986000000, 625.816, 72.3487, 471.224, 154.592, 239.184
400.809000000, 630.504, 72.8906, 475.016, 155.488, 234.496
405.277000000, 642.2, 74.2428, 486.144, 156.056, 222.8
408.640000000, 652.104, 75.3877, 492.352, 159.752, 212.896
411.586000000, 660.408, 76.3477, 498.88, 161.528, 204.592
414.481000000, 670.464, 77.5103, 506.624, 163.84, 194.536
417.956000000, 678.312, 78.4176, 513.04, 165.272, 186.688
422.821000000, 681.104, 78.7403, 512.864, 168.24, 183.896
426.039000000, 683.576, 79.0261, 516.824, 166.752, 181.424
428.689000000, 691.256, 79.914, 527.576, 163.68, 173.744
431.470000000, 699.328, 80.8472, 532.912, 166.416, 165.672
434.778000000, 707.512, 81.7933, 540.32, 167.192, 157.488
437.710000000, 712.64, 82.3861, 544.44, 168.2, 152.36
441.069000000, 718.528, 83.0668, 548.728, 169.8, 146.472
461.488000000, 729.72, 84.3607, 560.912, 168.808, 135.28
465.208000000, 733.944, 84.849, 562.752, 171.192, 131.056
469.185000000, 738.912, 85.4234, 566.296, 172.616, 126.088
472.677000000, 744.824, 86.1068, 571.464, 173.36, 120.176
477.029000000, 754.176, 87.188, 580.52, 173.656, 110.824
480.179000000, 759.056, 87.7521, 583.904, 175.152, 105.944
484.316000000, 763.36, 88.2497, 586.344, 177.016, 101.64
487.012000000, 768.904, 88.8906, 591.072, 177.832, 96.096
490.148000000, 772.984, 89.3623, 594.64, 178.344, 92.016
493.034000000, 779.496, 90.1151, 599.752, 179.744, 85.504
496.533000000, 787.104, 90.9947, 608.248, 178.856, 77.896
504.683000000, 792.68, 91.6393, 609.224, 183.456, 72.32
504.683000000, 792.68, 91.6393, 609.28, 183.4, 72.32
