Goal x, Goal y, Goal z, Planner
5.07238, 6.6961, 0.873839, aep
4.65588, 5.83692, 1.17107, aep
4.77382, 5.01905, 0.60789, aep
4.63981, 4.0827, 0.932371, aep
4.63191, 3.2011, 1.40431, aep
5.43855, 2.7839, 0.985648, aep
5.33647, 1.78913, 0.981754, aep
5.31338, 1.09631, 1.70249, aep
4.44666, 0.622216, 1.54743, aep
3.86067, 0.145649, 0.892068, aep
2.90977, 0.313463, 0.632022, aep
2.49799, 0.0420292, 1.50194, aep
3.0903, -1.20974, 1.46229, aep
2.28924, -1.70848, 1.79329, aep
2.24321, -2.70678, 1.75766, aep
2.3034, -3.54567, 1.21669, aep
2.15814, -4.25405, 1.90742, aep
2.76222, -5.05035, 1.87584, aep
3.36015, -5.84642, 1.96938, aep
3.94726, -5.81736, 1.16039, aep
4.91125, -5.56539, 1.2455, aep
5.52295, -6.34253, 1.39344, aep
5.25598, -7.12145, 1.9609, aep
4.65131, -7.78856, 1.52578, aep
4.23114, -8.67357, 1.32525, aep
3.57655, -9.39495, 1.55136, aep
2.60213, -9.4095, 1.3271, aep
1.75018, -9.11385, 1.75927, aep
1.07766, -9.0167, 1.02559, aep
0.189629, -8.57899, 0.884827, aep
-0.152979, -8.4293, 1.8123, aep
-0.241206, -7.14763, 1.45429, aep
-0.0197333, -6.32711, 0.927324, aep
-0.300704, -5.36739, 0.928401, aep
-0.650908, -5.13709, 1.83632, aep
-1.5028, -4.61528, 1.79171, aep
-2.48994, -4.60274, 1.95112, aep
-3.07895, -4.56574, 1.14385, aep
-3.24592, -3.71818, 0.6401, aep
-3.1372, -2.72767, 0.556093, aep
-3.4699, -3.55252, 1.01318, aep
-4.41219, -3.84399, 1.17789, aep
-5.38875, -3.86097, 0.963302, aep
-5.75812, -3.01361, 1.3448, aep
-6.45462, -2.52331, 0.820874, aep
-7.68982, -1.85216, 1.01191, aep
-7.96929, -1.03282, 0.51133, aep
-7.78967, -0.057082, 0.636493, aep
-7.01551, 0.4866, 0.960656, aep
-6.46582, 1.28613, 0.718603, aep
-5.86588, 2.04011, 0.986181, aep
-6.37819, 2.59921, 0.334301, aep
-6.02472, 3.51449, 0.527483, aep
-6.03999, 4.51377, 0.492725, aep
-6.48164, 5.40952, 0.441998, aep
-5.47631, 6.16453, 1.08503, aep
-4.47994, 6.14608, 1.00189, aep
-3.71439, 5.5043, 1.04724, rrt
-3.69241, 4.51067, 1.15774, rrt
-3.51841, 3.52618, 1.13538, rrt
-2.54454, 3.29916, 1.14169, rrt
-2.57383, 2.30003, 1.17139, rrt
-1.75876, 1.73669, 1.03611, rrt
-1.51381, 0.767192, 1.02734, rrt
-1.61709, -0.225825, 0.970343, rrt
-2.24372, -1.00501, 0.984909, rrt
-3.22639, -1.18714, 0.950392, rrt
-3.59074, -2.11362, 1.04461, rrt
-4.12847, -2.95663, 1.05867, rrt
-3.97219, -3.94173, 1.13041, rrt
-4.00761, -4.85844, 0.732422, rrt
-3.78913, -5.82397, 0.590973, rrt
-4.76774, -5.64978, 0.481464, rrt
-5.63908, -6.10867, 0.655205, rrt
