Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
4.266000000, 144.752, 18.094, 123.44, 21.312, 655.248
7.468000000, 157.528, 19.691, 135.448, 22.08, 642.472
10.959000000, 166.992, 20.874, 143.64, 23.352, 633.008
14.242000000, 177.368, 22.171, 153.08, 24.288, 622.632
17.464000000, 189.344, 23.668, 163.952, 25.392, 610.656
20.543000000, 202.368, 25.296, 175.888, 26.48, 597.632
23.959000000, 217.176, 27.147, 189.312, 27.864, 582.824
27.936000000, 236.336, 29.542, 208.24, 28.096, 563.664
32.606000000, 261.28, 32.66, 231.56, 29.72, 538.72
37.468000000, 286.288, 35.786, 253.64, 32.648, 513.712
42.443000000, 309.224, 38.653, 275.184, 34.04, 490.776
45.865000000, 323.96, 40.495, 287.84, 36.12, 476.04
53.490000000, 344.504, 43.063, 306.24, 38.264, 455.496
79.137000000, 365.552, 45.694, 325.424, 40.128, 434.448
129.085000000, 383, 47.875, 338.68, 44.32, 417
147.333000000, 388.64, 48.58, 341.328, 47.312, 411.36
150.592000000, 394.44, 49.305, 347.088, 47.352, 405.56
153.699000000, 401.144, 50.143, 357.056, 44.088, 398.856
156.717000000, 410.256, 51.282, 362.728, 47.528, 389.744
159.760000000, 417.544, 52.193, 369.04, 48.504, 382.456
162.890000000, 423.632, 52.954, 374.6, 49.032, 376.368
166.042000000, 427.976, 53.497, 379.288, 48.688, 372.024
169.959000000, 440.992, 55.124, 391.88, 49.112, 359.008
173.391000000, 452.08, 56.51, 402.128, 49.952, 347.92
176.652000000, 467.264, 58.408, 416.312, 50.952, 332.736
180.431000000, 476.384, 59.548, 424.712, 51.672, 323.616
184.052000000, 487.144, 60.893, 435.088, 52.056, 312.856
188.088000000, 492.472, 61.559, 439.512, 52.96, 307.528
191.633000000, 501.904, 62.738, 448.328, 53.576, 298.096
194.560000000, 515.112, 64.389, 460.712, 54.4, 284.888
198.384000000, 519.504, 64.938, 464.856, 54.648, 280.496
201.444000000, 529.784, 66.223, 475.136, 54.648, 270.216
205.553000000, 540.432, 67.554, 485.456, 54.976, 259.568
211.426000000, 545.76, 68.22, 488.024, 57.736, 254.24
216.674000000, 555.56, 69.445, 495.128, 60.432, 244.44
220.683000000, 563.632, 70.454, 501.8, 61.832, 236.368
223.568000000, 576.28, 72.035, 513.84, 62.44, 223.72
226.546000000, 591.704, 73.963, 527.832, 63.872, 208.296
230.650000000, 607.528, 75.941, 541.104, 66.424, 192.472
234.914000000, 616.432, 77.054, 548.368, 68.064, 183.568
239.135000000, 627.592, 78.449, 557.92, 69.672, 172.408
242.353000000, 632.064, 79.008, 561.664, 70.4, 167.936
255.293000000, 638.376, 79.797, 565.632, 72.744, 161.624
461.538000000, 654.736, 81.842, 578.944, 75.792, 145.264
466.400000000, 655.136, 81.892, 580.104, 75.032, 144.864
476.618000000, 662.888, 82.861, 585.072, 77.816, 137.112
483.604000000, 674.264, 84.283, 592.8, 81.464, 125.736
490.149000000, 688.448, 86.056, 606.576, 81.872, 111.552
492.968000000, 695.744, 86.968, 614.016, 81.728, 104.256
495.985000000, 702.888, 87.861, 620.792, 82.096, 97.112
499.085000000, 706.296, 88.287, 623.952, 82.344, 93.704
502.338000000, 714.32, 89.29, 631.6, 82.72, 85.68
505.669000000, 721.832, 90.229, 637.744, 84.088, 78.168
508.700000000, 730.408, 91.301, 645.616, 84.792, 69.592
511.569000000, 739.792, 92.474, 654.112, 85.68, 60.208
514.683000000, 741.504, 92.688, 655.128, 86.376, 58.496
518.042000000, 742.736, 92.842, 656.168, 86.568, 57.264
518.042000000, 742.432, 92.804, 655.432, 87, 57.568
