Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
3.063000000, 196.312, 17.8465, 179.384, 16.928, 903.688
6.414000000, 231.176, 21.016, 213.04, 18.136, 868.824
12.376000000, 260.664, 23.6967, 236.432, 24.232, 839.336
17.611000000, 321.04, 29.1855, 293.016, 28.024, 778.96
21.970000000, 370.616, 33.6924, 338.656, 31.96, 729.384
25.310000000, 407.032, 37.0029, 372.752, 34.28, 692.968
28.656000000, 442.864, 40.2604, 404.72, 38.144, 657.136
32.272000000, 481.952, 43.8138, 439.328, 42.624, 618.048
35.740000000, 516.048, 46.9135, 470.104, 45.944, 583.952
39.023000000, 535.712, 48.7011, 488.176, 47.536, 564.288
41.974000000, 543.64, 49.4218, 495, 48.64, 556.36
45.122000000, 561.16, 51.0145, 510.824, 50.336, 538.84
48.463000000, 575.6, 52.3273, 524.136, 51.464, 524.4
51.453000000, 588.56, 53.5055, 536.528, 52.032, 511.44
54.524000000, 606.304, 55.1185, 552.592, 53.712, 493.696
57.793000000, 631.648, 57.4225, 576.48, 55.168, 468.352
60.471000000, 654.28, 59.48, 597.552, 56.728, 445.72
63.624000000, 679.992, 61.8175, 621.712, 58.28, 420.008
66.746000000, 711.472, 64.6793, 651.92, 59.552, 388.528
69.755000000, 739.824, 67.2567, 679.096, 60.728, 360.176
73.900000000, 783.856, 71.2596, 720.8, 63.056, 316.144
77.035000000, 804.432, 73.1302, 738.296, 66.136, 295.568
80.741000000, 834.192, 75.8356, 765.024, 69.168, 265.808
84.089000000, 855.624, 77.784, 784.928, 70.696, 244.376
86.993000000, 863.248, 78.4771, 791.648, 71.6, 236.752
90.130000000, 867.288, 78.8444, 795.072, 72.216, 232.712
93.238000000, 869.176, 79.016, 796.056, 73.12, 230.824
96.278000000, 874.208, 79.4735, 800.648, 73.56, 225.792
100.667000000, 884.2, 80.3818, 811.136, 73.064, 215.8
104.529000000, 894.744, 81.3404, 821.904, 72.84, 205.256
107.535000000, 902.536, 82.0487, 829.592, 72.944, 197.464
110.429000000, 910.872, 82.8065, 836.888, 73.984, 189.128
113.462000000, 916.904, 83.3549, 841.184, 75.72, 183.096
118.773000000, 919.168, 83.5607, 841.352, 77.816, 180.832
124.461000000, 924.12, 84.0109, 842.728, 81.392, 175.88
129.029000000, 930.856, 84.6233, 846.056, 84.8, 169.144
132.587000000, 935.008, 85.0007, 849.928, 85.08, 164.992
135.927000000, 935.56, 85.0509, 850.408, 85.152, 164.44
140.033000000, 935.776, 85.0705, 850.752, 85.024, 164.224
145.853000000, 936.816, 85.1651, 848.72, 88.096, 163.184
149.983000000, 943.144, 85.7404, 854.144, 89, 156.856
188.964000000, 979.992, 89.0902, 880.728, 99.264, 120.008
201.809000000, 999.032, 90.8211, 895.968, 103.064, 100.968
201.809000000, 999.064, 90.824, 895.976, 103.088, 100.936
