Goal x, Goal y, Goal z, Planner
0.772379, 13.0961, 0.474686, aep
0.874098, 13.9982, 0.894075, aep
-0.0692605, 14.2879, 1.0557, aep
-0.16748, 15.0917, 0.468947, aep
0.396675, 14.6402, 1.16023, aep
0.581535, 13.6701, 1.31748, aep
-0.274798, 13.2182, 1.5675, aep
-0.861168, 12.4185, 1.43874, aep
-1.26877, 12.0436, 2.27139, aep
-1.82136, 11.2402, 2.0496, aep
-2.33079, 10.9966, 2.87491, aep
-1.94946, 10.0959, 3.08323, aep
-2.03848, 10.1361, 4.07844, aep
-1.44962, 9.40057, 4.41338, aep
-0.494186, 9.15001, 4.5695, aep
0.464379, 9.41117, 4.6833, aep
-0.34495, 9.25271, 4.11773, aep
-0.590931, 8.48439, 3.52681, aep
-1.3668, 7.87228, 3.37401, aep
-2.01725, 7.34689, 3.92253, aep
-2.45873, 6.86637, 4.68029, aep
-2.00914, 5.98814, 4.84336, aep
-1.81086, 5.14972, 4.33569, aep
-0.840199, 4.98206, 4.16334, aep
-0.73335, 4.52513, 3.28028, aep
-0.114902, 4.21294, 2.55913, aep
-0.0674186, 5.07509, 2.0547, aep
0.513261, 5.78161, 2.45922, aep
0.329998, 6.27879, 1.61114, aep
-0.245536, 6.27821, 0.793366, aep
-1.1229, 6.21247, 0.318057, aep
-1.92169, 5.72597, 0.671957, aep
-1.88618, 4.74472, 0.482545, aep
-1.80999, 3.80844, 0.825434, aep
-1.09417, 3.11032, 0.810043, aep
0.147069, 2.34409, 0.818091, aep
1.04151, 2.35206, 0.370975, aep
1.95623, 2.75372, 0.326676, aep
2.66769, 3.17202, 0.891341, aep
2.50394, 3.19065, 1.87767, aep
2.09944, 4.01098, 3.01666, aep
1.10445, 3.97924, 3.11151, aep
0.381512, 3.30082, 2.98075, aep
-0.598947, 3.40691, 2.81508, aep
-1.58621, 3.40668, 2.656, aep
-2.55701, 3.23603, 2.82462, aep
-1.79529, 3.82701, 2.55904, rrt
-1.64183, 4.81297, 2.49328, rrt
-1.53322, 5.80409, 2.41648, rrt
-0.920526, 6.59439, 2.41037, rrt
-0.490028, 7.48723, 2.27808, rrt
-0.974258, 8.34646, 2.44316, rrt
-0.879611, 9.32979, 2.28796, rrt
-0.676276, 10.2872, 2.49313, rrt
0.0547807, 10.9198, 2.23742, rrt
0.823627, 11.5538, 2.15492, rrt
1.11509, 12.4673, 2.43897, rrt
0.819806, 13.4206, 2.37644, rrt
1.73231, 13.7208, 2.65432, rrt
2.70297, 13.6144, 3.63255, aep
2.70666, 14.5862, 3.86838, aep
2.23782, 15.4654, 3.95289, aep
1.48239, 15.2812, 4.5817, aep
0.549034, 15.242, 4.93851, aep
0.0456765, 16.0984, 4.82357, aep
-0.893002, 15.7665, 4.91679, aep
-1.75846, 15.4062, 4.56863, aep
-2.15747, 16.1438, 4.02381, aep
-3.06536, 16.2494, 3.61814, aep
-3.07116, 15.555, 2.89862, aep
-2.8403, 15.9509, 2.00983, aep
-3.19161, 16.841, 1.71944, aep
-2.78978, 17.5834, 1.18337, aep
-2.54445, 18.4637, 1.58942, aep
-3.02162, 19.0601, 2.2349, aep
-3.32043, 19.349, 3.14441, aep
-2.64946, 19.4272, 3.88177, aep
-1.8182, 19.4362, 4.43758, aep
-0.864547, 19.5902, 4.17906, aep
0.447399, 20.0777, 4.08754, aep
1.03865, 19.3437, 3.7535, aep
