Goal x, Goal y, Goal z, Planner
2.84766, 2.46788, 1.67403, aep
2.0557, 2.69356, 2.24136, aep
1.53233, 1.93665, 1.84998, aep
1.51156, 1.38189, 1.01823, aep
0.538803, 1.38126, 1.25004, aep
0.128005, 1.09366, 2.11522, aep
-0.0773587, 0.117897, 2.0396, aep
0.474701, -0.658717, 2.34308, aep
1.30981, -1.19804, 2.23483, aep
0.951286, -2.04638, 1.84525, aep
1.981, -1.53227, 0.917204, aep
1.12227, -1.68913, 1.40503, aep
0.292035, -1.30032, 1.80446, aep
-0.266593, -2.00536, 2.24133, aep
-0.0292521, -1.08925, 1.91821, aep
-0.171823, -1.71859, 1.15428, aep
-1.02525, -2.04865, 0.750896, aep
-1.1376, -2.93223, 0.296283, aep
-0.984932, -3.81375, 0.743071, aep
-1.88991, -3.69858, 0.333498, aep
-2.54842, -4.35038, 0.709681, aep
-3.52902, -3.87034, 1.62767, aep
-4.49127, -4.07519, 1.44842, aep
-5.32347, -4.11712, 0.895543, aep
-6.16324, -3.83824, 1.3614, aep
-6.69801, -3.43718, 2.10515, aep
-7.61958, -3.04967, 2.12889, aep
-7.94296, -2.66917, 1.2625, aep
-7.87666, -3.08963, 0.357613, aep
-8.07639, -3.93528, 0.852578, aep
-9.03576, -3.81, 1.10538, aep
-9.02975, -4.50546, 1.82391, aep
-9.37336, -5.213, 2.44143, aep
-10.0895, -5.8198, 2.09665, aep
-10.9876, -5.4747, 1.8239, aep
-10.6102, -4.60856, 1.49621, aep
-9.80396, -5.05264, 1.10536, aep
-8.91676, -4.75775, 0.750508, aep
-9.3283, -3.85777, 0.606776, aep
-10.1743, -3.20152, 1.6295, aep
-10.3124, -2.35618, 2.14554, aep
-9.8551, -1.46876, 2.08785, aep
-9.15368, -0.762593, 2.18449, aep
-9.10487, 0.22271, 2.34818, aep
-9.98191, -0.0459397, 1.94991, aep
-10.9081, 0.186357, 1.65298, aep
-11.8268, 0.58116, 1.64003, aep
-12.218, 1.49861, 1.71263, aep
-11.5653, 1.77359, 2.41865, aep
-12.3071, 2.44016, 2.49304, aep
-13.0262, 2.89305, 1.96599, aep
-12.7203, 3.82316, 2.16928, aep
-12.5347, 3.24358, 1.37579, aep
-11.5404, 3.34869, 1.3553, aep
-10.5969, 3.37852, 1.68527, aep
-10.2138, 3.9892, 0.9922, aep
-10.7877, 3.52765, 0.315695, aep
-11.0746, 4.15574, 1.03903, aep
-11.6779, 4.11794, 1.8356, aep
-10.7736, 4.31657, 1.45779, aep
-10.4791, 4.79804, 2.2833, aep
-9.64448, 5.28788, 2.03145, aep
-8.66081, 5.1117, 2.06828, aep
-9.56813, 5.46506, 1.84043, aep
-10.3256, 5.79483, 2.40395, aep
-10.0216, 6.59098, 1.25845, aep
-10.2715, 7.31087, 0.610887, aep
-9.70894, 6.54168, 0.913996, aep
-10.6483, 6.88228, 0.953738, rrt
-10.7002, 7.87857, 1.0224, aep
-10.1632, 7.51756, 1.78484, aep
-9.2682, 7.16878, 2.06287, aep
-8.2903, 7.16486, 2.2719, aep
-7.98187, 6.81729, 1.38643, aep
-7.45399, 7.60824, 1.69586, aep
-7.22253, 8.44928, 2.18481, aep
-6.67102, 8.77169, 1.41546, aep
-6.23761, 8.29042, 0.653531, aep
-7.59336, 8.80635, 0.90473, aep
-7.65102, 7.80877, 0.943708, rrt
-6.66503, 7.67156, 1.03859, rrt
-5.77353, 7.2227, 1.09974, rrt
-5.18681, 8.01075, 0.913338, aep
-4.39765, 8.27447, 1.46802, aep
-3.82361, 9.09175, 1.41762, aep
-3.48668, 9.89706, 0.929829, aep
-3.87264, 8.98332, 0.802912, aep
-3.34687, 8.21384, 1.16549, aep
-2.99971, 8.92877, 0.558578, aep
-2.0633, 9.1526, 0.828823, aep
-1.22937, 9.41992, 1.31162, aep
-0.99847, 8.60637, 1.84531, aep
