Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1627.5
4.935000000, 181.848, 11.1735, 167.016, 14.832, 1445.65
11.605000000, 194.792, 11.9688, 174.512, 20.28, 1432.71
16.655000000, 203.36, 12.4952, 182.904, 20.456, 1424.14
20.850000000, 210.976, 12.9632, 190.168, 20.808, 1416.52
25.920000000, 212.88, 13.0802, 191.168, 21.712, 1414.62
29.620000000, 213.344, 13.1087, 192.768, 20.576, 1414.16
34.170000000, 214.296, 13.1672, 193.048, 21.248, 1413.2
39.950000000, 227.576, 13.9832, 203.84, 23.736, 1399.92
43.730000000, 232.4, 14.2796, 211.52, 20.88, 1395.1
50.420000000, 235.8, 14.4885, 211.632, 24.168, 1391.7
55.675000000, 249.376, 15.3226, 224.192, 25.184, 1378.12
59.645000000, 260.12, 15.9828, 232.336, 27.784, 1367.38
66.020000000, 262.736, 16.1435, 231.136, 31.6, 1364.76
73.160000000, 266.424, 16.3701, 233.84, 32.584, 1361.08
78.710000000, 269.552, 16.5623, 238.544, 31.008, 1357.95
83.140000000, 274.272, 16.8524, 239.96, 34.312, 1353.23
87.005000000, 276.408, 16.9836, 242.272, 34.136, 1351.09
90.740000000, 276.192, 16.9703, 241.448, 34.744, 1351.31
93.980000000, 276.704, 17.0018, 241.264, 35.44, 1350.8
100.385000000, 276.168, 16.9688, 242.728, 33.44, 1351.33
106.695000000, 278.312, 17.1006, 240.776, 37.536, 1349.19
110.995000000, 286.68, 17.6147, 248.56, 38.12, 1340.82
115.510000000, 289.728, 17.802, 249.576, 40.152, 1337.77
116.590000000, 289.728, 17.802, 249.584, 40.144, 1337.77
116.735000000, 289.728, 17.802, 249.584, 40.144, 1337.77
122.835000000, 290.824, 17.8694, 251.152, 39.672, 1336.68
132.100000000, 291.592, 17.9166, 249.464, 42.128, 1335.91
139.180000000, 292.56, 17.976, 248.16, 44.4, 1334.94
146.870000000, 292.72, 17.9859, 248.384, 44.336, 1334.78
151.320000000, 292.72, 17.9859, 248.384, 44.336, 1334.78
155.300000000, 292.656, 17.9819, 248.064, 44.592, 1334.84
160.245000000, 292.656, 17.9819, 250.696, 41.96, 1334.84
164.940000000, 295.568, 18.1609, 249.336, 46.232, 1331.93
169.720000000, 293.712, 18.0468, 251.48, 42.232, 1333.79
175.720000000, 293.712, 18.0468, 250.528, 43.184, 1333.79
183.205000000, 294.424, 18.0906, 248.568, 45.856, 1333.08
186.755000000, 294.584, 18.1004, 248.512, 46.072, 1332.92
190.900000000, 294.616, 18.1024, 247.68, 46.936, 1332.88
207.635000000, 296.608, 18.2248, 249.432, 47.176, 1330.89
212.970000000, 308.792, 18.9734, 258.872, 49.92, 1318.71
217.495000000, 312.36, 19.1926, 260.552, 51.808, 1315.14
221.630000000, 323.96, 19.9054, 269.552, 54.408, 1303.54
230.235000000, 344.488, 21.1667, 286.944, 57.544, 1283.01
234.945000000, 359.168, 22.0687, 297.424, 61.744, 1268.33
241.000000000, 361.216, 22.1945, 295.352, 65.864, 1266.28
245.785000000, 365.512, 22.4585, 299.336, 66.176, 1261.99
249.355000000, 369.888, 22.7274, 303.328, 66.56, 1257.61
255.240000000, 369.984, 22.7333, 299.888, 70.096, 1257.52
262.100000000, 372.08, 22.8621, 301.712, 70.368, 1255.42
265.315000000, 372.08, 22.8621, 304.12, 67.96, 1255.42
270.105000000, 372.432, 22.8837, 302.784, 69.648, 1255.07
275.800000000, 385.304, 23.6746, 312.504, 72.8, 1242.2
279.290000000, 390.4, 23.9877, 318.096, 72.304, 1237.1
285.100000000, 405.016, 24.8858, 328.4, 76.616, 1222.48
290.765000000, 418.36, 25.7057, 338.56, 79.8, 1209.14
294.600000000, 426.768, 26.2223, 345.872, 80.896, 1200.73
300.065000000, 436.592, 26.8259, 353.472, 83.12, 1190.91
306.660000000, 439.872, 27.0275, 354.744, 85.128, 1187.63
312.535000000, 468.664, 28.7966, 379.072, 89.592, 1158.84
316.815000000, 480.2, 29.5054, 388.496, 91.704, 1147.3
320.985000000, 483.192, 29.6892, 389.384, 93.808, 1144.31
324.900000000, 483.192, 29.6892, 388, 95.192, 1144.31
331.055000000, 483.992, 29.7384, 389.552, 94.44, 1143.51
334.860000000, 485.736, 29.8455, 389.784, 95.952, 1141.76
341.275000000, 490.08, 30.1124, 396.664, 93.416, 1137.42
346.770000000, 492.328, 30.2506, 395.784, 96.544, 1135.17
353.370000000, 493.184, 30.3032, 396.48, 96.704, 1134.32
360.145000000, 513.152, 31.5301, 413.728, 99.424, 1114.35
366.605000000, 520.144, 31.9597, 419.72, 100.424, 1107.36
372.280000000, 532.56, 32.7226, 428.608, 103.952, 1094.94
377.255000000, 536.112, 32.9408, 429.84, 106.272, 1091.39
384.335000000, 538.304, 33.0755, 427.592, 110.712, 1089.2
387.710000000, 539.064, 33.1222, 427.68, 111.384, 1088.44
395.140000000, 577.976, 35.5131, 461.616, 116.36, 1049.52
399.435000000, 579.728, 35.6208, 461.544, 118.184, 1047.77
404.960000000, 597.256, 36.6978, 483.28, 113.976, 1030.24
409.360000000, 598.024, 36.7449, 479.736, 118.288, 1029.48
414.020000000, 598.296, 36.7617, 480.376, 117.92, 1029.2
417.705000000, 598.512, 36.7749, 481.272, 117.24, 1028.99
423.575000000, 599.192, 36.8167, 477.584, 121.608, 1028.31
428.945000000, 613.384, 37.6887, 492.288, 121.096, 1014.12
432.850000000, 623.224, 38.2933, 499.776, 123.448, 1004.28
437.235000000, 634.832, 39.0066, 505.992, 128.84, 992.668
440.980000000, 642.432, 39.4735, 512.552, 129.88, 985.068
444.860000000, 648.232, 39.8299, 519.664, 128.568, 979.268
448.390000000, 659.56, 40.526, 529.904, 129.656, 967.94
451.860000000, 666.848, 40.9738, 535.24, 131.608, 960.652
455.360000000, 675.416, 41.5002, 542.248, 133.168, 952.084
459.330000000, 687.36, 42.2341, 557.304, 130.056, 940.14
464.425000000, 712.104, 43.7545, 572.768, 139.336, 915.396
469.310000000, 731.384, 44.9391, 589.208, 142.176, 896.116
473.120000000, 737.824, 45.3348, 592.688, 145.136, 889.676
476.855000000, 743.192, 45.6646, 597.216, 145.976, 884.308
481.640000000, 743.896, 45.7079, 597.344, 146.552, 883.604
488.555000000, 747.8, 45.9478, 599.2, 148.6, 879.7
493.825000000, 749.536, 46.0544, 598.584, 150.952, 877.964
