Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 798
3.178000000, 143.4, 17.9699, 114.12, 29.28, 654.6
6.118000000, 153.984, 19.2962, 123.328, 30.656, 644.016
10.474000000, 168.096, 21.0647, 136.776, 31.32, 629.904
14.440000000, 180.4, 22.6065, 148.192, 32.208, 617.6
17.623000000, 190.56, 23.8797, 156.472, 34.088, 607.44
20.811000000, 197.688, 24.7729, 162.688, 35, 600.312
23.630000000, 206.312, 25.8536, 170.408, 35.904, 591.688
26.459000000, 216.792, 27.1669, 179.968, 36.824, 581.208
29.462000000, 220.92, 27.6842, 183.696, 37.224, 577.08
33.878000000, 228.232, 28.6005, 189.192, 39.04, 569.768
37.021000000, 230.232, 28.8511, 191.4, 38.832, 567.768
41.518000000, 234.992, 29.4476, 194.392, 40.6, 563.008
45.663000000, 241.008, 30.2015, 199.344, 41.664, 556.992
49.253000000, 252.152, 31.598, 208.984, 43.168, 545.848
53.995000000, 256.704, 32.1684, 210.968, 45.736, 541.296
59.056000000, 283.2, 35.4887, 233.472, 49.728, 514.8
62.038000000, 303.912, 38.0842, 251.992, 51.92, 494.088
67.259000000, 323.608, 40.5524, 270.256, 53.352, 474.392
71.070000000, 343.168, 43.0035, 288.352, 54.816, 454.832
76.550000000, 352.448, 44.1664, 296.416, 56.032, 445.552
81.314000000, 356.632, 44.6907, 299.912, 56.72, 441.368
86.172000000, 361.488, 45.2992, 304.728, 56.76, 436.512
89.228000000, 369.016, 46.2426, 312.048, 56.968, 428.984
92.220000000, 384.448, 48.1764, 325.704, 58.744, 413.552
95.753000000, 399.288, 50.0361, 337.544, 61.744, 398.712
100.628000000, 406.264, 50.9103, 343.176, 63.088, 391.736
103.518000000, 411.368, 51.5499, 348.048, 63.32, 386.632
106.715000000, 417.496, 52.3178, 352.288, 65.208, 380.504
110.005000000, 423.12, 53.0226, 357.216, 65.904, 374.88
115.785000000, 427.944, 53.6271, 360.712, 67.232, 370.056
119.489000000, 427.984, 53.6321, 359.712, 68.272, 370.016
124.837000000, 434.648, 54.4672, 364.504, 70.144, 363.352
128.083000000, 444.168, 55.6602, 371.984, 72.184, 353.832
131.023000000, 448.488, 56.2015, 375.88, 72.608, 349.512
134.137000000, 457.072, 57.2772, 380.984, 76.088, 340.928
137.438000000, 461.672, 57.8536, 383.856, 77.816, 336.328
140.282000000, 463.792, 58.1193, 385.608, 78.184, 334.208
143.545000000, 466.296, 58.4331, 388.2, 78.096, 331.704
146.681000000, 468.672, 58.7308, 390.008, 78.664, 329.328
151.746000000, 469.696, 58.8591, 387.976, 81.72, 328.304
157.921000000, 470.328, 58.9383, 387.584, 82.744, 327.672
160.967000000, 470.376, 58.9444, 388.232, 82.144, 327.624
167.212000000, 470.552, 58.9664, 389.472, 81.08, 327.448
172.884000000, 471.248, 59.0536, 389.304, 81.944, 326.752
178.356000000, 471.464, 59.0807, 388.192, 83.272, 326.536
181.979000000, 472.184, 59.1709, 388.048, 84.136, 325.816
187.985000000, 473.216, 59.3003, 390.248, 82.968, 324.784
193.825000000, 473.192, 59.2972, 389.184, 84.008, 324.808
197.148000000, 474.064, 59.4065, 389.432, 84.632, 323.936
201.172000000, 474.328, 59.4396, 390.304, 84.024, 323.672
204.376000000, 474.448, 59.4546, 390.12, 84.328, 323.552
209.788000000, 475.496, 59.586, 391.312, 84.184, 322.504
212.768000000, 476.36, 59.6942, 391.752, 84.608, 321.64
216.493000000, 478.736, 59.992, 392.616, 86.12, 319.264
219.873000000, 481.832, 60.3799, 394.776, 87.056, 316.168
223.033000000, 488.248, 61.184, 399.816, 88.432, 309.752
226.108000000, 498.744, 62.4992, 408.536, 90.208, 299.256
229.205000000, 507.904, 63.6471, 415.528, 92.376, 290.096
232.475000000, 513.656, 64.3679, 420.544, 93.112, 284.344
235.678000000, 521.744, 65.3815, 427.096, 94.648, 276.256
239.091000000, 532.904, 66.7799, 435.232, 97.672, 265.096
242.574000000, 541.52, 67.8596, 442.36, 99.16, 256.48
245.639000000, 550.376, 68.9694, 449.344, 101.032, 247.624
248.926000000, 558.912, 70.0391, 456.152, 102.76, 239.088
252.057000000, 565.6, 70.8772, 462.232, 103.368, 232.4
254.996000000, 572.032, 71.6832, 466.184, 105.848, 225.968
257.923000000, 578.904, 72.5444, 471.872, 107.032, 219.096
261.129000000, 586.736, 73.5258, 477.608, 109.128, 211.264
263.986000000, 592.848, 74.2917, 482.544, 110.304, 205.152
267.238000000, 600.784, 75.2862, 488.68, 112.104, 197.216
272.601000000, 602.856, 75.5459, 485.568, 117.288, 195.144
277.674000000, 611.728, 76.6576, 493.616, 118.112, 186.272
280.808000000, 614.624, 77.0206, 495.744, 118.88, 183.376
283.995000000, 615.048, 77.0737, 496.424, 118.624, 182.952
