Goal x, Goal y, Goal z, Planner
-0.652756, -6.35637, 1.45499, aep
-0.102691, -7.09499, 1.84469, aep
0.677588, -7.61431, 2.19322, aep
1.40192, -7.76584, 1.52063, aep
2.1474, -7.10916, 1.40652, aep
1.73562, -7.3806, 2.27644, aep
2.61545, -7.74074, 2.58658, aep
3.5565, -7.91154, 2.29459, aep
3.9166, -8.17098, 1.39847, aep
4.91035, -8.13908, 1.50538, aep
5.66409, -8.06661, 2.15855, aep
6.13862, -7.21552, 2.38322, aep
7.12349, -7.07375, 2.48283, aep
7.89583, -7.69914, 2.37152, aep
6.999, -7.26057, 2.31353, aep
7.18198, -6.30306, 2.09063, aep
7.99116, -5.71666, 2.12759, aep
8.71836, -6.36493, 2.35324, aep
9.31037, -6.12508, 1.58382, aep
10.3026, -6.01337, 1.52992, aep
11.1335, -5.57328, 1.18941, aep
11.6003, -6.38771, 1.53415, aep
10.643, -6.11132, 1.61865, aep
10.625, -5.11977, 1.7471, aep
10.3289, -4.18949, 1.53047, aep
9.40457, -4.519, 1.7227, aep
8.64615, -4.01558, 2.13667, aep
7.77246, -3.54906, 1.9988, aep
7.72874, -2.5545, 1.90426, aep
7.2326, -1.87667, 2.44684, aep
6.40633, -2.09551, 1.92781, aep
5.65643, -2.05432, 1.26754, aep
4.692, -1.80358, 2.22644, aep
3.84675, -1.35715, 1.07066, aep
3.80923, -1.12336, 2.04222, aep
2.85864, -0.846721, 2.18309, aep
3.16688, -0.0161851, 1.7192, aep
3.32852, 0.928927, 2.00316, aep
2.8762, 1.81579, 1.90889, aep
3.78147, 1.62186, 2.28688, aep
4.14044, 0.955284, 1.63357, aep
5.43861, 1.30586, 1.97901, aep
6.2536, 1.50105, 2.52462, aep
6.54992, 2.4285, 2.75272, aep
6.59497, 3.38631, 2.46888, aep
7.58487, 3.45815, 2.34666, aep
8.50973, 3.07785, 2.34503, aep
9.48715, 2.99681, 2.54017, aep
10.0344, 2.25028, 2.91855, aep
10.1349, 3.23495, 2.77595, aep
10.9913, 3.74623, 2.70375, aep
10.9947, 3.81628, 1.70622, aep
11.7663, 3.65006, 2.32022, aep
12.708, 3.75937, 2.00181, aep
13.6723, 3.82723, 2.25762, aep
12.751, 3.49151, 2.06158, aep
11.886, 3.02697, 1.87166, aep
11.7057, 2.21343, 2.42451, aep
11.7092, 1.35717, 2.94104, aep
11.6068, 1.49937, 1.95651, aep
10.6184, 1.46879, 2.10561, aep
9.94758, 0.756255, 2.31118, aep
9.26977, 0.42481, 2.96748, aep
10.071, -0.0923648, 2.66646, aep
9.60786, -0.847064, 2.20175, aep
9.02636, -1.6055, 1.90741, aep
8.15552, -1.14289, 1.74119, aep
7.20084, -0.859746, 1.64947, aep
6.78503, -0.0265201, 2.01394, aep
6.39247, 0.4735, 2.78587, aep
6.29402, 0.136937, 1.84937, aep
5.49146, -0.449058, 1.73755, aep
5.59471, -1.44053, 1.65804, aep
5.05515, -1.77601, 2.43026, aep
4.23078, -1.83097, 2.99364, aep
4.06633, -0.854647, 2.85312, aep
3.62148, -0.344736, 2.11684, aep
4.19126, 0.358078, 1.69093, aep
3.62757, 1.01884, 1.19531, aep
3.14967, 1.4204, 1.97656, aep
2.88688, 0.502333, 1.67975, aep
1.99269, 0.35479, 2.10244, aep
1.25458, 0.731527, 1.54273, aep
0.659745, 1.19383, 0.885131, aep
0.40513, 2.11475, 1.18023, aep
1.36157, 2.40151, 1.12548, aep
2.34233, 2.5934, 1.08986, rrt
3.32409, 2.54293, 0.906507, rrt
3.79946, 1.9987, 1.49234, rrt
4.76215, 1.76312, 1.62548, rrt
5.64254, 2.22241, 1.74366, rrt
6.55627, 1.82402, 1.66379, rrt
7.53955, 1.64207, 1.65564, rrt
8.52225, 1.47987, 1.74502, rrt
9.41473, 1.89951, 1.91047, rrt
9.84725, 1.00182, 1.8264, rrt
10.1539, 0.0524438, 1.89448, rrt
9.95188, -0.926051, 1.85299, rrt
10.6678, -1.61833, 1.94326, rrt
11.0851, -2.85175, 1.89616, rrt
11.9127, -3.41277, 1.91192, rrt
12.4247, -4.26731, 1.99912, rrt
11.9393, -5.13409, 1.88481, rrt
12.5509, -5.82099, 1.49227, rrt
13.1776, -6.5366, 1.18369, rrt
14.0832, -6.1131, 1.20504, aep
14.9023, -6.55089, 1.57566, aep
13.9676, -6.19802, 1.61782, aep
13.7916, -5.30622, 1.20105, aep
13.769, -4.56215, 1.86877, aep
13.2525, -4.24929, 2.66587, aep
13.3293, -3.2569, 2.56954, aep
13.1371, -4.2302, 2.44401, aep
13.5383, -3.33229, 2.62519, aep
13.3097, -2.36474, 2.5174, aep
13.7247, -1.91115, 1.3251, aep
13.5932, -1.97522, 0.335866, aep
13.7562, -1.45348, 0.460772, rrt
14.1564, -2.35486, 0.626321, aep
14.9012, -2.99937, 0.453518, aep
15.7299, -2.63867, 0.881426, aep
15.3559, -1.73973, 1.10953, aep
16.0159, -1.06589, 0.777373, aep
15.0521, -0.81296, 0.861547, aep
14.6852, -0.135725, 1.49933, aep
14.0924, 0.666777, 1.5662, aep
14.7833, 1.36539, 1.75184, aep
15.5138, 1.93883, 2.1228, aep
15.8454, 1.14145, 1.05706, aep
15.8123, 1.81929, 1.79152, aep
15.3913, 2.67836, 2.08261, aep
15.3041, 1.80804, 1.59789, aep
15.6117, 1.1307, 2.26614, aep
15.6468, 0.177559, 2.56663, aep
15.2384, 1.00463, 2.18042, aep
15.1636, 1.99133, 2.03608, aep
15.4126, 2.94401, 2.21051, aep
15.3743, 3.94284, 2.23998, aep
15.684, 3.2082, 2.84358, aep
15.8919, 2.24995, 2.64718, aep
16.3924, 1.79487, 1.91073, aep
16.2908, 1.58082, 0.939207, aep
15.7392, 0.922618, 1.45158, aep
14.8651, 0.623334, 1.83403, aep
15.1325, -0.0793697, 2.49336, aep
15.2552, -1.04106, 2.73851, aep
14.8705, -1.95811, 2.84334, aep
13.9631, -2.29158, 2.58753, aep
13.6241, -2.47725, 1.66523, aep
13.8244, -3.45406, 1.74095, aep
13.5858, -3.63897, 0.787588, aep
13.1191, -4.37543, 0.297873, aep
12.2415, -4.73772, 0.611672, aep
11.7305, -5.58962, 0.726314, aep
10.8053, -5.90132, 1.51234, aep
10.1491, -5.17231, 1.31766, aep
9.21607, -5.34645, 1.6326, aep
8.46816, -5.89537, 1.25935, aep
7.88727, -5.08139, 1.26398, rrt
6.91845, -5.25133, 1.44431, rrt
6.30883, -4.46347, 1.53172, rrt
5.33271, -4.37024, 1.72795, rrt
4.9817, -3.65379, 1.53585, rrt
4.52818, -2.81355, 1.83304, rrt
3.96323, -1.99196, 1.75677, rrt
4.1325, -2.93967, 1.48621, aep
3.55267, -3.61245, 1.02669, aep
3.23941, -2.77155, 1.46799, aep
2.36856, -2.29189, 1.36051, aep
1.93057, -2.30945, 2.25932, aep
1.20315, -1.77756, 2.69284, aep
0.246425, -2.0188, 2.85559, aep
0.822967, -2.68333, 2.3802, rrt
0.284156, -3.47931, 2.10435, rrt
-0.320871, -4.27538, 2.08937, rrt
-0.153678, -5.24212, 1.89583, rrt
-0.526011, -6.14075, 1.66381, rrt
-1.36025, -5.59009, 1.63515, rrt
-1.3565, -6.56829, 1.42753, aep
-1.73924, -7.49081, 1.37781, aep
