Goal x, Goal y, Goal z, Planner
3.19818, 8.02535, 0.440726, aep
3.80887, 7.92827, 1.22662, aep
3.77916, 8.4371, 0.958911, rrt
3.43998, 7.49741, 0.914814, rrt
3.70744, 9.87697, 2.37285, aep
3.81515, 8.88326, 2.4037, aep
3.9761, 7.91311, 2.22232, aep
3.53237, 7.02631, 2.35151, aep
2.5432, 7.14971, 2.2721, aep
1.9772, 6.34782, 2.46344, aep
1.96553, 7.29091, 2.13111, aep
1.0411, 7.21861, 1.75668, aep
0.049744, 6.20377, 2.17837, aep
0.583119, 5.5196, 1.68096, aep
1.02558, 4.81078, 2.23033, aep
1.14451, 3.82717, 2.36582, aep
1.05713, 3.3017, 1.51951, aep
1.01848, 2.45686, 2.05313, aep
0.143667, 2.02338, 1.83681, aep
0.979282, 2.12971, 2.37573, aep
1.10058, 1.13922, 2.44061, aep
0.200131, 0.719185, 2.32761, aep
-0.117726, -0.0355632, 1.75374, aep
0.46204, -0.79122, 1.44902, aep
1.38195, -0.910366, 1.82261, aep
1.31847, -1.80325, 2.2684, aep
2.08107, -2.41776, 2.47042, aep
1.85449, -3.37831, 2.30914, aep
2.42226, -4.19458, 2.20262, aep
2.19945, -5.16935, 2.1895, aep
1.66412, -6.01185, 2.24963, aep
0.856329, -6.59476, 2.162, aep
-0.105466, -6.57308, 2.43491, aep
0.420854, -6.4477, 1.59391, aep
-0.195871, -7.119, 1.1828, aep
-0.722697, -6.27517, 1.08074, rrt
-0.444719, -5.32936, 1.2486, aep
0.0355509, -5.58507, 0.409579, aep
-0.928277, -5.66613, 0.663481, aep
-0.469151, -6.51246, 0.393436, aep
0.515711, -6.65723, 0.488781, aep
0.642237, -5.66615, 0.530697, rrt
0.275084, -4.73769, 0.586916, rrt
-0.713638, -4.80359, 0.721399, rrt
-1.20774, -3.93537, 0.766639, rrt
0.718721, -8.81135, 2.46351, aep
0.340485, -7.9051, 2.2747, aep
-0.488012, -8.46502, 2.26521, aep
-0.777825, -7.51221, 2.17481, rrt
-0.575225, -6.5332, 2.19688, rrt
-0.995814, -5.66951, 1.91911, rrt
-0.851244, -4.68696, 1.80212, rrt
-0.981035, -3.7148, 1.60701, rrt
-0.53272, -2.64733, 1.96706, rrt
-1.09891, -1.95029, 1.5271, rrt
-2.19272, -1.19863, 1.58522, rrt
-2.3889, -0.280875, 1.93054, rrt
-3.18157, 0.305704, 2.09669, rrt
-3.22905, 1.01485, 2.27644, aep
-2.80827, 1.6831, 1.66294, aep
-3.15565, 2.41139, 1.07225, aep
-3.0023, 3.3229, 1.45386, rrt
-2.41213, 3.86437, 2.05261, aep
-1.73876, 4.60098, 2.11575, aep
-2.21028, 5.4717, 2.25541, aep
-1.35299, 5.46715, 1.7406, aep
-0.676588, 6.14355, 1.44912, aep
-0.210015, 6.7979, 0.854026, aep
0.787086, 6.73701, 0.808408, aep
1.09139, 7.66419, 0.589932, aep
1.90738, 8.17391, 0.317243, aep
1.69266, 9.07187, 0.70139, aep
1.63285, 8.90249, 2.143, aep
1.85157, 9.86956, 2.27318, aep
0.892649, 10.1048, 2.11468, aep
0.224119, 9.54508, 1.625, aep
-0.463162, 9.18994, 2.25866, aep
-1.38357, 8.79904, 2.26587, aep
-2.27948, 8.40749, 2.47572, aep
-2.85746, 8.14416, 1.70333, aep
-1.8967, 8.30178, 1.9316, aep
-1.35321, 8.68691, 1.18575, aep
-1.90884, 8.49882, 0.734152, aep
