Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 510
4.200000000, 65.232, 12.7906, 47.248, 17.984, 444.768
8.336000000, 71.8, 14.0784, 53.08, 18.72, 438.2
13.583000000, 95.296, 18.6855, 73.976, 21.32, 414.704
16.731000000, 113.496, 22.2541, 90.16, 23.336, 396.504
21.167000000, 122.872, 24.0925, 96.016, 26.856, 387.128
26.365000000, 149.936, 29.3992, 122.576, 27.36, 360.064
30.172000000, 171.12, 33.5529, 142.256, 28.864, 338.88
34.326000000, 190.84, 37.4196, 157.608, 33.232, 319.16
39.716000000, 201.52, 39.5137, 163.6, 37.92, 308.48
45.627000000, 216.032, 42.3592, 173.96, 42.072, 293.968
48.994000000, 230.84, 45.2627, 187.104, 43.736, 279.16
52.069000000, 237.328, 46.5349, 192.232, 45.096, 272.672
56.049000000, 238.416, 46.7482, 192.864, 45.552, 271.584
62.143000000, 239.296, 46.9208, 190.632, 48.664, 270.704
68.093000000, 241.704, 47.3929, 195.528, 46.176, 268.296
71.596000000, 248.136, 48.6541, 199.928, 48.208, 261.864
74.605000000, 253.432, 49.6925, 203.584, 49.848, 256.568
78.407000000, 266.528, 52.2604, 215.928, 50.6, 243.472
81.646000000, 275.672, 54.0533, 224.456, 51.216, 234.328
84.654000000, 290.304, 56.9224, 237.512, 52.792, 219.696
88.360000000, 305.656, 59.9325, 250.368, 55.288, 204.344
91.666000000, 315.96, 61.9529, 258.848, 57.112, 194.04
94.678000000, 330.112, 64.7278, 270.584, 59.528, 179.888
97.796000000, 340.68, 66.8, 280.056, 60.624, 169.32
100.677000000, 352.336, 69.0855, 290.88, 61.456, 157.664
103.943000000, 355.224, 69.6518, 293.592, 61.632, 154.776
108.255000000, 356.136, 69.8306, 294.664, 61.472, 153.864
111.436000000, 357.728, 70.1427, 296.76, 60.968, 152.272
116.129000000, 367.608, 72.08, 306.712, 60.896, 142.392
119.295000000, 374.824, 73.4949, 313.232, 61.592, 135.176
122.804000000, 380.032, 74.5161, 314.712, 65.32, 129.968
125.909000000, 391.728, 76.8094, 327, 64.728, 118.272
129.459000000, 398.976, 78.2306, 332.384, 66.592, 111.024
132.746000000, 403.352, 79.0886, 335.96, 67.392, 106.648
136.150000000, 410.896, 80.5678, 341.888, 69.008, 99.104
139.671000000, 422.168, 82.778, 352.616, 69.552, 87.832
143.954000000, 426.376, 83.6031, 356.72, 69.656, 83.624
147.415000000, 431.816, 84.6698, 362.616, 69.2, 78.184
150.946000000, 436.8, 85.6471, 366.096, 70.704, 73.2
154.301000000, 438.792, 86.0376, 364.488, 74.304, 71.208
157.470000000, 442.248, 86.7153, 370.2, 72.048, 67.752
160.768000000, 444.456, 87.1482, 371.84, 72.616, 65.544
163.530000000, 445.208, 87.2957, 372.56, 72.648, 64.792
166.898000000, 445.064, 87.2675, 372.36, 72.704, 64.936
171.836000000, 447.648, 87.7741, 375.952, 71.696, 62.352
175.022000000, 447.856, 87.8149, 376.072, 71.784, 62.144
178.272000000, 448.072, 87.8573, 376.112, 71.96, 61.928
182.006000000, 448.408, 87.9231, 376.24, 72.168, 61.592
185.587000000, 448.56, 87.9529, 376.616, 71.944, 61.44
189.323000000, 448.84, 88.0078, 376.832, 72.008, 61.16
236.277000000, 450.712, 88.3749, 380.808, 69.904, 59.288
239.912000000, 453.72, 88.9647, 383.928, 69.792, 56.28
243.003000000, 454.752, 89.1671, 382.264, 72.488, 55.248
246.182000000, 456.208, 89.4525, 384.464, 71.744, 53.792
249.779000000, 456.256, 89.462, 382.08, 74.176, 53.744
253.799000000, 456.256, 89.462, 382.104, 74.152, 53.744
257.798000000, 457.024, 89.6125, 383.784, 73.24, 52.976
262.007000000, 457.064, 89.6204, 382.168, 74.896, 52.936
269.029000000, 457.648, 89.7349, 382.864, 74.784, 52.352
273.695000000, 457.992, 89.8024, 383.4, 74.592, 52.008
277.899000000, 458.032, 89.8102, 383.432, 74.6, 51.968
282.431000000, 458.528, 89.9075, 384.288, 74.24, 51.472
286.813000000, 462.576, 90.7012, 388.104, 74.472, 47.424
290.020000000, 463.2, 90.8235, 389, 74.2, 46.8
294.795000000, 463.84, 90.949, 388.68, 75.16, 46.16
300.266000000, 464.016, 90.9835, 388.056, 75.96, 45.984
305.363000000, 464, 90.9804, 388.136, 75.864, 46
308.664000000, 464, 90.9804, 388.104, 75.896, 46
308.664000000, 464, 90.9804, 387.864, 76.136, 46
