Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
4.886000000, 88.592, 19.6871, 74.456, 14.136, 361.408
7.798000000, 93.696, 20.8213, 79.24, 14.456, 356.304
11.094000000, 100.56, 22.3467, 86.472, 14.088, 349.44
14.397000000, 112.04, 24.8978, 96.8, 15.24, 337.96
17.303000000, 124.96, 27.7689, 109.336, 15.624, 325.04
21.355000000, 141.288, 31.3973, 125.288, 16, 308.712
25.608000000, 158.36, 35.1911, 140.864, 17.496, 291.64
28.717000000, 171.24, 38.0533, 152.808, 18.432, 278.76
31.591000000, 181.432, 40.3182, 160.64, 20.792, 268.568
37.120000000, 188.064, 41.792, 164.08, 23.984, 261.936
41.702000000, 198.72, 44.16, 172.968, 25.752, 251.28
48.126000000, 200.016, 44.448, 169.8, 30.216, 249.984
54.398000000, 201.2, 44.7111, 172.536, 28.664, 248.8
57.358000000, 206.336, 45.8524, 177.424, 28.912, 243.664
60.190000000, 218.808, 48.624, 189.568, 29.24, 231.192
62.894000000, 234.432, 52.096, 203.584, 30.848, 215.568
67.515000000, 237.984, 52.8853, 205.504, 32.48, 212.016
71.706000000, 250.896, 55.7547, 218.032, 32.864, 199.104
75.381000000, 257.84, 57.2978, 223.872, 33.968, 192.16
79.170000000, 265.592, 59.0204, 230.064, 35.528, 184.408
82.252000000, 276.752, 61.5004, 240.024, 36.728, 173.248
85.458000000, 283.608, 63.024, 246.592, 37.016, 166.392
89.701000000, 284.344, 63.1876, 247.304, 37.04, 165.656
93.780000000, 286.32, 63.6267, 248.192, 38.128, 163.68
98.162000000, 287.776, 63.9502, 252.92, 34.856, 162.224
101.383000000, 297.504, 66.112, 259.08, 38.424, 152.496
104.834000000, 306.2, 68.0444, 266.816, 39.384, 143.8
107.632000000, 307.192, 68.2649, 267.648, 39.544, 142.808
111.239000000, 307.224, 68.272, 266.208, 41.016, 142.776
116.377000000, 312.52, 69.4489, 269.088, 43.432, 137.48
120.673000000, 315.064, 70.0142, 271.28, 43.784, 134.936
125.129000000, 320.672, 71.2604, 276.032, 44.64, 129.328
128.139000000, 324.496, 72.1102, 279.208, 45.288, 125.504
131.007000000, 325.224, 72.272, 282.584, 42.64, 124.776
134.134000000, 328.632, 73.0293, 283.984, 44.648, 121.368
137.686000000, 336.304, 74.7342, 292.168, 44.136, 113.696
141.300000000, 346.72, 77.0489, 300.672, 46.048, 103.28
144.778000000, 358.84, 79.7422, 312.936, 45.904, 91.16
149.150000000, 360.568, 80.1262, 313.752, 46.816, 89.432
152.267000000, 360.568, 80.1262, 312.784, 47.784, 89.432
157.800000000, 362.464, 80.5476, 311.416, 51.048, 87.536
161.482000000, 368.448, 81.8773, 316.56, 51.888, 81.552
164.811000000, 375.672, 83.4827, 327.408, 48.264, 74.328
167.913000000, 379.536, 84.3413, 330.456, 49.08, 70.464
171.096000000, 392.4, 87.2, 340.952, 51.448, 57.6
174.660000000, 395.024, 87.7831, 340.568, 54.456, 54.976
178.746000000, 401.88, 89.3067, 348.128, 53.752, 48.12
182.684000000, 402.688, 89.4862, 348.824, 53.864, 47.312
186.765000000, 405.784, 90.1742, 350.816, 54.968, 44.216
189.696000000, 410.184, 91.152, 355.096, 55.088, 39.816
193.230000000, 416.824, 92.6276, 361.36, 55.464, 33.176
196.803000000, 417.192, 92.7093, 361.688, 55.504, 32.808
200.345000000, 418.912, 93.0916, 361.48, 57.432, 31.088
204.205000000, 418.48, 92.9956, 362.568, 55.912, 31.52
207.132000000, 418.568, 93.0151, 363.392, 55.176, 31.432
207.132000000, 418.568, 93.0151, 363.656, 54.912, 31.432
