Goal x, Goal y, Goal z, Planner
6.07238, 0.696095, 0.67416, aep
5.36659, 1.39523, 0.788537, aep
4.96646, 2.09945, 1.37502, aep
4.09321, 2.29917, 0.930573, aep
4.16576, 3.27723, 1.12586, aep
3.2135, 3.57941, 1.08258, aep
3.64083, 4.45826, 1.29474, aep
2.7749, 3.98616, 1.45996, aep
1.87345, 4.24374, 1.11205, aep
0.962943, 4.6553, 1.15195, aep
1.10591, 5.64482, 1.1723, aep
0.32789, 5.14668, 1.55512, aep
0.633288, 4.21306, 1.74241, aep
1.43753, 3.66375, 1.51556, aep
0.110672, 3.39906, 1.02705, aep
0.567589, 2.75468, 0.413858, aep
0.344722, 3.72929, 0.392462, aep
0.322284, 3.94751, 1.3681, aep
0.448642, 2.95565, 1.35268, aep
-0.19869, 3.60487, 0.95334, aep
-0.361469, 3.51555, 1.37615, rrt
-0.448968, 3.48817, 1.6379, rrt
-1.43467, 3.46157, 1.80431, aep
-1.65028, 2.98549, 0.951754, aep
-2.64625, 2.89879, 0.928727, aep
-3.63217, 3.04915, 0.855584, aep
-4.61333, 2.91502, 0.716498, aep
-4.97079, 2.91529, 0.804037, rrt
-5.11561, 1.14123, 1.14269, aep
-5.7355, 1.87083, 1.4315, aep
-5.98525, 1.03366, 1.91811, aep
-5.21952, 0.876699, 1.2944, aep
-4.98215, 0.227848, 0.571453, aep
-5.22173, -0.742298, 0.609133, aep
-4.78612, -0.216574, 1.33979, aep
-3.98322, -0.165332, 1.9337, aep
-3.71035, -1.12091, 1.82225, aep
-3.89411, -0.571179, 1.00737, aep
-4.88329, -0.447776, 0.927959, aep
-5.77747, -0.361856, 0.488589, aep
-6.10624, -0.821914, 1.31337, aep
-5.69337, -1.62161, 1.74929, aep
-5.76079, -2.24183, 0.967763, aep
-5.73611, -3.21081, 1.2137, aep
-4.84203, -3.0579, 0.792682, aep
-4.04457, -3.65909, 0.843822, aep
-3.24369, -3.06621, 0.75966, aep
-3.11298, -3.78115, 1.44651, aep
-3.94768, -3.23588, 1.52361, aep
-4.46427, -4.08718, 1.61544, aep
-4.43981, -4.50739, 0.708347, aep
-4.05398, -5.39132, 0.444129, aep
-3.8013, -6.27204, 0.844743, aep
-3.435, -5.39261, 1.14876, aep
-2.91075, -5.91679, 0.477643, aep
-2.02045, -6.34574, 0.630526, aep
-2.10061, -5.35028, 0.579078, rrt
-1.45918, -4.59838, 0.42669, aep
-0.532496, -4.22472, 0.467002, aep
-1.24359, -3.89061, 1.08565, aep
-1.40146, -4.45717, 0.820673, rrt
-1.33952, -5.78755, 1.03769, rrt
-0.664085, -6.27481, 1.59119, rrt
0.287088, -6.28058, 1.28259, aep
0.699244, -7.16224, 1.05282, aep
1.58644, -6.86735, 0.697967, aep
2.44043, -6.37674, 0.524739, aep
1.94435, -5.51102, 0.591305, rrt
0.921413, -6.46063, 1.65516, aep
2.03513, -6.67746, 0.855215, aep
3.44992, -6.97434, 1.08437, aep
4.42526, -6.75618, 1.11772, aep
