Goal x, Goal y, Goal z, Planner
0.829038, -0.551246, 1.54471, aep
1.50913, -0.887097, 0.893036, aep
2.30845, -1.15181, 1.43249, aep
2.54799, -1.83486, 0.742511, aep
2.19649, -2.51939, 1.38115, aep
2.92912, -3.06906, 1.78254, aep
2.34687, -3.87779, 1.6992, aep
1.43151, -4.1265, 1.38257, aep
2.12374, -3.47853, 1.06485, aep
2.41701, -2.59263, 1.42427, aep
1.75341, -1.94565, 1.79984, aep
0.883358, -1.52904, 1.53632, aep
1.25061, -1.28751, 0.638109, aep
0.94275, -0.34424, 0.513736, aep
0.848445, 0.404296, 1.17009, aep
0.996427, 1.29408, 0.738367, aep
1.73459, 1.597, 0.135582, aep
1.34563, 1.17395, 0.953958, aep
0.50614, 0.719117, 1.25124, aep
0.434327, 1.35734, 0.484742, aep
0.579483, 2.34611, 0.520436, aep
1.54131, 2.51121, 0.302206, aep
2.50062, 2.79333, 0.314149, aep
3.25436, 2.8658, 0.967318, aep
2.48798, 2.86552, 1.6097, aep
2.03279, 2.02535, 1.31489, aep
1.53301, 1.62374, 0.547476, aep
0.271852, 1.91289, 1.13047, aep
-0.433535, 1.59423, 0.497317, aep
-0.0922628, 1.60498, 1.43722, aep
-0.808247, 2.21986, 1.76782, aep
-1.44062, 2.97226, 1.58346, aep
-1.82902, 3.42582, 0.781314, aep
-2.80236, 3.24734, 0.925386, aep
-3.78748, 3.11481, 0.81593, aep
-3.70344, 2.25176, 0.317852, aep
-4.55258, 1.73284, 0.416323, aep
-4.17523, 0.806822, 0.406684, aep
-3.46444, 0.244025, 0.828622, aep
-2.8437, -0.346998, 1.34377, aep
-2.99068, -1.33365, 1.27371, aep
-3.5719, -1.87541, 0.666518, aep
-4.48561, -2.2027, 0.907354, aep
-3.82039, -2.89031, 0.616353, aep
