Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 450
5.118000000, 167.336, 37.1858, 152.448, 14.888, 282.664
9.400000000, 179.96, 39.9911, 163.2, 16.76, 270.04
13.796000000, 197.072, 43.7938, 177.048, 20.024, 252.928
19.437000000, 202.704, 45.0453, 180.328, 22.376, 247.296
23.213000000, 202.704, 45.0453, 181.92, 20.784, 247.296
27.658000000, 204.24, 45.3867, 182.856, 21.384, 245.76
31.456000000, 208.672, 46.3716, 186.648, 22.024, 241.328
35.489000000, 222.544, 49.4542, 199.32, 23.224, 227.456
39.590000000, 235.888, 52.4196, 211.6, 24.288, 214.112
43.938000000, 249.872, 55.5271, 223.76, 26.112, 200.128
47.762000000, 263.976, 58.6613, 235.12, 28.856, 186.024
52.497000000, 270.464, 60.1031, 241, 29.464, 179.536
56.492000000, 279.8, 62.1778, 253.888, 25.912, 170.2
62.445000000, 285.208, 63.3796, 254.96, 30.248, 164.792
68.072000000, 298.312, 66.2916, 266.184, 32.128, 151.688
72.173000000, 306.352, 68.0782, 271.528, 34.824, 143.648
76.037000000, 312.512, 69.4471, 275.728, 36.784, 137.488
81.946000000, 327.328, 72.7396, 289.68, 37.648, 122.672
85.392000000, 333.688, 74.1529, 295.224, 38.464, 116.312
88.962000000, 344.88, 76.64, 304.936, 39.944, 105.12
95.620000000, 346.312, 76.9582, 304.248, 42.064, 103.688
99.022000000, 346.568, 77.0151, 304.744, 41.824, 103.432
104.319000000, 346.488, 76.9973, 304.744, 41.744, 103.512
108.958000000, 348.664, 77.4809, 306.76, 41.904, 101.336
115.519000000, 349.64, 77.6978, 307.576, 42.064, 100.36
118.887000000, 349.384, 77.6409, 307.624, 41.76, 100.616
122.209000000, 349.384, 77.6409, 307.304, 42.08, 100.616
125.670000000, 349.64, 77.6978, 310.816, 38.824, 100.36
129.128000000, 349.64, 77.6978, 308.288, 41.352, 100.36
135.081000000, 349.928, 77.7618, 305.456, 44.472, 100.072
138.523000000, 349.992, 77.776, 305.136, 44.856, 100.008
143.169000000, 355.776, 79.0613, 312.368, 43.408, 94.224
146.783000000, 362.112, 80.4693, 314.424, 47.688, 87.888
150.567000000, 365.176, 81.1502, 315.312, 49.864, 84.824
154.354000000, 364.648, 81.0329, 314.504, 50.144, 85.352
158.011000000, 364.392, 80.976, 314.92, 49.472, 85.608
161.433000000, 364.392, 80.976, 315.048, 49.344, 85.608
165.470000000, 364.512, 81.0027, 316.28, 48.232, 85.488
168.946000000, 364.944, 81.0987, 316.2, 48.744, 85.056
172.760000000, 368.384, 81.8631, 319.432, 48.952, 81.616
176.400000000, 370.408, 82.3129, 322.128, 48.28, 79.592
180.436000000, 379.312, 84.2916, 331.624, 47.688, 70.688
184.830000000, 383.24, 85.1644, 334.016, 49.224, 66.76
188.624000000, 382.28, 84.9511, 330.744, 51.536, 67.72
192.452000000, 387.2, 86.0444, 334.048, 53.152, 62.8
196.556000000, 389.904, 86.6453, 334.392, 55.512, 60.096
200.418000000, 391.512, 87.0027, 335.392, 56.12, 58.488
204.182000000, 392.072, 87.1271, 337.608, 54.464, 57.928
207.965000000, 393.112, 87.3582, 337.112, 56, 56.888
212.801000000, 393.976, 87.5502, 340.088, 53.888, 56.024
219.366000000, 394.68, 87.7067, 338.248, 56.432, 55.32
223.974000000, 398.84, 88.6311, 340.584, 58.256, 51.16
229.588000000, 399.912, 88.8693, 341.536, 58.376, 50.088
236.329000000, 402.816, 89.5147, 341.72, 61.096, 47.184
240.653000000, 405.032, 90.0071, 342.832, 62.2, 44.968
247.509000000, 406.616, 90.3591, 343.368, 63.248, 43.384
251.504000000, 406.616, 90.3591, 342.976, 63.64, 43.384
255.133000000, 406.616, 90.3591, 342.84, 63.776, 43.384
258.895000000, 406.616, 90.3591, 347.024, 59.592, 43.384
262.679000000, 406.616, 90.3591, 343.216, 63.4, 43.384
267.088000000, 406.616, 90.3591, 342.736, 63.88, 43.384
270.464000000, 407.128, 90.4729, 342.504, 64.624, 42.872
277.495000000, 408.496, 90.7769, 343.392, 65.104, 41.504
305.734000000, 409.136, 90.9191, 344.192, 64.944, 40.864
305.734000000, 409.136, 90.9191, 344.28, 64.856, 40.864
