Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1440
6.355000000, 58.856, 4.08722, 52.56, 6.296, 1381.14
11.235000000, 69.064, 4.79611, 60.888, 8.176, 1370.94
14.565000000, 73.336, 5.09278, 63.384, 9.952, 1366.66
21.230000000, 77.504, 5.38222, 66.248, 11.256, 1362.5
27.295000000, 87.568, 6.08111, 76.456, 11.112, 1352.43
31.620000000, 101.672, 7.06056, 91.296, 10.376, 1338.33
36.255000000, 118.464, 8.22667, 104.656, 13.808, 1321.54
43.035000000, 133.48, 9.26944, 118.4, 15.08, 1306.52
49.740000000, 151.072, 10.4911, 133.728, 17.344, 1288.93
53.810000000, 152.064, 10.56, 133.728, 18.336, 1287.94
58.805000000, 153.272, 10.6439, 135.392, 17.88, 1286.73
63.605000000, 153.448, 10.6561, 136.96, 16.488, 1286.55
67.625000000, 153.528, 10.6617, 138.768, 14.76, 1286.47
72.875000000, 154.84, 10.7528, 138.616, 16.224, 1285.16
78.285000000, 155.224, 10.7794, 140.592, 14.632, 1284.78
83.340000000, 158.912, 11.0356, 142.216, 16.696, 1281.09
89.355000000, 159.736, 11.0928, 142.936, 16.8, 1280.26
102.460000000, 160.08, 11.1167, 144.448, 15.632, 1279.92
108.065000000, 166.32, 11.55, 150.272, 16.048, 1273.68
113.950000000, 179.192, 12.4439, 163.032, 16.16, 1260.81
118.700000000, 181.032, 12.5717, 165.088, 15.944, 1258.97
123.120000000, 186.192, 12.93, 169.696, 16.496, 1253.81
127.505000000, 192.328, 13.3561, 178.992, 13.336, 1247.67
131.610000000, 203.4, 14.125, 187.648, 15.752, 1236.6
135.575000000, 217.736, 15.1206, 200.944, 16.792, 1222.26
139.795000000, 225.432, 15.655, 208.008, 17.424, 1214.57
144.140000000, 227.144, 15.7739, 210.008, 17.136, 1212.86
149.310000000, 233.208, 16.195, 214.84, 18.368, 1206.79
154.090000000, 243.52, 16.9111, 224.632, 18.888, 1196.48
160.785000000, 247.656, 17.1983, 222.672, 24.984, 1192.34
168.355000000, 258.424, 17.9461, 233.984, 24.44, 1181.58
172.385000000, 268.392, 18.6383, 243.064, 25.328, 1171.61
177.100000000, 273.128, 18.9672, 246.752, 26.376, 1166.87
181.680000000, 273.88, 19.0194, 248.896, 24.984, 1166.12
186.175000000, 274.296, 19.0483, 248.312, 25.984, 1165.7
190.760000000, 274.416, 19.0567, 248.256, 26.16, 1165.58
195.165000000, 277.368, 19.2617, 251.312, 26.056, 1162.63
201.015000000, 279.848, 19.4339, 253.72, 26.128, 1160.15
206.340000000, 291.376, 20.2344, 264.512, 26.864, 1148.62
211.960000000, 297.552, 20.6633, 274.528, 23.024, 1142.45
216.665000000, 304.912, 21.1744, 277.848, 27.064, 1135.09
220.595000000, 316.256, 21.9622, 288.52, 27.736, 1123.74
225.200000000, 328.456, 22.8094, 299.904, 28.552, 1111.54
229.645000000, 338.272, 23.4911, 309.24, 29.032, 1101.73
233.895000000, 346.936, 24.0928, 316.56, 30.376, 1093.06
238.630000000, 359.296, 24.9511, 331.424, 27.872, 1080.7
243.325000000, 374.352, 25.9967, 342.376, 31.976, 1065.65
247.585000000, 388.088, 26.9506, 360.096, 27.992, 1051.91
252.455000000, 403.16, 27.9972, 372.176, 30.984, 1036.84
256.540000000, 416.016, 28.89, 384.24, 31.776, 1023.98
263.675000000, 418.056, 29.0317, 384.064, 33.992, 1021.94
270.355000000, 439.448, 30.5172, 403.224, 36.224, 1000.55
275.200000000, 458.208, 31.82, 422.616, 35.592, 981.792
281.255000000, 476.648, 33.1006, 441.024, 35.624, 963.352
286.390000000, 498.776, 34.6372, 461.376, 37.4, 941.224
291.210000000, 513.32, 35.6472, 475.712, 37.608, 926.68
296.085000000, 531.056, 36.8789, 492.712, 38.344, 908.944
301.295000000, 537.752, 37.3439, 497.832, 39.92, 902.248
307.205000000, 556.216, 38.6261, 514.464, 41.752, 883.784
311.620000000, 564.968, 39.2339, 522.224, 42.744, 875.032
316.175000000, 579.88, 40.2694, 536.392, 43.488, 860.12
322.005000000, 599.328, 41.62, 553.608, 45.72, 840.672
326.605000000, 605.048, 42.0172, 559.688, 45.36, 834.952
331.120000000, 605.48, 42.0472, 558.376, 47.104, 834.52
335.395000000, 605.48, 42.0472, 564.28, 41.2, 834.52
340.630000000, 616.472, 42.8106, 569.96, 46.512, 823.528
345.910000000, 618.776, 42.9706, 571.336, 47.44, 821.224
