Goal x, Goal y, Goal z, Planner
10.5724, -10.3039, 0.474265, aep
9.9579, -9.53004, 0.627748, aep
9.35771, -10.3154, 0.779353, aep
10.1118, -10.9721, 0.787059, aep
10.7469, -11.2818, 1.49471, aep
11.6348, -10.8223, 1.51796, aep
11.6727, -9.82462, 1.57436, aep
11.3592, -8.87502, 1.57577, aep
11.7168, -8.68199, 0.662065, aep
10.2571, -8.54573, 0.540129, aep
9.6324, -7.76867, 0.616893, aep
8.64524, -7.77961, 0.776258, aep
7.6516, -7.84769, 0.865928, aep
6.42971, -8.2859, 1.41534, aep
6.14163, -7.41042, 1.02734, aep
5.32891, -7.61778, 0.482829, aep
4.41767, -7.83219, 0.834484, aep
3.80925, -8.57415, 1.11613, aep
4.78341, -8.34876, 1.13075, aep
4.65688, -7.39649, 1.40853, aep
4.47178, -6.42313, 1.27319, aep
4.70637, -5.48418, 1.02152, aep
5.6423, -5.312, 1.32875, aep
6.52296, -4.83964, 1.29272, aep
5.74438, -4.395, 0.849883, aep
6.24048, -5.24154, 1.04287, aep
6.18218, -6.14836, 1.46033, aep
6.35602, -6.29912, 1.50152, rrt
6.93505, -5.95404, 0.762842, aep
7.63131, -5.34795, 1.1474, aep
7.07268, -6.05299, 1.58427, aep
6.14034, -6.36063, 1.39427, aep
5.56452, -5.64373, 1.00122, aep
5.88739, -6.56585, 1.21439, aep
5.42552, -7.44181, 1.07517, aep
4.46894, -7.53378, 1.35175, aep
3.79721, -7.78766, 0.655812, aep
2.98758, -7.69358, 1.23517, aep
2.28253, -7.49223, 0.555201, aep
1.34844, -7.84513, 0.501052, aep
0.803102, -8.57289, 0.916963, aep
0.487065, -9.45958, 1.25444, aep
-0.443669, -9.493, 1.61861, aep
-0.599828, -8.14713, 1.36968, aep
-1.42359, -8.15057, 0.802759, aep
-2.42324, -8.13622, 0.780603, aep
-2.58713, -7.21353, 0.431642, aep
-2.27633, -7.22371, 0.304246, rrt
-4.32735, -7.11021, 1.03315, aep
-5.01646, -7.53966, 1.61685, aep
-5.28101, -6.60694, 1.37178, aep
-4.71324, -7.42321, 1.26526, aep
-5.32683, -6.67733, 1.52444, aep
-6.24, -7.0788, 1.45416, aep
-7.13672, -6.82802, 1.81887, aep
-8.04945, -6.45446, 1.98427, aep
-8.77177, -7.14589, 1.97092, aep
-9.5296, -7.79556, 1.91071, aep
-9.93716, -8.37968, 1.20879, aep
-9.96289, -7.6543, 0.520923, aep
-9.62162, -6.72958, 0.352307, aep
-9.98934, -6.01049, 0.941965, aep
-10.3668, -5.27076, 1.49907, aep
-10.0176, -4.33809, 1.40843, aep
-9.18991, -5.49372, 1.87786, aep
-8.50876, -5.45381, 1.1468, aep
-7.90496, -4.66064, 1.06742, aep
-8.07738, -4.33575, 1.99732, aep
-8.64724, -3.5159, 2.0531, aep
-8.57994, -2.5188, 2.08866, aep
-9.57902, -2.53366, 2.12896, aep
-9.98003, -2.48892, 1.21398, aep
-10.2433, -1.81224, 0.526373, aep
-10.9787, -0.571314, 0.388662, aep
-10.5207, 0.184434, 0.856651, aep
-9.87296, 0.755987, 0.352842, aep
-9.84763, 1.75474, 0.309918, aep
-9.64783, 2.63378, 0.742796, aep
-8.84766, 2.04832, 0.873058, aep
-7.90416, 2.3015, 1.08685, aep
-7.48977, 3.20495, 0.976998, aep
-8.03492, 3.51156, 0.196745, aep
-8.41477, 4.31579, 0.653827, aep
-8.34032, 5.18235, 1.14732, aep
-8.7127, 6.06602, 0.86365, aep
-8.92949, 6.9053, 1.36226, aep
-8.22187, 6.34846, 0.927274, aep
-7.2911, 5.99181, 1.00772, aep
-6.07305, 6.7247, 1.4813, aep
-5.13923, 6.3902, 1.6081, aep
-5.38578, 7.34634, 1.7662, aep
-5.71841, 7.16743, 1.75372, rrt
-6.43063, 7.79588, 1.44099, aep
-6.32515, 8.61358, 0.875085, aep
-6.25082, 9.60123, 0.737132, aep
-6.62119, 10.0942, 1.52442, aep
-5.98382, 10.8057, 1.82021, aep
