Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 865
5.070000000, 47.6, 5.50289, 30.824, 16.776, 817.4
8.880000000, 52.832, 6.10775, 36.8, 16.032, 812.168
11.804000000, 57.624, 6.66173, 41.232, 16.392, 807.376
15.671000000, 62.208, 7.19168, 43.36, 18.848, 802.792
19.461000000, 68.072, 7.8696, 48.336, 19.736, 796.928
23.520000000, 70.304, 8.12763, 49.56, 20.744, 794.696
29.423000000, 74.368, 8.59746, 50.872, 23.496, 790.632
33.276000000, 74.568, 8.62058, 54.4, 20.168, 790.432
37.634000000, 101.872, 11.7771, 77.856, 24.016, 763.128
40.984000000, 116.12, 13.4243, 90.216, 25.904, 748.88
44.022000000, 122.16, 14.1225, 96.36, 25.8, 742.84
47.850000000, 125.96, 14.5618, 98.944, 27.016, 739.04
51.159000000, 127.424, 14.7311, 99.56, 27.864, 737.576
54.404000000, 129.776, 15.003, 100.96, 28.816, 735.224
57.827000000, 131.184, 15.1658, 104.224, 26.96, 733.816
61.144000000, 139.568, 16.135, 110.888, 28.68, 725.432
65.303000000, 152, 17.5723, 121.864, 30.136, 713
68.100000000, 155.256, 17.9487, 124.528, 30.728, 709.744
71.179000000, 160.784, 18.5877, 129.328, 31.456, 704.216
74.526000000, 167.384, 19.3508, 133.96, 33.424, 697.616
77.790000000, 171.776, 19.8585, 139.656, 32.12, 693.224
80.691000000, 172.976, 19.9972, 141.136, 31.84, 692.024
83.739000000, 174.408, 20.1628, 140.472, 33.936, 690.592
86.609000000, 180.576, 20.8758, 147.344, 33.232, 684.424
90.194000000, 185.184, 21.4086, 151.648, 33.536, 679.816
93.395000000, 191.664, 22.1577, 156.208, 35.456, 673.336
96.412000000, 195.472, 22.5979, 159.048, 36.424, 669.528
100.253000000, 201.856, 23.336, 164.896, 36.96, 663.144
103.380000000, 203.872, 23.569, 166.144, 37.728, 661.128
106.909000000, 208.264, 24.0768, 170.064, 38.2, 656.736
110.974000000, 212.368, 24.5512, 172.44, 39.928, 652.632
113.901000000, 217.472, 25.1413, 176.736, 40.736, 647.528
116.983000000, 219.424, 25.3669, 178.8, 40.624, 645.576
120.141000000, 223.92, 25.8867, 182.112, 41.808, 641.08
124.442000000, 232.088, 26.831, 191.664, 40.424, 632.912
127.719000000, 238.376, 27.5579, 195.648, 42.728, 626.624
131.327000000, 240.584, 27.8132, 194.088, 46.496, 624.416
132.805000000, 240.584, 27.8132, 194.088, 46.496, 624.416
133.920000000, 240.584, 27.8132, 194.088, 46.496, 624.416
135.276000000, 240.584, 27.8132, 194.088, 46.496, 624.416
136.471000000, 240.584, 27.8132, 194.088, 46.496, 624.416
137.974000000, 240.584, 27.8132, 194.088, 46.496, 624.416
139.304000000, 240.584, 27.8132, 194.088, 46.496, 624.416
140.625000000, 240.584, 27.8132, 194.088, 46.496, 624.416
142.081000000, 240.584, 27.8132, 194.088, 46.496, 624.416
143.413000000, 240.584, 27.8132, 194.088, 46.496, 624.416
144.782000000, 240.584, 27.8132, 194.088, 46.496, 624.416
146.169000000, 240.584, 27.8132, 194.088, 46.496, 624.416
147.517000000, 240.584, 27.8132, 194.088, 46.496, 624.416
148.902000000, 240.584, 27.8132, 194.088, 46.496, 624.416
150.210000000, 240.584, 27.8132, 194.088, 46.496, 624.416
151.635000000, 240.584, 27.8132, 194.088, 46.496, 624.416
152.968000000, 240.584, 27.8132, 194.088, 46.496, 624.416
154.366000000, 240.584, 27.8132, 194.088, 46.496, 624.416
155.894000000, 240.584, 27.8132, 194.088, 46.496, 624.416
157.224000000, 240.584, 27.8132, 194.088, 46.496, 624.416
158.848000000, 240.584, 27.8132, 194.088, 46.496, 624.416
160.328000000, 240.584, 27.8132, 194.088, 46.496, 624.416
161.628000000, 240.584, 27.8132, 194.088, 46.496, 624.416
162.928000000, 240.584, 27.8132, 194.088, 46.496, 624.416
164.204000000, 240.584, 27.8132, 194.088, 46.496, 624.416
165.574000000, 240.584, 27.8132, 194.088, 46.496, 624.416
165.574000000, 240.584, 27.8132, 194.088, 46.496, 624.416
