Goal x, Goal y, Goal z, Planner
-3.62762, -14.3039, 0.473582, aep
-4.47238, -13.8285, 0.719358, aep
-4.2814, -13.4771, 1.63587, aep
-3.82463, -12.7486, 1.12522, aep
-3.7419, -11.777, 0.903656, aep
-3.18951, -12.3402, 1.51818, aep
-2.49465, -12.0444, 2.17366, aep
-1.79142, -12.5945, 1.7233, aep
-0.929675, -12.0874, 1.73772, aep
-1.10556, -13.0648, 1.85472, aep
-0.700704, -13.9636, 1.68675, aep
0.146756, -14.2843, 2.1098, aep
1.01986, -14.7464, 2.2651, aep
1.72812, -14.064, 2.44577, aep
2.50895, -14.5475, 2.05017, aep
3.35102, -14.0289, 2.19822, aep
4.14772, -14.6309, 2.14532, aep
5.1279, -14.6992, 2.33128, aep
5.55256, -15.601, 2.41047, aep
6.2946, -14.9666, 2.1939, aep
6.7165, -14.3297, 1.54871, aep
7.57403, -14.4586, 2.04671, aep
8.55865, -14.4028, 2.21228, aep
9.50532, -14.6885, 2.36122, aep
10.4075, -14.3679, 2.07271, aep
10.7493, -13.5153, 2.46796, aep
11.0985, -12.5826, 2.37732, aep
10.1438, -12.7763, 2.15145, aep
9.36309, -12.154, 2.20853, aep
8.62797, -12.5131, 1.63348, aep
8.48194, -12.4836, 0.644643, aep
7.64003, -13.0046, 0.784894, aep
7.86272, -12.5959, 1.66996, aep
7.03656, -12.9716, 2.0899, aep
6.29964, -12.4844, 1.6213, aep
5.72828, -11.8598, 2.15373, aep
4.7922, -11.5677, 2.34971, aep
4.53534, -10.6115, 2.20953, aep
5.18274, -9.90428, 2.49376, aep
5.6959, -9.09327, 2.21282, aep
5.54243, -8.85701, 1.25333, aep
5.66321, -8.53838, 2.19348, aep
6.51537, -9.00175, 2.43658, aep
7.0837, -8.69673, 1.67241, aep
7.87584, -9.17496, 1.29319, aep
8.22781, -9.60466, 0.461638, aep
9.21393, -9.72589, 0.348177, aep
10.1324, -9.72451, 0.743578, aep
9.99125, -8.94479, 1.35359, aep
10.0203, -8.2669, 0.618999, aep
10.5143, -7.39769, 0.597888, aep
9.93408, -6.58321, 0.597867, aep
9.01003, -6.54298, 0.97802, aep
8.19903, -6.02232, 0.71119, aep
8.45339, -5.08092, 0.932692, aep
9.1532, -4.39799, 1.14216, aep
8.56708, -4.65741, 0.374595, aep
7.65926, -4.82397, 0.759478, aep
6.97856, -5.46406, 0.403219, aep
6.68092, -6.41264, 0.295445, aep
6.45965, -7.23996, 0.811763, aep
6.57046, -7.01831, 1.78057, aep
5.73449, -7.36496, 2.20598, aep
5.21345, -6.99988, 1.43447, aep
4.54311, -6.26104, 1.36546, aep
4.29317, -7.22836, 1.40812, aep
3.39109, -7.59325, 1.63859, aep
2.78505, -8.0344, 0.9767, aep
3.19369, -8.9138, 1.22096, aep
3.03624, -9.89742, 1.30867, aep
2.40151, -9.7741, 2.0715, aep
1.61829, -10.3568, 1.85453, aep
1.06021, -9.79248, 2.46293, aep
0.997426, -8.79471, 2.44032, aep
-0.00137967, -8.77329, 2.48424, aep
-0.990187, -8.87646, 2.37646, aep
-1.57929, -9.68447, 2.36812, aep
