Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 800
4.932000000, 154.4, 19.3, 135.68, 18.72, 645.6
9.145000000, 166.296, 20.787, 147.072, 19.224, 633.704
12.706000000, 173.376, 21.672, 151.784, 21.592, 626.624
16.072000000, 181.128, 22.641, 158.424, 22.704, 618.872
18.980000000, 192.432, 24.054, 172.816, 19.616, 607.568
23.749000000, 195.52, 24.44, 170.424, 25.096, 604.48
29.064000000, 204.856, 25.607, 177.864, 26.992, 595.144
34.561000000, 210.92, 26.365, 187.88, 23.04, 589.08
39.304000000, 223.088, 27.886, 196.832, 26.256, 576.912
42.526000000, 233.872, 29.234, 204.928, 28.944, 566.128
45.984000000, 237.544, 29.693, 207.04, 30.504, 562.456
50.553000000, 254.696, 31.837, 222.144, 32.552, 545.304
53.614000000, 265.216, 33.152, 234.568, 30.648, 534.784
57.896000000, 272.08, 34.01, 238.512, 33.568, 527.92
61.262000000, 276.424, 34.553, 241.752, 34.672, 523.576
64.239000000, 285, 35.625, 249.04, 35.96, 515
67.388000000, 296.104, 37.013, 259.84, 36.264, 503.896
70.308000000, 310.68, 38.835, 272.664, 38.016, 489.32
73.602000000, 319.928, 39.991, 279.976, 39.952, 480.072
76.734000000, 328.496, 41.062, 291.312, 37.184, 471.504
80.323000000, 338.76, 42.345, 301.432, 37.328, 461.24
84.446000000, 341.12, 42.64, 301.336, 39.784, 458.88
87.959000000, 345.264, 43.158, 304.176, 41.088, 454.736
90.845000000, 358.072, 44.759, 315.488, 42.584, 441.928
94.595000000, 370.28, 46.285, 329.584, 40.696, 429.72
98.660000000, 383.896, 47.987, 340.968, 42.928, 416.104
102.564000000, 396.248, 49.531, 352.376, 43.872, 403.752
106.524000000, 402.888, 50.361, 358.232, 44.656, 397.112
110.042000000, 412.504, 51.563, 367.192, 45.312, 387.496
113.768000000, 424.656, 53.082, 380.072, 44.584, 375.344
117.389000000, 435.784, 54.473, 390.256, 45.528, 364.216
121.719000000, 442.352, 55.294, 395.712, 46.64, 357.648
124.904000000, 456.336, 57.042, 408.56, 47.776, 343.664
128.909000000, 468.968, 58.621, 420.48, 48.488, 331.032
132.062000000, 483.672, 60.459, 434.024, 49.648, 316.328
136.502000000, 486.544, 60.818, 437.512, 49.032, 313.456
139.581000000, 496.44, 62.055, 446.4, 50.04, 303.56
142.624000000, 504.136, 63.017, 453.392, 50.744, 295.864
145.697000000, 515.528, 64.441, 463.696, 51.832, 284.472
148.654000000, 525.104, 65.638, 473.032, 52.072, 274.896
152.057000000, 534.544, 66.818, 479.248, 55.296, 265.456
155.966000000, 543.896, 67.987, 487.888, 56.008, 256.104
159.314000000, 549.696, 68.712, 492.88, 56.816, 250.304
162.804000000, 553.648, 69.206, 495.92, 57.728, 246.352
166.530000000, 561.52, 70.19, 504.168, 57.352, 238.48
169.859000000, 562.912, 70.364, 505.944, 56.968, 237.088
175.134000000, 562.232, 70.279, 503.136, 59.096, 237.768
179.685000000, 568.344, 71.043, 508.4, 59.944, 231.656
183.968000000, 571.096, 71.387, 510.872, 60.224, 228.904
187.023000000, 574.224, 71.778, 518.32, 55.904, 225.776
190.095000000, 577.512, 72.189, 516.368, 61.144, 222.488
195.693000000, 578.48, 72.31, 512.672, 65.808, 221.52
199.004000000, 578.512, 72.314, 512.072, 66.44, 221.488
205.039000000, 578.912, 72.364, 511.888, 67.024, 221.088
208.688000000, 578.944, 72.368, 511.68, 67.264, 221.056
211.718000000, 578.944, 72.368, 513.264, 65.68, 221.056
214.862000000, 578.944, 72.368, 512.352, 66.592, 221.056
217.949000000, 578.944, 72.368, 513.424, 65.52, 221.056
221.310000000, 578.944, 72.368, 512.312, 66.632, 221.056
224.269000000, 578.944, 72.368, 511.44, 67.504, 221.056
227.330000000, 578.944, 72.368, 510.416, 68.528, 221.056
233.497000000, 579.808, 72.476, 510.192, 69.616, 220.192
236.548000000, 581.376, 72.672, 511.328, 70.048, 218.624
239.869000000, 585.472, 73.184, 514.664, 70.808, 214.528
242.992000000, 590.448, 73.806, 518.656, 71.792, 209.552
246.282000000, 596.04, 74.505, 524.776, 71.264, 203.96
249.229000000, 601.648, 75.206, 529.872, 71.776, 198.352
252.084000000, 608.912, 76.114, 536.136, 72.776, 191.088
255.833000000, 620.352, 77.544, 546.408, 73.944, 179.648
259.160000000, 632.144, 79.018, 556.856, 75.288, 167.856
262.494000000, 640.784, 80.098, 564.408, 76.376, 159.216
265.509000000, 645.808, 80.726, 567.872, 77.936, 154.192
269.255000000, 651.728, 81.466, 573.776, 77.952, 148.272
272.965000000, 656.616, 82.077, 578.208, 78.408, 143.384
276.176000000, 661.248, 82.656, 580.4, 80.848, 138.752
279.317000000, 666.688, 83.336, 584.608, 82.08, 133.312
282.403000000, 668.592, 83.574, 586.176, 82.416, 131.408
285.681000000, 671.688, 83.961, 591.136, 80.552, 128.312
288.791000000, 676.424, 84.553, 594.328, 82.096, 123.576
291.948000000, 681.248, 85.156, 598.288, 82.96, 118.752
295.491000000, 686.784, 85.848, 604.672, 82.112, 113.216
298.587000000, 696.424, 87.053, 612.168, 84.256, 103.576
301.820000000, 701.16, 87.645, 617.904, 83.256, 98.84
304.882000000, 710.664, 88.833, 626.056, 84.608, 89.336
307.805000000, 718.688, 89.836, 635.776, 82.912, 81.312
312.039000000, 725.352, 90.669, 639.6, 85.752, 74.648
315.099000000, 733, 91.625, 646.824, 86.176, 67
318.770000000, 741.64, 92.705, 654.976, 86.664, 58.36
322.295000000, 743.784, 92.973, 658.04, 85.744, 56.216
325.423000000, 747.296, 93.412, 658.616, 88.68, 52.704
328.353000000, 747.88, 93.485, 658.592, 89.288, 52.12
332.116000000, 748.072, 93.509, 659.072, 89, 51.928
336.210000000, 753.08, 94.135, 663.12, 89.96, 46.92
339.774000000, 758.264, 94.783, 667.136, 91.128, 41.736
344.570000000, 759.192, 94.899, 666.208, 92.984, 40.808
