Goal x, Goal y, Goal z, Planner
-5.42762, 0.696095, 0.675103, aep
-5.84412, -0.163079, 0.972338, aep
-6.79952, -0.410929, 1.1329, aep
-7.09348, -1.28568, 1.51812, aep
-7.17541, -1.88529, 0.722035, aep
-6.58772, -2.49596, 1.25279, aep
-6.71433, -3.45303, 0.992035, aep
-6.6322, -4.22883, 0.36643, aep
-6.05242, -5.09953, 1.32979, aep
-5.64545, -5.7349, 1.98605, aep
-5.25305, -6.49686, 1.47083, aep
-5.11693, -7.48688, 1.50732, aep
-4.14844, -7.70353, 1.38447, aep
-3.40841, -7.20234, 1.83297, aep
-3.20986, -7.43483, 0.880854, aep
-2.33116, -7.90761, 0.946943, aep
-1.41005, -7.89405, 0.557877, aep
-0.853392, -8.55219, 1.06481, aep
-0.220857, -7.99328, 1.60102, aep
-0.8338, -7.87833, 0.367175, aep
-1.21371, -7.06562, 0.808964, aep
-1.67115, -6.2599, 0.43271, aep
-1.84715, -7.09987, 0.946015, aep
-1.03936, -6.74907, 1.41975, aep
-2.03171, -6.76724, 1.29757, aep
-2.14755, -5.77401, 1.28945, aep
-1.66552, -5.06647, 0.772695, aep
-0.771826, -4.61805, 0.757193, aep
-1.19332, -3.81217, 1.173, aep
-0.345279, -4.2425, 1.48226, aep
0.578962, -4.60304, 1.60793, aep
1.01106, -3.70383, 1.53917, aep
0.552139, -3.23484, 0.784552, aep
1.2516, -3.79091, 0.335623, aep
1.96028, -3.08762, 0.391708, aep
2.88229, -3.32347, 0.698746, aep
3.81663, -2.9918, 0.568358, aep
4.79672, -3.05723, 0.380864, aep
5.4286, -2.29168, 0.501911, aep
6.19461, -1.64899, 0.488183, aep
6.39516, -0.698538, 0.725713, aep
5.45928, -0.349016, 0.76985, aep
5.43316, 0.53001, 0.293792, aep
4.60293, 0.918812, 0.693221, aep
4.53236, 1.8862, 0.449942, aep
4.58776, 3.08685, 1.29884, aep
4.68736, 3.50641, 0.396588, aep
4.23552, 4.38419, 0.555786, aep
3.51998, 4.58041, 1.22622, aep
2.78747, 5.23708, 1.04671, aep
2.85004, 6.23507, 1.05608, aep
2.1708, 6.96613, 1.12091, aep
1.62309, 7.73838, 0.798988, aep
1.23417, 6.83891, 0.998258, aep
0.424289, 6.25335, 1.03308, aep
-0.342947, 6.48656, 1.63054, aep
-1.048, 6.68792, 0.950576, aep
-0.957091, 7.46168, 0.323652, aep
-1.97669, 7.88079, 1.1824, aep
-2.90742, 7.84737, 1.54657, aep
-3.79208, 8.25634, 1.3227, aep
-4.66963, 8.09641, 1.77473, aep
-5.3882, 7.48692, 1.4398, aep
-5.47435, 8.1636, 0.70858, aep
-5.14114, 7.29432, 0.343463, aep
-5.88207, 7.64283, 0.917533, rrt
-5.4119, 6.76173, 0.86658, rrt
-1.98832, 6.58764, 1.56006, aep
-1.63432, 5.83835, 1.00038, aep
-1.62095, 5.02365, 0.420643, aep
-0.80739, 4.44273, 0.395096, aep
-0.0618908, 4.71332, 1.0042, aep
-0.631748, 5.53317, 1.05998, aep
-0.0246219, 6.23794, 1.42699, aep
0.816385, 6.37284, 1.95093, aep
0.822189, 5.96257, 1.03898, aep
0.551846, 5.1971, 1.62291, aep
1.39914, 5.67303, 1.38715, aep
1.90207, 6.2292, 0.725534, aep
2.65047, 6.55313, 1.30429, aep
3.51035, 6.3857, 1.78656, aep
4.31898, 6.08171, 1.28288, aep
4.70401, 6.70533, 0.602544, aep
4.93451, 7.63705, 0.883195, aep
5.71538, 7.26209, 0.383546, aep
6.53967, 6.80438, 0.716781, aep
5.90464, 6.22688, 0.203739, aep
4.91048, 6.1191, 0.209866, aep
4.27049, 5.44367, 0.576208, aep
4.76723, 5.48244, 1.44324, aep
4.4078, 5.23959, 0.99564, aep
3.75475, 4.48713, 0.910061, rrt
2.7552, 4.4972, 0.881565, rrt
2.47443, 3.54321, 0.776316, rrt
1.51785, 3.25223, 0.793017, rrt
1.67709, 2.27028, 0.895002, rrt
1.53268, 1.2891, 1.02321, rrt
0.887344, 0.526835, 0.973213, rrt
1.53148, -0.237769, 0.951652, rrt
2.50938, -0.241694, 1.16069, aep
3.20778, -0.756158, 1.65826, aep
3.95116, -0.133325, 1.4144, aep
4.84736, -0.346112, 1.02512, aep
4.74314, -0.725951, 0.105959, aep
4.8524, 0.0406064, 0.738772, aep
5.774, -0.255448, 0.989772, aep
6.72632, -0.447626, 0.752818, aep
7.34525, -0.219421, 1.50438, aep
8.17522, -0.772903, 1.5737, aep
7.9099, -1.41981, 0.858778, aep
7.08523, -1.75225, 0.401167, aep
6.75505, -1.38409, 1.27033, aep
5.94377, -1.59894, 1.81408, aep
5.50339, -2.49524, 1.86632, aep
5.29584, -2.85042, 0.954859, aep
5.44445, -3.67032, 0.401975, aep
6.69925, -3.58775, 1.05514, aep
7.67907, -3.73874, 1.18614, aep
8.23221, -3.66066, 0.356722, aep
8.46378, -4.63096, 0.286889, aep
8.04983, -5.11257, 1.05935, aep
7.17168, -6.16519, 0.482866, aep
