Goal x, Goal y, Goal z, Planner
2.04766, 4.76788, 1.67311, aep
2.89499, 5.0974, 2.08957, aep
2.24043, 4.38891, 2.35338, aep
1.94476, 3.83593, 3.13235, aep
1.67213, 3.44223, 4.01023, aep
0.806968, 3.39824, 3.51067, aep
0.128572, 2.84378, 3.99269, aep
-0.19695, 3.78493, 3.90171, aep
-0.108566, 4.76513, 3.72453, aep
-0.723041, 5.53899, 3.87801, aep
-0.151686, 6.33534, 4.07645, aep
-0.967655, 6.85322, 4.33336, aep
-1.04179, 8.30969, 4.24863, aep
-0.649392, 7.54774, 3.7334, aep
-1.46542, 7.42356, 3.16889, aep
-2.25886, 7.9487, 3.4766, aep
-3.06819, 7.79024, 2.91102, aep
-3.39169, 8.63103, 2.47695, aep
-3.49128, 8.92662, 1.52684, aep
-3.33708, 9.91258, 1.59088, aep
-2.91716, 10.8043, 1.4222, aep
-3.63416, 10.8532, 2.11756, aep
-2.88404, 11.1489, 2.70907, aep
-2.14588, 11.4518, 2.10628, aep
-1.55975, 11.7813, 1.36607, aep
-1.60039, 12.7501, 1.12147, aep
-1.26001, 12.9819, 2.03274, aep
-0.583259, 13.6266, 1.6774, aep
-0.802458, 14.358, 2.32322, aep
-0.798326, 14.8528, 3.19219, aep
0.153966, 14.6227, 3.3926, aep
-0.314744, 15.4862, 3.20651, aep
-1.24651, 15.6654, 3.52229, aep
-1.8179, 16.4422, 3.78693, aep
-2.17788, 17.2202, 3.27205, aep
-1.27846, 17.1297, 3.69966, aep
-1.00011, 17.828, 3.04014, aep
0.217144, 18.0008, 3.82969, aep
0.527581, 18.8038, 3.3209, aep
1.19324, 18.9307, 2.58552, aep
0.415823, 18.7041, 1.99877, aep
-0.545763, 18.5083, 2.19119, aep
-0.328046, 18.7872, 1.25587, aep
0.00910265, 19.6923, 0.99695, aep
0.844215, 19.153, 0.888698, aep
0.525424, 18.4382, 0.266278, aep
0.513075, 17.4966, 0.602981, aep
1.06546, 16.9334, 1.21751, aep
1.78944, 17.5767, 1.46667, aep
1.16946, 16.2827, 1.72423, aep
1.67759, 15.4244, 1.65254, aep
1.7853, 14.4307, 1.6834, aep
2.48476, 13.8746, 1.23447, aep
1.62603, 13.7178, 1.72229, aep
1.99458, 12.7891, 1.67978, aep
2.23009, 11.8315, 1.51394, rrt
2.57814, 10.9158, 1.71481, rrt
3.14048, 10.315, 1.14665, rrt
2.70841, 9.42492, 1.29168, rrt
2.5187, 8.49986, 1.62072, rrt
3.49107, 8.47841, 1.85317, rrt
3.38662, 7.94331, 2.69148, rrt
3.1544, 7.05208, 2.30188, aep
3.55924, 6.1438, 2.19639, aep
3.24161, 5.19583, 2.21794, aep
2.33695, 4.88135, 2.50551, aep
2.05751, 3.96537, 2.79341, aep
1.2733, 4.23938, 1.67833, aep
0.59242, 3.5078, 1.64365, aep
-0.399135, 3.46041, 1.52293, aep
-1.13492, 3.95423, 1.98635, aep
-1.42917, 3.8077, 2.93078, aep
-1.94208, 2.99165, 3.19721, aep
-1.81609, 2.78306, 4.16707, aep
-1.64739, 2.18859, 4.95329, aep
-2.17261, 1.64087, 4.30202, aep
-2.56329, 0.885666, 3.77568, aep
-3.12194, 1.50055, 3.21906, aep
-3.00917, 2.24464, 3.87756, aep
-3.29618, 3.1468, 3.5555, aep
