Time, Coverage (m3), Coverage (%), Free space, Occupied Space, Unmapped Space
0, 0, 0, 0, 0, 1100
4.654000000, 242.384, 22.0349, 220.016, 22.368, 857.616
8.095000000, 266.6, 24.2364, 241.648, 24.952, 833.4
13.040000000, 315.08, 28.6436, 284.272, 30.808, 784.92
16.662000000, 351.2, 31.9273, 318.936, 32.264, 748.8
21.915000000, 386.776, 35.1615, 351.344, 35.432, 713.224
27.190000000, 429.104, 39.0095, 388.544, 40.56, 670.896
31.089000000, 460.32, 41.8473, 418.632, 41.688, 639.68
36.437000000, 484.312, 44.0284, 441.328, 42.984, 615.688
42.029000000, 511.032, 46.4575, 464.92, 46.112, 588.968
45.337000000, 538.472, 48.952, 490.176, 48.296, 561.528
48.509000000, 572.176, 52.016, 522.488, 49.688, 527.824
52.197000000, 594.864, 54.0785, 543.792, 51.072, 505.136
55.790000000, 625.192, 56.8356, 572.576, 52.616, 474.808
59.296000000, 646.144, 58.7404, 592.216, 53.928, 453.856
63.695000000, 667.544, 60.6858, 609.128, 58.416, 432.456
66.851000000, 679.328, 61.7571, 617.232, 62.096, 420.672
71.333000000, 682.72, 62.0655, 619.2, 63.52, 417.28
75.964000000, 683.208, 62.1098, 617.752, 65.456, 416.792
81.748000000, 690.864, 62.8058, 618.616, 72.248, 409.136
86.008000000, 692.44, 62.9491, 618.464, 73.976, 407.56
89.547000000, 692.664, 62.9695, 619.48, 73.184, 407.336
92.771000000, 693.152, 63.0138, 619.848, 73.304, 406.848
104.722000000, 694.32, 63.12, 620.768, 73.552, 405.68
110.442000000, 694.528, 63.1389, 620.24, 74.288, 405.472
115.288000000, 695.368, 63.2153, 620.872, 74.496, 404.632
118.595000000, 697.4, 63.4, 621.272, 76.128, 402.6
122.229000000, 701.432, 63.7665, 624.128, 77.304, 398.568
125.362000000, 704.344, 64.0313, 626.376, 77.968, 395.656
129.238000000, 705.632, 64.1484, 627.376, 78.256, 394.368
134.628000000, 710.296, 64.5724, 632.096, 78.2, 389.704
138.001000000, 713.784, 64.8895, 634.488, 79.296, 386.216
141.594000000, 722.96, 65.7236, 641.968, 80.992, 377.04
145.021000000, 734.48, 66.7709, 652.392, 82.088, 365.52
148.217000000, 740.32, 67.3018, 657.352, 82.968, 359.68
151.597000000, 743.368, 67.5789, 660.184, 83.184, 356.632
154.380000000, 754.224, 68.5658, 671.136, 83.088, 345.776
157.279000000, 768.816, 69.8924, 684.832, 83.984, 331.184
